street,city,state,zip,restaurant,street_uber,,
5001, orcutt, ca,93455,Jack in the Box,5001 Orcutt Road,,
501 north milpas street, santa barbara, ca,93103,Jack in the Box,501 North Milpas Street,,
3747 state street, santa barbara, ca,93105,Jack in the Box,3747 State Street,,
6875 hollister avenue, goleta, ca,93117,Jack in the Box,6875 Hollister Avenue,,
2352 east thompson boulevard, ventura, ca,93003,Jack in the Box,2352 East Thompson Boulevard,,
2115 south victoria ave., ventura, ca,93003,Jack in the Box,2115 South Victoria Ave.,,
550 s victoria ave, oxnard, ca,93035,Jack in the Box,550 S Victoria Ave,,
148 e san carlos st, san jose, ca,95112,Jack in the Box,148 E San Carlos St,,
1490 monterey road, san jose, ca,95110,Jack in the Box,1490 Monterey Road,,
1558 w san carlos st, san jose, ca,95126,Jack in the Box,1558 W San Carlos St,,
1075 willow street, san jose, ca,95125,Jack in the Box,1075 Willow Street,,
1841 story road, san jose, ca,95122,Jack in the Box,1841 Story Road,,
697 curtner avenue, san jose, ca,95125,Jack in the Box,697 Curtner Avenue,,
200 west el camino real, mountain view, ca,94040,Jack in the Box,200 West El Camino Real,,
3367 el camino real, santa clara, ca,95051,Jack in the Box,3367 El Camino Real,,
510 n shoreline blvd, mountain view, ca,94043,Jack in the Box,510 N Shoreline Blvd,,
2845 augustine dr, santa clara, ca,95054,Jack in the Box,2845 Augustine Dr,,
3465 homestead rd, santa clara, ca,95051,Jack in the Box,3465 Homestead Rd,,
4896 el camino real, los altos, ca,94022,Jack in the Box,4896 El Camino Real,,
640 ocean street, santa cruz, ca,95060,Jack in the Box,640 Ocean Street,,
6014, scotts valley, ca,95066,Jack in the Box,6014 Scotts Valley Dr,,
1085 s green valley rd, watsonville, ca,95076,Jack in the Box,1085 S Green Valley Rd,,
1700, freedom, ca,95019,Jack in the Box,1700 Freedom Blvd.,,
15771, los gatos, ca,95032,Jack in the Box,15771 Los Gatos Blvd,,
400 broadway st., vallejo, ca,94590,Jack in the Box,400 Broadway St.,,
35 admiral callaghan ln, vallejo, ca,94591,Jack in the Box,35 Admiral Callaghan Ln,,
1610 lewis brown dr, vallejo, ca,94589,Jack in the Box,1610 Lewis Brown Dr,,
107 west american canyon road, american canyon, ca,94503,Jack in the Box,107 West American Canyon Road,,
3800 san pablo ave bldg a, hercules, ca,94547,Jack in the Box,3800 San Pablo Ave Bldg A,,
2689, pinole, ca,94564,Jack in the Box,2689 Pinole Valley Rd,,
1980 n. texas st., fairfield, ca,94533,Jack in the Box,1980 N. Texas St.,,
1965 w. texas st., fairfield, ca,94533,Jack in the Box,1965 W. Texas St.,,
499 grizzly island rd, suisun city, ca,94585,Jack in the Box,499 Grizzly Island Rd,,
1035 alamo dr, vacaville, ca,95687,Jack in the Box,1035 Alamo Dr,,
107 red top road, fairfield, ca,94534,Jack in the Box,107 Red Top Road,,
290 e monte vista ave, vacaville, ca,95688,Jack in the Box,290 E Monte Vista Ave,,
425 sebastopol road, santa rosa, ca,95407,Jack in the Box,425 Sebastopol Road,,
2550 hoen frontage road, santa rosa, ca,95405,Jack in the Box,2550 Hoen Frontage Road,,
1004 steele ln, santa rosa, ca,95403,Jack in the Box,1004 Steele Ln,,
2755, santa rosa, ca,95407,Jack in the Box,2755 Santa Rosa Ave.,,
3086 marlow rd, santa rosa, ca,95403,Jack in the Box,3086 Marlow Rd,,
6299 commerce blvd, rohnert park, ca,94928,Jack in the Box,6299 Commerce Blvd,,
1120 s mooney blvd, visalia, ca,93277,Jack in the Box,1120 S Mooney Blvd,,
1400 n ben maddox way, visalia, ca,93292,Jack in the Box,1400 N Ben Maddox Way,,
3416 north dinuba boulevard, visalia, ca,93291,Jack in the Box,3416 North Dinuba Boulevard,,
1145 south lovers ln, visalia, ca,93292,Jack in the Box,1400 N Ben Maddox Way,,
107 w caldwell ave, visalia, ca,93277,Jack in the Box,107 W Caldwell Ave,,
5340 w cypress ave, visalia, ca,93277,Jack in the Box,5340 W Cypress Ave,,
960 n ventura rd, oxnard, ca,93030,Jack in the Box,960 N Ventura Rd,,
2800 s rose ave, oxnard, ca,93033,Jack in the Box,2800 S Rose Ave,,
2580 north vineyard avenue, oxnard, ca,93030,Jack in the Box,2580 North Vineyard Avenue,,
814 n. ventura rd., port hueneme, ca,93041,Jack in the Box,814 N. Ventura Rd.,,
495 n d st, san bernardino, ca,92401,Jack in the Box,495 N D St,,
8134 sierra ave, fontana, ca,92335,Jack in the Box,8134 Sierra Ave,,
532 hegenberger road, oakland, ca,94621,Jack in the Box,532 Hegenberger Road,,
339 paradise avenue, modesto, ca,95351,Jack in the Box,339 Paradise Avenue,,
4601 broadway, sacramento, ca,95820,Jack in the Box,4601 Broadway,,
10110 sierra ave, fontana, ca,92335,Jack in the Box,10110 Sierra Ave,,
602 w. napa st., sonoma, ca,95476,Jack in the Box,602 W. Napa St.,,
1641 trancas street, napa, ca,94558,Jack in the Box,1641 Trancas Street,,
14485 foothill blvd, fontana, ca,92335,Jack in the Box,14485 Foothill Blvd,,
20168 highway 18, apple valley, ca,92307,Jack in the Box,20168 Us Highway 18,,
3886 chicago ave., riverside, ca,92507,Jack in the Box,3886 Chicago Ave.,,
6025, long beach, ca,90805,Jack in the Box,6025 Long Beach Blvd,,
6131 greenback ln, citrus heights, ca,95621,Jack in the Box,6131 Greenback Ln,,
497 s e st, san bernardino, ca,92401,Jack in the Box,497 S E St,,
147 s oswell st, bakersfield, ca,93307,Jack in the Box,147 S Oswell St,,
17020 s highland ave, fontana, ca,92336,Jack in the Box,17020 S Highland Ave,,
475 s cedar ave, rialto, ca,92376,Jack in the Box,475 S Cedar Ave,,
2135 railroad avenue, pittsburg, ca,94565,Jack in the Box,2135 Railroad Avenue,,
7261 citrus ave, fontana, ca,92336,Jack in the Box,7261 Citrus Ave,,
22220 wilmington avenue, carson, ca,90745,Jack in the Box,22220 Wilmington Avenue,,
939 e, carson, ca,90745,Jack in the Box,939 E Carson St,,
2044 w orangeburg ave, modesto, ca,95350,Jack in the Box,2044 W Orangeburg Ave,,
3506 west hammer ln, stockton, ca,95219,Jack in the Box,3506 West Hammer Ln,,
4228 n figueroa st, los angeles, ca,90065,Jack in the Box,4228 N Figueroa St,,
4514 telegraph ave, oakland, ca,94609,McDonald,4514 Telegraph Ave,,
715 central ave, alameda, ca,94501,McDonald,715 Central Ave,,
6623 san pablo ave, oakland, ca,94608,McDonald,6623 San Pablo Ave,,
1330 jackson st, oakland, ca,94612,McDonald,1330 Jackson St,,
2520 e 12th st, oakland, ca,94601,McDonald,2520 E 12th St,,
38860, fremont, ca,94536,McDonald,38860 Fremont Blvd,,
40708 grimmer blvd, fremont, ca, 94538-2845,McDonald,40708 Grimmer Blvd,,
4318 thornton ave, fremont, ca,94536,McDonald,4318 Thornton Ave,,
3000 newpark mall rd, newark, ca,94560,McDonald,3000 Newpark Mall Rd,,
3990 decoto rd, fremont, ca,94536,McDonald,3990 Decoto Rd,,
42800 mission blvd, fremont, ca,94539,McDonald,42800 Mission Blvd,,
23989 watkins st, hayward, ca, 94544-1028,McDonald,23989 Watkins St,,
355 w a st, hayward, ca,94541,McDonald,355 W A St,,
1620 strobridge ave, castro valley, ca,94546,McDonald,1620 Strobridge Ave,,
2905 grove way, castro valley, ca,94546,McDonald,2905 Grove Way,,
26253 mission blvd, hayward, ca,94544,McDonald,26253 Mission Blvd,,
18708 hesperian blvd, hayward, ca, 94541-2248,McDonald,18708 Hesperian Blvd,,
1691 monument blvd, concord, ca,94520,McDonald,1691 Monument Blvd,,
4550 clayton rd, concord, ca, 94521-2850,McDonald,4550 Clayton Rd,,
1690 contra costa blvd, pleasant hill, ca,94523,McDonald,1690 Contra Costa Blvd,,
1185 arnold dr, martinez, ca,94553,McDonald,1185 Arnold Dr,,
220 bailey road, bay point, ca,94565,McDonald,220 Bailey Road,,
1739 divisadero st, fresno, ca, 93701-1920,McDonald,1739 Divisadero St,,
4505 e kings canyon rd, fresno, ca,93702,McDonald,4505 E Kings Canyon Rd,,
3110 e jensen, fresno, ca, 93706-5113,McDonald,3110 E Jensen,,
3115 n blackstone ave, fresno, ca,93704,McDonald,3115 N Blackstone Ave,,
1718 w olive, fresno, ca, 93728-2642,McDonald,1718 W Olive,,
4898 e kings canyon rd, fresno, ca,93727,McDonald,4898 E Kings Canyon Rd,,
2310 f st, bakersfield, ca,93301,McDonald,2310 F St,,
1812 n union ave, bakersfield, ca,93305,McDonald,1812 N Union Ave,,
chester &amp; brundage, bakersfield, ca,93304,McDonald,Chester & Brundage,,
225 n chester avenue, oildale, ca,93308,McDonald,225 N Chester Avenue,,
4600 ming ave, bakersfield, ca,93309,McDonald,4600 Ming Ave,,
2699 mount vernon ave, bakersfield, ca,93306,McDonald,2699 Mount Vernon Ave,,
690 alameda st., los angeles, ca,90021,McDonald,690 Alameda St.,,
1310 east olympic blvd, los angeles, ca,90021,McDonald,1310 East Olympic Blvd,,
1625 wilshire blvd, los angeles, ca,90017,McDonald,1625 Wilshire Blvd,,
1716 marengo st, los angeles, ca, 90033-1315,McDonald,1716 Marengo St,,
405 n alvarado st, los angeles, ca,90026,McDonald,405 N Alvarado St,,
245 n soto st, los angeles, ca,90033,McDonald,245 N Soto St,,
640 long beach blvd, long beach, ca,90802,McDonald,640 Long Beach Blvd,,
1000 e 4th st, long beach, ca,90802,McDonald,1000 E 4th St,,
2599, long beach, ca,90806,McDonald,2599 Long Beach Blvd,,
3302 e anaheim st, long beach, ca,90804,McDonald,3302 E Anaheim St,,
2290 north bellflower blvd, long beach, ca,90815,McDonald,2290 North Bellflower Blvd,,
21836 south avalon blvd, carson, ca,90745,McDonald,21836 South Avalon Blvd,,
27618 the old road, valencia, ca,91355,McDonald,27618 The Old Road,,
25323 chiquella ln, stevenson ranch, ca,91381,McDonald,25323 Chiquella Ln,,
golden valley and hwy 14, santa clarita, ca,91387,McDonald,Golden Valley And Hwy 14,,
18850 soledad canyon rd, santa clarita, ca,91351,McDonald,18850 Soledad Canyon Rd,,
27103 mcbean pkwy, santa clarita, ca,91355,McDonald,27103 Mcbean Pkwy,,
23110, valencia, ca,91355,McDonald,23110 Valencia Blvd,,
600 redwood hwy, mill valley, ca,94941,McDonald,600 Redwood Hwy,,
2114 4th st, san rafael, ca,94901,McDonald,2114 4th St,,
190 merrydale rd, san rafael, ca,94903,McDonald,190 Merrydale Rd,,
969 east francisco blvd., san rafael, ca,94901,McDonald,2114 4th St,,
5600 nave dr, novato, ca,94949,McDonald,5600 Nave Dr,,
981 lakeville hwy, petaluma, ca,94952,McDonald,981 Lakeville Hwy,,
155 kern st, salinas, ca,93905,McDonald,155 Kern St,,
1213 s main st, salinas, ca,93901,McDonald,1213 S Main St,,
608 williams rd, salinas, ca,93905,McDonald,608 Williams Rd,,
975 e blanco rd, salinas, ca,93901,McDonald,840 E Alisal St,,
301 e 1st st, santa ana, ca,92701,McDonald,301 E 1st St,,
1011 e 17th st, santa ana, ca,92706,McDonald,1011 E 17th St,,
1100 s grand ave, santa ana, ca,92705,McDonald,1100 S Grand Ave,,
1526 w edinger ave, santa ana, ca,92704,McDonald,1526 W Edinger Ave,,
2300 s. main street, santa ana, ca,92707,McDonald,2300 S. Main Street,,
119 west ball road, anaheim, ca, 92805-6045,McDonald,119 West Ball Road,,
740 n. euclid st., anaheim, ca, 92801-4115,McDonald,740 N. Euclid St.,,
1100 north state college blvd, anaheim, ca,92806,McDonald,1100 North State College Blvd,,
1810 s state college blvd, anaheim, ca,92805,McDonald,1810 S State College Blvd,,
1341 s brookhurst rd, fullerton, ca,92833,McDonald,1341 S Brookhurst Rd,,
770 w chapman ave, placentia, ca,92870,McDonald,770 W Chapman Ave,,
7899 walerga rd, antelope, ca,95843,McDonald,7899 Walerga Rd,,
5301 elkhorn blvd, sacramento, ca,95842,McDonald,5301 Elkhorn Blvd,,
120 harding blvd, roseville, ca,95678,McDonald,120 Harding Blvd,,
3994 foothills blvd, roseville, ca,95747,McDonald,3994 Foothills Blvd,,
1300 east, roseville, ca,95661,McDonald,120 Harding Blvd,,
13370 lincoln way, auburn, ca,95603,McDonald,13370 Lincoln Way,,
2865 bell rd, auburn, ca,95603,McDonald,2865 Bell Rd,,
4211 sierra college blvd, rocklin, ca,95650,McDonald,4211 Sierra College Blvd,,
2172 sunset blvd, rocklin, ca,95765,McDonald,2172 Sunset Blvd,,
2242 university ave, riverside, ca,92507,McDonald,2242 University Ave,,
2246 iowa avenue, riverside, ca,92507,McDonald,2246 Iowa Avenue,,
6815 valley way, rubidoux, ca,92509,McDonald,6815 Valley Way,,
7474 indiana street, riverside, ca,92504,McDonald,7474 Indiana Street,,
5425 arlington avenue, riverside, ca,92504,McDonald,5425 Arlington Avenue,,
4407 brockton ave, riverside, ca,92501,McDonald,2242 University Ave,,
64 e ramona expy, perris, ca,92571,McDonald,64 E Ramona Expy,,
24440 alessandro blvd, moreno valley, ca,92553,McDonald,24440 Alessandro Blvd,,
23831 sunnymead blvd, moreno valley, ca,92553,McDonald,23831 Sunnymead Blvd,,
22580 cactus ave, moreno valley, ca,92553,McDonald,24440 Alessandro Blvd,,
25280 madison ave, murrieta, ca,92562,McDonald,25280 Madison Ave,,
40605 california oaks road, murrieta, ca,92562,McDonald,40605 California Oaks Road,,
39888 los alamos rd, murrieta, ca,92562,McDonald,39888 Los Alamos Rd,,
23819 clinton keith rd, wildomar, ca,92595,McDonald,23819 Clinton Keith Rd,,
200 richards blvd, sacramento, ca,95811,McDonald,200 Richards Blvd,,
3006 k st, sacramento, ca,95816,McDonald,3006 K St,,
2331 broadway, sacramento, ca,95818,McDonald,2331 Broadway,,
1700 w capitol ave, west sacramento, ca, 95691-2520,McDonald,1700 W Capitol Ave,,
2985 freeport blvd, sacramento, ca,95818,McDonald,2985 Freeport Blvd,,
2729 w capitol ave, west sacramento, ca,95691,McDonald,2729 W Capitol Ave,,
8282 laguna blvd, elk grove, ca,95758,McDonald,8282 Laguna Blvd,,
8710, elk grove, ca,95624,McDonald,8710 Elk Grove Blvd,,
7527 laguna blvd, elk grove, ca,95758,McDonald,7527 Laguna Blvd,,
8361 sheldon road, suite 100, elk grove, ca, us,McDonald, CA 95624,
10051 bruceville road, elk grove, ca,95757,McDonald,10051 Bruceville Road,,
8220 calvine rd., sacramento, ca,95828,McDonald,8220 Calvine Rd.,,
699 2nd st, san bernardino, ca,92410,McDonald,699 2nd St,,
568 s mt vernon ave, san bernardino, ca,92410,McDonald,568 S Mt Vernon Ave,,
718 w highland ave, san bernardino, ca,92405,McDonald,718 W Highland Ave,,
100 e redlands blvd, san bernardino, ca,92408,McDonald,100 E Redlands Blvd,,
1575 e highland ave, san bernardino, ca,92404,McDonald,1575 E Highland Ave,,
14526 palmdale rd, victorville, ca,92392,McDonald,14526 Palmdale Rd,,
12146 mariposa rd, victorville, ca,92395,McDonald,12146 Mariposa Rd,,
16670 bear valley road, victorville, ca,92395,McDonald,16670 Bear Valley Road,,
13625 bear valley rd, victorville, ca,92392,McDonald,13625 Bear Valley Rd,,
12254 palmdale road, victorville, ca,92392,McDonald,12254 Palmdale Road,,
1260 park blvd, san diego, ca,92101,McDonald,1260 Park Blvd,,
1414 university ave, san diego, ca,92103,McDonald,1414 University Ave,,
2796 main st, san diego, ca,92113,McDonald,2796 Main St,,
2345 el cajon blvd., san diego, ca,92104,McDonald,2345 El Cajon Blvd.,,
3805 midway dr, san diego, ca, 92110-5209,McDonald,3805 Midway Dr,,
725 e st, chula vista, ca,91910,McDonald,725 E St,,
3400 highland ave, chula vista, ca,91950,McDonald,1630 Highland Ave,,
619 broadway, chula vista, ca,91910,McDonald,619 Broadway,,
1110 3rd ave, chula vista, ca,91911,McDonald,1110 3rd Ave,,
1630 highland ave, national city, ca,91950,McDonald,1630 Highland Ave,,
2140 plaza blvd., national city, ca,91950,McDonald,2140 Plaza Blvd.,,
137 canyon dr, oceanside, ca,92054,McDonald,137 Canyon Dr,,
1701, oceanside, ca,92054,McDonald,1701 Oceanside Blvd,,
2185 vista way, oceanside, ca,92054,McDonald,2185 Vista Way,,
3720 mission ave, oceanside, ca,92058,McDonald,3720 Mission Ave,,
185 old grove rd., oceanside, ca,92057,McDonald,185 Old Grove Rd.,,
4151 oceanside blvd, oceanside, ca,92056,McDonald,4151 Oceanside Blvd,,
1100 fillmore st, san francisco, ca,94115,McDonald,1100 Fillmore St,,
441 sutter st, san francisco, ca,94108,McDonald,441 Sutter St, NA, CA 94108
302 potrero avenue, san francisco, ca,94103,McDonald,302 Potrero Avenue,,
609 market st, san francisco, ca, 94105-3301,McDonald,609 Market St,,
2801 mission st, san francisco, ca,94110,McDonald,2801 Mission St,,
345 bay shore blvd, san francisco, ca,94124,McDonald,345 Bay Shore Blvd,,
1201 ocean ave, san francisco, ca, 94112-1830,McDonald,1201 Ocean Ave,,
5454 mission st, san francisco, ca,94112,McDonald,5454 Mission St,,
322 s center st, stockton, ca,95203,McDonald,322 S Center St,,
1423 n center st, stockton, ca,95202,McDonald,1423 N Center St,,
1009 n wilson way, stockton, ca, 95205-4217,McDonald,1009 N Wilson Way,,
611 w charter way, stockton, ca,95206,McDonald,611 W Charter Way,,
4515 pacific ave, stockton, ca,95207,McDonald,4515 Pacific Ave,,
563 carolyn weston blvd, stockton, ca,95206,McDonald,563 Carolyn Weston Blvd,,
350 five cities drive, pismo beach, ca,93449,McDonald,350 Five Cities Drive,,
1550 grand ave, grover beach, ca,93433,McDonald,1550 Grand Ave,,
780 quintana rd, morro bay, ca,93442,McDonald,780 Quintana Rd,,
6300 morro rd, atascadero, ca,93422,McDonald,6300 Morro Rd,,
1420 el camino real, san mateo, ca,94402,McDonald,1420 El Camino Real,,
522 el camino real, belmont, ca, 94002-2121,McDonald,522 El Camino Real,,
1101 triton dr, foster city, ca,94404,McDonald,1101 Triton Dr,,
381 s airport blvd, south san francisco, ca,94080,McDonald,381 S Airport Blvd,,
180 el camino real, san carlos, ca,94070,McDonald,180 El Camino Real,,
2450 junipero serra blvd, daly city, ca, 94015-1632,McDonald,2450 Junipero Serra Blvd,,
505 serramonte blvd, daly city, ca, 94015-4372,McDonald,505 Serramonte Blvd,,
125 monterey rd, pacifica, ca, 94044-1332,McDonald,125 Monterey Rd,,
2750 geneva ave, daly city, ca, 94014-1521,McDonald,2750 Geneva Ave,,
1407 bradley rd, santa maria, ca,93454,McDonald,1407 Bradley Rd,,
1710 s broadway, santa maria, ca,93454,McDonald,1710 S Broadway,,
2280 skyway dr, santa maria, ca,93455,McDonald,2280 Skyway Dr,,
29 north milpas street, santa barbara, ca,93103,McDonald,29 North Milpas Street,,
1906 cliff dr, santa barbara, ca,93109,McDonald,1906 Cliff Dr,,
146 s fairview blvd, santa barbara, ca,93117,McDonald,146 S Fairview Blvd,,
6900 marketplace drive, goleta, ca,93117,McDonald,6900 Marketplace Drive,,
3940 state street, santa barbara, ca,93110,McDonald,3940 State Street,,
1115 casitas pass road, carpinteria, ca,93013,McDonald,1115 Casitas Pass Road,,
1299 e santa clara st, san jose, ca,95116,McDonald,1299 E Santa Clara St,,
777 story rd, san jose, ca,95122,McDonald,777 Story Rd,,
1398 w. san carlos, san jose, ca,95126,McDonald,1398 W. San Carlos,,
2191 monterey highway, san jose, ca,95125,McDonald,2191 Monterey Highway,,
2353 mckee rd, san jose, ca,95133,McDonald,2353 Mckee Rd,,
585 tully rd, san jose, ca, 95112-1920,McDonald,585 Tully Rd,,
556 e el camino real, sunnyvale, ca,94087,McDonald,556 E El Camino Real,,
696 n mathilda ave, sunnyvale, ca,94085,McDonald,696 N Mathilda Ave,,
10990 n stelling rd, cupertino, ca,95014,McDonald,10990 N Stelling Rd,,
550 lawrence expy, sunnyvale, ca,94085,McDonald,550 Lawrence Expy, CA 94085,
3509 home stead rd, santa clara, ca,95051,McDonald,3509 Home Stead Rd,,
2850 augustine dr, santa clara, ca,95054,McDonald,2850 Augustine Dr,,
1421 mission st, santa cruz, ca, 95060-4738,McDonald,1421 Mission St,,
1210 ocean ave, santa cruz, ca,95060,McDonald,1210 Ocean Ave,,
259 mount hermon rd, scotts valley, ca,95066,McDonald,259 Mount Hermon Rd,,
1760 41st ave, capitola, ca, 95010-2503,McDonald,1760 41st Ave,,
1459 main st, watsonville, ca,95076,McDonald,1459 Main St,,
1598 freedom blvd, watsonville, ca,95076,McDonald,1598 Freedom Blvd,,
3289 sonoma blvd, vallejo, ca,94590,McDonald,3289 Sonoma Blvd,,
416 e lincoln rd, vallejo, ca,94591,McDonald,416 E Lincoln Rd,,
170 lincoln rd e, vallejo, ca, 94591-8206,McDonald,170 Lincoln Rd E,,
2565 springs rd, vallejo, ca, 94591-5612,McDonald,2565 Springs Rd,,
902 admiral callaghan ln, vallejo, ca,94591,McDonald,902 Admiral Callaghan Ln,,
5200 sonoma blvd, vallejo, ca,94589,McDonald,5200 Sonoma Blvd, CA 94589,
699 beck ave, fairfield, ca,94533,McDonald,699 Beck Ave,,
2212 no texas st, fairfield, ca,94533,McDonald,2212 No Texas St,,
3080 travis blvd, fairfield, ca,94534,McDonald,3080 Travis Blvd,,
101 sunset ave, suisun city, ca,94585,McDonald,101 Sunset Ave,,
3500 nelson rd, fairfield, ca,94533,McDonald,3500 Nelson Rd,,
4400 central pl, fairfield, ca,94534,McDonald,4400 Central Pl,,
2642 santa rosa ave, santa rosa, ca,95407,McDonald,2642 Santa Rosa Ave,,
mission blvd, santa rosa, ca,95409,McDonald,Mission Blvd, CA 95409,
879 hopper ave, santa rosa, ca,95403,McDonald,879 Hopper Ave,,
2521 guerneville rd, santa rosa, ca,95401,McDonald,2521 Guerneville Rd,,
6600 commerce blvd, rohnert park, ca,94928,McDonald,6600 Commerce Blvd,,
900 9th st, modesto, ca,95354,McDonald,900 9th St,,
409 paradise road, modesto, ca,95351,McDonald,409 Paradise Road,,
901 n carpenter rd, modesto, ca,95358,McDonald,901 N Carpenter Rd,,
2118 mchenry ave, modesto, ca, 95350-3213,McDonald,2118 Mchenry Ave,,
801 oakdale ave, modesto, ca,95355,McDonald,801 Oakdale Ave,,
1324 e hatch rd, ceres, ca,95351,McDonald,1324 E Hatch Rd,,
1401 e noble ave, visalia, ca,93292,McDonald,1401 E Noble Ave,,
3636 w mineral king ave, visalia, ca,93291,McDonald,3636 W Mineral King Ave,,
3102 ndinuba, visalia, ca,93291,McDonald,3102 Ndinuba,,
3636 s mooney blvd, visalia, ca, 93277-8019,McDonald,3636 S Mooney Blvd,,
5205 w goshen, visalia, ca,93291,McDonald,5205 W Goshen,,
5215 w akers / walnut, visalia, ca,93277,McDonald,5215 W Akers / Walnut,,
401 ventura ave, oxnard, ca,93030,McDonald,401 Ventura Ave,,
605 s. rose ave., oxnard, ca,93030,McDonald,605 S. Rose Ave.,,
1711 n, oxnard, ca,93030,McDonald,1711 N Oxnard Blvd,,
1741 pacific ave, oxnard, ca,93033,McDonald,1741 Pacific Ave,,
2201 n rose ave, oxnard, ca,93036,McDonald,2201 N Rose Ave,,
3120 s saviers rd, oxnard, ca,93033,McDonald,3120 S Saviers Rd,,
7632 sunrise blvd., citrus heights, ca,95610,McDonald,7632 Sunrise Blvd.,,
1515 euclid ave, san diego, ca,92105,McDonald,1515 Euclid Ave,,
27776 n mcbean pky, santa clarita, ca,91354,McDonald,27776 N Mcbean Pky,,
800 riverpoint dr, west sacramento, ca,95605,McDonald,800 Riverpoint Dr,,
1101 el camino real, millbrae, ca,94030,McDonald,1101 El Camino Real,,
2110 columbus parkway, benicia, ca,94510,McDonald,2110 Columbus Parkway,,
40465 winchester rd, temecula, ca,92591,McDonald,40465 Winchester Rd,,
39196 winchester rd, murrieta, ca,92563,McDonald,39196 Winchester Rd,,
1248 n blackstone, fresno, ca,93703,McDonald,1248 N Blackstone,,
600 east boranda drive, salinas, ca,93906,McDonald,600 East Boranda Drive,,
1000 real rd, bakersfield, ca,93309,McDonald,1000 Real Rd,,
1365 n main st, salinas, ca,93906,McDonald,1365 N Main St,,
1800 prescott rd, modesto, ca,95350,McDonald,1800 Prescott Rd,,
16063 foothill blvd, fontana, ca,92335,McDonald,16063 Foothill Blvd,,
5410 stockdale hwy, bakersfield, ca,93309,McDonald,5410 Stockdale Hwy,,
22257 barton rd, grand terrace, ca,92313,McDonald,22257 Barton Rd,,
1201 s mount vernon ave, colton, ca,92324,McDonald,1201 S Mount Vernon Ave,,
225 w valley blvd, colton, ca,92324,McDonald,225 W Valley Blvd,,
487 college blvd, oceanside, ca,92057,McDonald,487 College Blvd,,
201 w washington blvd, los angeles, ca,90015,McDonald,201 W Washington Blvd,,
1830, long beach, ca,90806,McDonald,1830 Long Beach Blvd,,
221 e alessandro, riverside, ca,92508,McDonald,221 E Alessandro,,
10143 sierra ave, fontana, ca,92335,McDonald,10143 Sierra Ave,,
18988, sonoma, ca,95476,McDonald,18988 Sonoma Hwy,,
4419 waterloo road, stockton, ca,95215,McDonald,4419 Waterloo Road,,
1500 s harbor blvd, anaheim, ca,92802,McDonald,1500 S Harbor Blvd,,
17017 sierra lakes pkwy., fontana, ca,92336,McDonald,17017 Sierra Lakes Pkwy.,,
2891 canyon springs parkway, riverside, ca,92507,McDonald,2891 Canyon Springs Parkway,,
6710 stanford ranch rd, roseville, ca,95678,McDonald,6710 Stanford Ranch Rd,,
230 e pacific coast hwy, wilmington, ca,90744,McDonald,230 E Pacific Coast Hwy,,
931 sepulveda blvd, torrance, ca,90502,McDonald,931 Sepulveda Blvd,,
1501 n bristol st, santa ana, ca,92706,McDonald,1501 N Bristol St,,
1318 w foothill blvd, rialto, ca,92376,McDonald,1318 W Foothill Blvd,,
2298 gellert blvd, south san francisco, ca,94080,McDonald,2298 Gellert Blvd,,
1173 west casmalia st, rialto, ca,92377,McDonald,1173 West Casmalia St,,
55, lincoln, ca,95648,McDonald,55 Lincoln Blvd,,
12371 perris blvd., moreno valley, ca,92557,McDonald,12371 Perris Blvd.,,
103 mcdowell blvd, petaluma, ca,94954,McDonald,103 Mcdowell Blvd,,
541 davis st, vacaville, ca,95688,McDonald,541 Davis St,,
1705 pacific coast hwy, long beach, ca,90810,McDonald,1705 Pacific Coast Hwy,,
1410 north lemon street, anaheim, ca,92801,McDonald,1410 North Lemon Street,,
27 union square, union city, ca,94587,McDonald,27 Union Square,,
1190 cirby way, roseville, ca,95746,McDonald,1190 Cirby Way,,
26200 iris avenue, moreno valley, ca,92555,McDonald,26200 Iris Avenue,,
270, lincoln, ca,95648,McDonald,270 Lincoln Blvd,,
26940 sierra hwy, newhall, ca,91387,McDonald,26940 Sierra Hwy,,
5614 bay street suite 240, emeryville, ca,94608,Shake Shack,5614 Bay Street Suite 240,,
845 market street, san francisco, ca,94103,Shake Shack,3060 Fillmore Street,,
1604 mount diablo boulevard, walnut creek, ca,94596,Shake Shack,1604 Mount Diablo Boulevard,,
1401, larkspur, ca,94939,Shake Shack,1401 Larkspur Landing Circle,,
180 el camino real, palo alto, ca,94304,Shake Shack,180 El Camino Real,,
2855 stevens creek boulevard, santa clara, ca,95050,Shake Shack,2855 Stevens Creek Boulevard,,
33 hillsdale shopping center, san mateo, ca,94403,Shake Shack,33 Hillsdale Shopping Center,,
925 blossom hill road, san jose, ca,95123,Shake Shack,1570 South Bascom Ave,,
3060 fillmore street, san francisco, ca,94123,Shake Shack,3060 Fillmore Street,,
805 north willow avenue, clovis, ca,93611,Shake Shack,805 North Willow Avenue,,
2220 chester ave, bakersfield, ca,93301,Shake Shack,2220 Chester Ave,,
400 w. 8th street, los angeles, ca,90015,Shake Shack,400 W. 8th Street,,
6201 hollywood blvd., los angeles, ca,90028,Shake Shack,6201 Hollywood Blvd.,,
8520 santa monica blvd., west hollywood, ca,90069,Shake Shack,8520 Santa Monica Blvd.,,
2189 whittier boulevard, los angeles, ca,90023,Shake Shack,400 W. 8th Street,,
