street,city,state,zip,restaurant,street_uber,,
1030 mclaughlin ave., san jose, ca,95122,Burger King,1030 Mclaughlin Ave.,,
1181 old oakland road, san jose, ca,95112,Burger King,1181 Old Oakland Road,,
2170 monterey road, san jose, ca,95112,Burger King,2170 Monterey Road,,
329 north capital avenue, san jose, ca,95133,Burger King,329 North Capital Avenue,,
2390 almaden road, san jose, ca,95125,Burger King,2390 Almaden Road,,
3098 story road, san jose, ca,95127,Burger King,3098 Story Road,,
773 north mathilda avenue, sunnyvale, ca,94085,Burger King,773 North Mathilda Avenue,,
3750 el camino real, santa clara, ca,95051,Burger King,3750 El Camino Real,,
1925 el camino real, santa clara, ca,95050,Burger King,1925 El Camino Real,,
5154 moorpark ave, san jose, ca,95129,Burger King,5154 Moorpark Avenue,,
385 south kiely, san jose, ca,95129,Burger King,385 South Kiely,,
2532 channing avenue, san jose, ca,95131,Burger King,2532 Channing Avenue,,
2015 mission street, santa cruz, ca,95060,Burger King,2015 Mission Street,,
1302 soquel avenue, santa cruz, ca,95062,Burger King,1302 Soquel Avenue,,
2001 - 41st avenue, capitola, ca,95010,Burger King,2001 - 41st Avenue,,
227 mt. herman road, scotts valley, ca,95066,Burger King,227 Mt. Herman Road,,
1403 freedom boulevard, watsonville, ca,95076,Burger King,1403 Freedom Boulevard,,
142 main street, watsonville, ca,95076,Burger King,142 Main Street,,
3606 sonoma boulevard, vallejo, ca,94590,Burger King,3606 Sonoma Boulevard,,
1 mariposa street, vallejo, ca,94590,Burger King,1 Mariposa Street,,
844 willow avenue, hercules, ca,94547,Burger King,844 Willow Avenue,,
828 southampton rd, benicia, ca,94510,Burger King,836 Southampton Road,,
1571 fitzgerald drive, pinole, ca,94564,Burger King,1571 Fitzgerald Drive,,
7 muir road, martinez, ca,94553,Burger King,7 Muir Road,,
1475 holiday lane, fairfield, ca,94534,Burger King,1475 Holiday Lane,,
1260 anderson drive, suisun city, ca,94585,Burger King,1260 Anderson Drive,,
2415 north texas street, fairfield, ca,94533,Burger King,2415 North Texas Street,,
2005 huntington drive, fairfield, ca,94533,Burger King,2005 Huntington Drive,,
190 pittman road, suisun city, ca,94534,Burger King,190 Pittman Road,,
1330 east monte vista avenue, vacaville, ca,95688,Burger King,1330 East Monte Vista Avenue,,
741 stony point road, santa rosa, ca, 95407-6864,Burger King,741 Stony Point Road,,
56 mission circle, santa rosa, ca,95409,Burger King,56 Mission Circle,,
2542 guerneville road, santa rosa, ca,95401,Burger King,2542 Guerneville Road,,
5020 redwood drive, rohnert park, ca,94928,Burger King,5020 Redwood Drive,,
6125 commerce boulevard, rohnert park, ca,94928,Burger King,6125 Commerce Boulevard,,
6351 hembree lane, windsor, ca,95492,Burger King,6351 Hembree Lane,,
2320 mchenry ave, modesto, ca,95350,Burger King,2320 Mchenry Ave,,
1421 e. hatch rd, ceres, ca,95351,Burger King,1421 E. Hatch Rd,,
3401 yosemite boulevard, modesto, ca,95354,Burger King,3401 Yosemite Boulevard,,
2101 sylvan avenue, modesto, ca,95355,Burger King,2101 Sylvan Avenue,,
2732 mitchell road, ceres, ca,95307,Burger King,2732 Mitchell Road,,
4612 kiernan avenue, salida, ca,95368,Burger King,4612 Kiernan Avenue,,
1009 n ben maddox way, visalia, ca,93292,Burger King,1009 N Ben Maddox Way,,
500 south de maree, visalia, ca,93277,Burger King,500 South De Maree,,
3101 south mooney boulevard, visalia, ca,93277,Burger King,3101 South Mooney Boulevard,,
6603 betty dr, visalia, ca,93291,Burger King,6603 Betty Dr,,
1255 north blackstone street, tulare, ca,93274,Burger King,1255 North Blackstone Street,,
601 e. bardsley ave., tulare, ca,93274,Burger King,601 E. Bardsley Ave.,,
2001 north, oxnard, ca,93036,Burger King,2001 North Oxnard Boulevard,,
2500 s. ventura road, oxnard, ca,93033,Burger King,2500 S. Ventura Road,,
5950 telegraph road, ventura, ca,93003,Burger King,5950 Telegraph Road,,
2800 paseo mercado, oxnard, ca,93036,Burger King,2001 North Oxnard Boulevard,,
181 south arniell road, camarillo, ca,93010,Burger King,181 South Arniell Road,,
13221 jamboree, tustin, ca,92782,Burger King,13221 Jamboree,,
10055 cedar avenue, bloomington, ca,92316,Burger King,10055 Cedar Avenue,,
5790 van buren boulevard, riverside, ca,92503,Burger King,5790 Van Buren Boulevard,,
2600, long beach, ca,90806,Burger King,2600 Long Beach Blvd.,,
200 north harbor boulevard, santa ana, ca,92703,Burger King,200 North Harbor Boulevard,,
3501 whittier blvd., los angeles, ca,90023,Burger King,3501 Whittier Blvd.,,
7225 greenhaven drive, sacramento, ca, 95831-3518,Burger King,7225 Greenhaven Drive,,
5150 stockton blvd., sacramento, ca,95820,Burger King,5150 Stockton Blvd.,,
5610 freeport boulevard, sacramento, ca, 95822-3502,Burger King,5610 Freeport Boulevard,,
2751 w. orangethorpe blvd, fullerton, ca,92833,Burger King,2751 W. Orangethorpe Blvd,,
220 alameda del prado, novato, ca,94949,Burger King,220 Alameda Del Prado,,
2403 east chapman avenue, fullerton, ca, 92831-3603,Burger King,2403 East Chapman Avenue,,
5540 cherry avenue, long beach, ca,90805,Burger King,5540 Cherry Avenue,,
16878 foothill boulevard, fontana, ca,92335,Burger King,16878 Foothill Boulevard,,
5120 olive drive, bakersfield, ca,93308,Burger King,5120 Olive Drive,,
1830 west 8th street, los angeles, ca,90057,Burger King,1830 West 8th Street,,
849 university avenue, berkeley, ca,94710,Burger King,849 University Avenue,,
19662 nordhoff street, northridge, ca,91324,Burger King,19640 Nordhoff St,,
2020 west florida avenue, hemet, ca,92545,Burger King,2020 West Florida Avenue,,
510 south euclid street, anaheim, ca,92802,Burger King,510 South Euclid Street,,
1361 west foothill boulevard, rialto, ca,92376,Burger King,1361 West Foothill Boulevard,,
2100 east 17th street, santa ana, ca, 92705-8607,Burger King,2100 East 17th Street,,
1042 north carpenter road, modesto, ca,95351,Burger King,1042 North Carpenter Road,,
575 north clovis avenue, fresno, ca,93727,Burger King,575 North Clovis Avenue,,
2850 south bristol street, santa ana, ca,92704,Burger King,2850 South Bristol Street,,
601 east dyer road, santa ana, ca,92705,Burger King,601 East Dyer Road,,
3235 west little league drive, san bernardino, ca,92407,Burger King,3235 West Little League Drive,,
1688 north, perris, ca,92571,Burger King,1688 North Perris Road,,
12999 san pablo avenue, richmond, ca,94805,Burger King,12999 San Pablo Avenue,,
115, lincoln, ca,95648,Burger King,115 Lincoln Blvd,,
4571 north pershing avenue, stockton, ca, 95207-6705,Burger King,4571 North Pershing Avenue,,
1677 s. centre city parkway, escondido, ca,92025,Burger King,1677 S. Centre City Parkway,,
1915 arden way, sacramento, ca,95815,Burger King,1915 Arden Way,,
41 s. sanborn road, salinas, ca, 93905-3235,Burger King,41 S. Sanborn Road,,
580 hegenberger road, oakland, ca,94621,Burger King,580 Hegenberger Road,,
6960 broadway, lemon grove, ca, 91945-1404,Burger King,6960 Broadway,,
5121 foothills boulevard, roseville, ca, 95747-6501,Burger King,5121 Foothills Boulevard,,
7218 stockton boulevard, sacramento, ca,95823,Burger King,7218 Stockton Boulevard,,
2714 el centro road, sacramento, ca,95833,Burger King,2714 El Centro Road,,
3630 tyler street, riverside, ca,92505,Burger King,3630 Tyler Street,,
503 east foothill, rialto, ca,92376,Burger King,503 East Foothill,,
4960 auburn blvd., sacramento, ca,95841,Burger King,4960 Auburn Blvd.,,
1949 columbus avenue, bakersfield, ca, 93305-2311,Burger King,1949 Columbus Avenue,,
8637 elk grove boulevard, elk grove, ca, 95624-1773,Burger King,8637 Elk Grove Boulevard,,
127 west 4th street, long beach, ca,90802,Burger King,127 West 4th Street,,
909 south main street, salinas, ca, 93901-2404,Burger King,909 South Main Street,,
205 east redlands, san bernardino, ca,92408,Burger King,205 East Redlands,,
935 north waterman, san bernardino, ca,92410,Burger King,935 North Waterman,,
4087 west clinton avenue, fresno, ca,93722,Burger King,4087 West Clinton Avenue,,
3770 telegraph ave, oakland, ca,94609,Carls Jr,3770 Telegraph Ave,,
871 marina village pkwy, alameda, ca,94501,Carls Jr,871 Marina Village Pkwy,,
10770 macarthur blvd, oakland, ca,94605,Carls Jr,10770 Macarthur Blvd,,
1 hallidie plaza, san francisco, ca,94102,Carls Jr,1 Hallidie Plaza,,
20550 mission blvd, hayward, ca,94541,Carls Jr,20550 Mission Blvd,,
1550 fitzgerald drive, pinole, ca,94564,Carls Jr,1550 Fitzgerald Drive,,
37000, fremont, ca,94536,Carls Jr,37000 Fremont Blvd,,
5670 thornton ave, newark, ca,94560,Carls Jr,5670 Thornton Ave,,
27467 hesperian blvd, hayward, ca,94545,Carls Jr,27467 Hesperian Blvd,,
39901 balentine dr, newark, ca,94560,Carls Jr,39901 Balentine Dr,,
46637 mission blvd, fremont, ca,94539,Carls Jr,46637 Mission Blvd,,
38860, fremont, ca,94536,Carls Jr,37000 Fremont Blvd,,
3131 crow canyon pl, san ramon, ca,94583,Carls Jr,3131 Crow Canyon Pl,,
1530 kirker pass rd, clayton, ca,94517,Carls Jr,4595 Century Blvd.,,
4595 century blvd., pittsburg, ca,94565,Carls Jr,4595 Century Blvd.,,
5990 e. 2nd street, benicia, ca,94510,Carls Jr,5990 E. 2nd Street,,
915 main st, oakley, ca,94561,Carls Jr,915 Main St,,
385 sun valley mall, concord, ca,94520,Carls Jr,5990 E. 2nd Street,,
1611 n blackstone ave, fresno, ca,93703,Carls Jr,1611 N Blackstone Ave,,
1588 n 1st st, fresno, ca,93703,Carls Jr,1588 N 1st St,,
2590 s east ave, fresno, ca,93706,Carls Jr,2590 S East Ave,,
3983 n blackstone ave, fresno, ca,93726,Carls Jr,3983 N Blackstone Ave,,
5007 e mckinley ave, fresno, ca,93727,Carls Jr,5007 E Mckinley Ave,,
5625 east kings canyon road, fresno, ca,93727,Carls Jr,5625 East Kings Canyon Road,,
3520 rosedale highway, bakersfield, ca,93308,Carls Jr,3520 Rosedale Highway,,
101 s union ave, bakersfield, ca,93307,Carls Jr,101 S Union Ave,,
2412 ming ave, bakersfield, ca,93304,Carls Jr,2412 Ming Ave,,
2400 white ln, bakersfield, ca,93304,Carls Jr,2400 White Ln,,
4800 white lane, bakersfield, ca,93309,Carls Jr,4800 White Lane,,
