,restaurant_name,restaurant_location,specialty_item,cheeseburger,hamburger,combo,fries,state,zip,county_name
571,Wendy,"633 w. north avenue, milwaukee, wi, 53212, us",7.19,2.67,2.43,,,wi,53212,Milwaukee
572,Wendy,"914 n. 27th street, milwaukee, wi, 53233, us",7.19,2.67,2.43,,,wi,53233,Milwaukee
573,Wendy,"544 east ogden avenue east pointe commons ste 500, milwaukee, wi, 53202, us",,,,,,wi,53202,Milwaukee
574,Wendy,"3801 s 27th street, milwaukee, wi, 53221, us",,6.33,,,,wi,53221,Milwaukee
575,Wendy,"600 east ogden avenue, milwaukee, wi, 53202, us",,,,,,wi,53202,Milwaukee
576,Wendy,"2050 silvernail, pewaukee, wi, 53072, us",7.31,2.67,2.43,,,wi,53072,Waukesha
577,Burger King,"659 government st, mobile, al, 36602, us",6.59,2.79,3.89,11.79,3.39,al,36602,Mobile
578,Burger King,"1524 6th avenue s, birmingham, al, 35233, us",6.89,2.49,3.39,12.79,3.69,al,35233,Jefferson
579,Burger King,"2700 university blvd, birmingham, al, 35233, us",6.89,2.49,3.39,12.79,3.69,al,35233,Jefferson
580,Burger King,"801 3rd avenue west, birmingham, al, 35204, us",6.89,2.49,3.39,12.79,3.69,al,35204,Jefferson
581,Burger King,"2116 whitesburg drive, huntsville, al, 35801, us",6.89,2.49,3.69,12.79,3.69,al,35801,Madison
582,Burger King,"1004 north memorial parkway, huntsville, al, 35801, us",6.89,2.49,3.69,12.79,3.69,al,35801,Madison
583,Burger King,"308 jordan lane, huntsville, al, 35805, us",6.89,2.49,3.69,12.79,3.69,al,35805,Madison
584,Burger King,"3949 government boulevard, mobile, al, 36693, us",6.49,2.79,3.89,11.69,3.39,al,36693,Mobile
585,Burger King,"2915 saint stephens rd, mobile, al, 36612, us",6.59,2.79,3.89,11.79,3.39,al,36612,Mobile
586,Burger King,"3875 airport boulevard, mobile, al, 36609, us",6.49,2.79,3.89,11.69,3.39,al,36609,Mobile
587,Burger King,"7050, theodore, al, 36582, us",6.49,2.79,3.89,11.69,3.39,al,36582,Mobile
588,Burger King,"3004 airport boulevard, mobile, al, 36606, us",6.49,2.79,3.89,11.69,3.39,al,36606,Mobile
589,Burger King,"601 martin luther king blvd, savannah, ga, 31401, us",6.89,2.49,3.39,12.79,3.69,ga,31401,Chatham
590,Burger King,"14 w de renne ave, savannah, ga, 31405, us",6.89,2.49,3.39,12.79,3.69,ga,31405,Chatham
591,Burger King,"4241 augusta rd, garden city, ga, 31408, us",6.89,2.49,3.39,12.79,3.69,ga,31408,Chatham
592,Burger King,"11711 abercorn st., savannah, ga, 31419, us",6.89,2.49,3.39,12.79,3.69,ga,31419,Chatham
593,Burger King,"415 east highway 80, pooler, ga, 31322, us",6.89,2.49,3.39,12.79,3.69,ga,31322,Chatham
594,Burger King,"199 sw northside dr, atlanta, ga, 30313, us",6.89,2.49,3.79,12.79,3.69,ga,30313,Fulton
595,Burger King,"2230 salem road, conyers, ga, 30013, us",6.89,2.49,3.79,12.79,3.69,ga,30013,Rockdale
596,Burger King,"2807 panola road, lithonia, ga, 30035, us",6.89,2.49,3.79,12.79,3.69,ga,30035,DeKalb
597,Burger King,"2773 evans mill rd, lithonia, ga, 30058, us",6.59,2.79,3.89,11.79,3.39,ga,30058,DeKalb
598,Burger King,"5068 old national highway, college park, ga, 30349, us",6.89,2.49,3.79,12.79,3.69,ga,30349,Fulton
599,Burger King,"2701 stewart avenue s. w., atlanta, ga, 30315, us",6.89,2.49,3.79,12.79,3.69,ga,30315,Fulton
600,Burger King,"1541 east 12th street, oakland, ca, 94606, us",8.99,3.59,5.39,15.49,4.69,ca,94606,Alameda
601,Burger King,"8378 w overland rd., boise, id, 83709, us",7.59,2.99,4.29,13.19,4.29,id,83709,Ada
602,Burger King,"6971 west 38th street, indianapolis, in, 46214, us",7.09,2.39,4.99,11.39,3.49,in,46214,Marion
603,Burger King,"6904 kennedy ave., hammond, in, 46323, us",8.95,2.98,5.18,15.59,4.28,in,46323,Lake
604,Burger King,"621 west chicago avenue, east chicago, in, 46312, us",7.39,2.49,3.49,12.69,3.49,in,46312,Lake
605,Burger King,"7938 calumet avenue, munster, in, 46321, us",7.09,2.49,3.49,12.49,3.39,in,46321,Lake
606,Burger King,"1817 indianapolis boulevard, whiting, in, 46394, us",7.19,2.49,3.49,12.49,3.49,in,46394,Lake
607,Burger King,"1801 45th avenue, griffith, in, 46319, us",7.19,2.49,3.49,12.49,3.49,in,46319,Lake
608,Burger King,"6337 crawfordsville rd, speedway, in, 46224, us",7.09,2.39,4.99,11.39,3.49,in,46224,Marion
609,Burger King,"6003 gateway drive, plainfield, in, 46168, us",7.09,2.39,4.99,11.39,3.49,in,46168,Hendricks
610,Burger King,"410 east morris street, indianapolis, in, 46225, us",6.99,2.69,4.4,9.55,3.79,in,46225,Marion
611,Burger King,"2122 e. 10th street, indianapolis, in, 46201, us",6.99,2.69,4.4,9.55,3.79,in,46201,Marion
612,Burger King,"2502 east raymond street, indianapolis, in, 46203, us",6.99,2.69,4.4,9.55,3.79,in,46203,Marion
613,Burger King,"205 university avenue, des moines, ia, 50314, us",7.79,3.24,3.89,14.81,4.15,ia,50314,Polk
614,Burger King,"1405 east court avenue, des moines, ia, 50316, us",7.79,3.24,3.89,14.81,4.15,ia,50316,Polk
615,Burger King,"2222 m. l. king jr. parkway, des moines, ia, 50310, us",7.79,3.24,3.89,14.81,4.15,ia,50310,Polk
616,Burger King,"4600 fleur dr, des moines, ia, 50321, us",7.79,3.24,3.89,14.81,4.15,ia,50321,Polk
617,Burger King,"1107 73rd street, windsor heights, ia, 50324, us",7.79,3.24,3.89,14.81,4.15,ia,50324,Polk
618,Burger King,"5401 e. university ave, pleasant hill, ia, 50327, us",7.79,3.24,3.89,14.81,4.15,ia,50327,Polk
619,Burger King,"4004 rainbow boulevard, kansas city, ks, 66103, us",8.29,3.19,4.79,14.19,4.69,ks,66103,Wyandotte
620,Burger King,"1104 north broadway, wichita, ks, 67214, us",8.19,3.19,4.69,13.69,4.69,ks,67214,Sedgwick
621,Burger King,"1909 east pawnee, wichita, ks, 67211, us",8.19,3.19,4.69,13.69,4.69,ks,67211,Sedgwick
622,Burger King,"3500 south meridian avenue, wichita, ks, 67217, us",8.19,3.19,4.69,13.69,4.69,ks,67217,Sedgwick
623,Burger King,"451 w. new circle road, lexington, ky, 40511, us",6.64,2.55,3.57,11.76,3.83,ky,40511,Fayette
624,Burger King,"730 lane allen rd, lexington, ky, 40504, us",6.64,2.55,3.57,11.76,3.83,ky,40504,Fayette
625,Burger King,"2548 richmond road, lexington, ky, 40517, us",6.64,2.55,3.57,11.76,3.83,ky,40517,Fayette
626,Burger King,"3348 clays mill road, lexington, ky, 40503, us",6.64,2.55,3.57,11.76,3.83,ky,40503,Fayette
