menu_item,menu_item_price,menu_item_calories,restaurant_address
Dave's Double®,7.29,860,"2727 Highway 280, Birmingham, AL, 35223, US"
Dave's Triple®,8.29,"1,160","2727 Highway 280, Birmingham, AL, 35223, US"
Baconator®,7.99,960,"2727 Highway 280, Birmingham, AL, 35223, US"
Son of Baconator®,6.19,630,"2727 Highway 280, Birmingham, AL, 35223, US"
Big Bacon Classic®,6.69,650,"2727 Highway 280, Birmingham, AL, 35223, US"
Big Bacon Classic® Double,7.69,910,"2727 Highway 280, Birmingham, AL, 35223, US"
Big Bacon Classic Triple,8.69,"1,220","2727 Highway 280, Birmingham, AL, 35223, US"
Bacon Double Stack,4.49,440,"2727 Highway 280, Birmingham, AL, 35223, US"
Jr. Bacon Cheeseburger,3.19,370,"2727 Highway 280, Birmingham, AL, 35223, US"
Jr. Cheeseburger Deluxe,2.99,340,"2727 Highway 280, Birmingham, AL, 35223, US"
Jr. Cheeseburger,2.59,290,"2727 Highway 280, Birmingham, AL, 35223, US"
Double Stack™,3.99,410,"2727 Highway 280, Birmingham, AL, 35223, US"
Jr. Hamburger,2.19,250,"2727 Highway 280, Birmingham, AL, 35223, US"
French Fries,1.99-3.69,210-470,"2727 Highway 280, Birmingham, AL, 35223, US"
Baconator Fries,3.99,460,"2727 Highway 280, Birmingham, AL, 35223, US"
Chili Cheese Fries,3.99,520,"2727 Highway 280, Birmingham, AL, 35223, US"
Cheese Fries,3.19,470,"2727 Highway 280, Birmingham, AL, 35223, US"
Family Chili,13.49,"1,100","2727 Highway 280, Birmingham, AL, 35223, US"
Chili,3.39/3.99,240/340,"2727 Highway 280, Birmingham, AL, 35223, US"
Sour Cream and Chive Baked Potato,3.29,310,"2727 Highway 280, Birmingham, AL, 35223, US"
Plain Baked Potato,2.99,270,"2727 Highway 280, Birmingham, AL, 35223, US"
Bacon Cheese Baked Potato,4.59,440,"2727 Highway 280, Birmingham, AL, 35223, US"
Chili & Cheese Baked Potato,4.49,500,"2727 Highway 280, Birmingham, AL, 35223, US"
Cheese Baked Potato,3.99,450,"2727 Highway 280, Birmingham, AL, 35223, US"
Apple Bites,1.29,35,"2727 Highway 280, Birmingham, AL, 35223, US"
6 PC. Crispy Chicken Nuggets,3.19,270,"2727 Highway 280, Birmingham, AL, 35223, US"
4 PC. Crispy Chicken Nuggets,2.29,180,"2727 Highway 280, Birmingham, AL, 35223, US"
6 PC. Spicy Chicken Nuggets,3.19,280,"2727 Highway 280, Birmingham, AL, 35223, US"
4 PC. Spicy Chicken Nuggets,2.29,190,"2727 Highway 280, Birmingham, AL, 35223, US"
Pretzel Baconator®,8.99,"1,050","2327 7Th Avenue S., Birmingham, AL, 35233, US"
Dave's Single®,6.29,590,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Dave's Double®,7.29,860,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Dave's Triple®,8.29,"1,160","2327 7Th Avenue S., Birmingham, AL, 35233, US"
Baconator®,7.99,960,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Son of Baconator®,6.19,630,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Big Bacon Classic®,6.69,650,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Big Bacon Classic® Double,7.69,910,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Big Bacon Classic Triple,8.69,"1,220","2327 7Th Avenue S., Birmingham, AL, 35233, US"
Bacon Double Stack,4.49,440,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Jr. Bacon Cheeseburger,3.19,370,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Jr. Cheeseburger Deluxe,2.99,340,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Jr. Cheeseburger,2.59,290,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Double Stack™,3.99,410,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Jr. Hamburger,2.19,250,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
French Fries,1.99-3.69,210-470,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Baconator Fries,3.99,460,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Chili Cheese Fries,3.99,520,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Cheese Fries,3.19,470,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Family Chili,13.49,"1,100","2327 7Th Avenue S., Birmingham, AL, 35233, US"
Chili,3.39/3.99,240/340,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Sour Cream and Chive Baked Potato,3.29,310,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Plain Baked Potato,2.99,270,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Bacon Cheese Baked Potato,4.59,440,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Chili & Cheese Baked Potato,4.49,500,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Cheese Baked Potato,3.99,450,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Apple Bites,1.29,35,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
6 PC. Crispy Chicken Nuggets,3.19,270,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
4 PC. Crispy Chicken Nuggets,2.29,180,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
6 PC. Spicy Chicken Nuggets,3.19,280,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
4 PC. Spicy Chicken Nuggets,2.29,190,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
Pretzel Baconator®,8.99,"1,050","345 Valley Ave, Birmingham, AL, 35209, US"
Dave's Single®,6.29,590,"345 Valley Ave, Birmingham, AL, 35209, US"
Dave's Double®,7.29,860,"345 Valley Ave, Birmingham, AL, 35209, US"
Dave's Triple®,8.29,"1,160","345 Valley Ave, Birmingham, AL, 35209, US"
Baconator®,7.99,960,"345 Valley Ave, Birmingham, AL, 35209, US"
Son of Baconator®,6.19,630,"345 Valley Ave, Birmingham, AL, 35209, US"
Big Bacon Classic®,6.69,650,"345 Valley Ave, Birmingham, AL, 35209, US"
Big Bacon Classic® Double,7.69,910,"345 Valley Ave, Birmingham, AL, 35209, US"
Big Bacon Classic Triple,8.69,"1,220","345 Valley Ave, Birmingham, AL, 35209, US"
Bacon Double Stack,4.49,440,"345 Valley Ave, Birmingham, AL, 35209, US"
Jr. Bacon Cheeseburger,3.19,370,"345 Valley Ave, Birmingham, AL, 35209, US"
Jr. Cheeseburger Deluxe,2.99,340,"345 Valley Ave, Birmingham, AL, 35209, US"
Jr. Cheeseburger,2.59,290,"345 Valley Ave, Birmingham, AL, 35209, US"
Double Stack™,3.99,410,"345 Valley Ave, Birmingham, AL, 35209, US"
Jr. Hamburger,2.19,250,"345 Valley Ave, Birmingham, AL, 35209, US"
French Fries,1.99-3.69,210-470,"345 Valley Ave, Birmingham, AL, 35209, US"
Baconator Fries,3.99,460,"345 Valley Ave, Birmingham, AL, 35209, US"
Chili Cheese Fries,3.99,520,"345 Valley Ave, Birmingham, AL, 35209, US"
Cheese Fries,3.19,470,"345 Valley Ave, Birmingham, AL, 35209, US"
Family Chili,13.49,"1,100","345 Valley Ave, Birmingham, AL, 35209, US"
Chili,3.39/3.99,240/340,"345 Valley Ave, Birmingham, AL, 35209, US"
