menu_item,menu_item_price,menu_item_calories,input_address,restaurant_address
Classic Melt,$4.99,600 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Bacon Melt,$5.69,650 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Philly Melt,$5.69,590 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Whopper,$5.89,670 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Impossible™ Whopper,$6.89,630 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Texas Double Whopper,$7.59,"1,090 cal","2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Double Whopper,$7.19,920 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Triple Whopper,$8.19,"1,170 cal","2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Bacon King,$7.59,"1,200 cal","2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
BBQ Bacon Whopper Jr.,$3.49,390 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Whopper Jr.,$3.09,330 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Bacon Double Cheeseburger,$3.39,440 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Bacon Cheeseburger,$2.69,340 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Double Cheeseburger,$2.79,400 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Cheeseburger,$2.29,290 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Rodeo Burger,$2.29,340 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Hamburger,$1.89,250 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Have-sies™,$2.99,380 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
French Fries,$2.89,370 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Onion Rings,$2.89,360 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
12 Pc. Chicken Fries,$4.99,340 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
8 Pc. Chicken Fries,$3.99,220 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
12 Pc. Mozzarella Fries,$5.49,730 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
