,restaurant_name,restaurant_location,specialty_item,cheeseburger,fries,drink,dessert,four_to_six,number_of_items,average_rating,number_of_ratings,average_menu_price,hamburger,wave,uber_eats,fast_food,small,state,zip,ca,county_name
66,Denny,"2955 van buren boulevard, riverside, ca, 92503, us",17.98,17.56,5.18,4.56,6.95,56,208,4.6000000000000005,19,11.670961538461539,,1,1,0,0,ca,92503,1,Riverside
67,Denny,"1190 s. mt. vernon, colton, ca, 92324, us",17.98,17.56,5.18,4.56,6.95,56,194,4.299999999999999,24,11.613711340206185,,1,1,0,0,ca,92324,1,San Bernardino
68,Denny,"160 west valley blvd., colton, ca, 92324, us",17.98,17.56,5.18,4.56,6.95,112,380,4.200000000000001,12,11.659263157894738,,1,1,0,0,ca,92324,1,San Bernardino
69,Denny,"24952 sunnymead blvd, moreno valley, ca, 92553, us",17.39,17.29,5.09,4.59,6.99,28,105,4.200000000000001,45,11.508095238095237,,1,1,0,0,ca,92553,1,Riverside
70,Denny,"570 e 4th st, perris, ca, 92570, us",16.39,15.59,5.09,4.29,6.49,29,100,4.0,33,10.980999999999996,,1,1,0,0,ca,92570,1,Riverside
71,Denny,"25365 madison ave, murrieta, ca, 92562, us",17.35,17.25,5.08,4.56,6.95,25,104,4.1000000000000005,13,11.57596153846154,,1,1,0,0,ca,92562,1,Riverside
72,Denny,"23857 clinton keith rd, wildomar, ca, 92595, us",17.35,17.25,5.08,4.56,6.95,25,102,4.600000000000002,10,11.3821568627451,,1,1,0,0,ca,92595,1,Riverside
73,Denny,"28915 rancho california road, temecula, ca, 92590, us",17.35,17.25,5.08,4.56,6.95,50,200,3.8499999999999996,10,11.490500000000003,,1,1,0,0,ca,92590,1,Riverside
74,Denny,"36490 winchester rd, murrieta, ca, 92563, us",19.12,17.35,5.6,4.46,7.16,22,105,4.700000000000001,15,12.196857142857144,,1,1,0,0,ca,92563,1,Riverside
75,Denny,"31760 grape st, lake elsinore, ca, 92532, us",16.69,16.59,4.89,4.39,6.69,32,95,4.600000000000002,16,10.892105263157895,,1,1,0,0,ca,92532,1,Riverside
76,Denny,"540 w, vista, ca, 92083, us",17.56,17.14,5.08,4.56,6.95,52,200,4.600000000000001,34,11.4695,,1,1,0,0,ca,92083,1,San Diego
77,Denny,"300 bercut drive, sacramento, ca, 95811, us",17.35,17.46,5.29,4.66,6.64,26,100,4.100000000000001,21,11.7588,,1,1,0,0,ca,95811,1,Sacramento
78,Denny,"1322 howe ave., sacramento, ca, 95825, us",17.35,17.46,5.29,4.66,6.64,27,105,4.0,23,11.732000000000001,,1,1,0,0,ca,95825,1,Sacramento
79,Denny,"7900 college town dr., sacramento, ca, 95826, us",17.35,17.46,5.29,4.66,6.64,52,206,4.200000000000001,15,11.889417475728157,,1,1,0,0,ca,95826,1,Sacramento
80,Denny,"4441 e commerce way, sacramento, ca, 95834, us",17.35,17.46,5.29,4.66,6.64,27,104,4.5,20,11.816923076923077,,1,1,0,0,ca,95834,1,Sacramento
81,Denny,"5460 florin rd, sacramento, ca, 95823, us",17.35,17.46,5.29,4.66,6.64,52,192,4.1000000000000005,41,12.0209375,,1,1,0,0,ca,95823,1,Sacramento
82,Denny,"702 e highland ave, san bernardino, ca, 92404, us",17.98,17.56,5.18,4.56,6.95,27,101,4.399999999999998,36,11.863663366336635,,1,1,0,0,ca,92404,1,San Bernardino
83,Denny,"2442, highland, ca, 92346, us",17.98,17.56,,4.56,,27,90,3.8999999999999986,21,11.834111111111113,,1,1,0,0,ca,92346,1,San Bernardino
84,Denny,"5975 n palm ave, san bernardino, ca, 92407, us",16.73,16.42,5.29,4.46,6.74,56,210,4.5,17,11.259619047619047,,1,1,0,0,ca,92407,1,San Bernardino
85,Denny,"1377 w foothill blvd, rialto, ca, 92376",16.73,16.42,5.29,4.46,6.74,28,105,4.5,34,11.259619047619047,,1,1,0,0,ca,92376,1,San Bernardino
86,Denny,"17009-a valley blvd, fontana, ca, 92335",16.49,15.59,4.89,4.29,6.49,29,105,4.600000000000001,28,10.819523809523806,,1,1,0,0,ca,92335,1,San Bernardino
87,Denny,"13479 baseline ave, fontana, ca, 92336, us",17.35,17.04,5.08,4.46,6.95,25,102,4.899999999999998,15,11.558529411764704,,1,1,0,0,ca,92336,1,San Bernardino
88,Denny,"715 n milliken ave, ontario, ca, 91764, us",17.35,17.04,5.08,4.46,6.95,25,101,5.0,13,11.47128712871287,,1,1,0,0,ca,91764,1,San Bernardino
89,Denny,"14244 valley center dr, victorville, ca, 92395, us",16.73,16.42,5.29,4.46,6.74,27,104,4.299999999999999,18,11.327019230769231,,1,1,0,0,ca,92395,1,San Bernardino
90,Denny,"14240 highway 395, adelanto, ca, 92301, us",17.77,17.25,5.08,4.56,6.95,24,103,4.3,24,11.466407766990294,,1,1,0,0,ca,92301,1,San Bernardino
91,Denny,"18989 bear valley road, apple valley, ca, 92308, us",17.04,16.21,5.29,4.46,6.74,26,99,4.200000000000001,28,10.94181818181818,,1,1,0,0,ca,92308,1,San Bernardino
92,Denny,"13165 main st, hesperia, ca, 92344, us",16.73,16.42,5.29,4.46,6.74,27,102,3.3000000000000003,12,11.455588235294115,,1,1,0,0,ca,92344,1,San Bernardino
93,Denny,"20242 hwy 18, apple valley, ca, 92307, us",16.73,16.42,5.29,4.46,6.74,29,103,4.399999999999998,17,11.24757281553398,,1,1,0,0,ca,92307,1,San Bernardino
94,Denny,"7676 friars rd, san diego, ca, 92108, us",17.56,17.25,5.39,4.56,7.16,27,105,4.600000000000001,42,11.833619047619049,,1,1,0,0,ca,92108,1,San Diego
95,Denny,"5445 kearny villa rd., san diego, ca, 92123, us",17.35,17.25,5.08,4.56,6.95,25,103,4.899999999999998,33,11.525922330097085,,1,1,0,0,ca,92123,1,San Diego
96,Denny,"1065 camino del rio, san diego, ca, 92108, us",17.56,17.25,5.39,4.56,7.16,27,105,4.200000000000001,18,11.835619047619048,,1,1,0,0,ca,92108,1,San Diego
97,Denny,"1601 rosecrans st., san diego, ca, 92106, us",17.56,17.14,5.08,2.06,6.95,25,105,4.399999999999999,34,11.433619047619047,,1,1,0,0,ca,92106,1,San Diego
98,Denny,"424 west mile of cars, national city, ca, 91950, us",16.73,15.38,5.08,4.46,,50,174,4.100000000000001,36,10.905632183908045,,1,1,0,0,ca,91950,1,San Diego
99,Denny,"692 e st, chula vista, ca, 91910, us",16.73,15.38,5.08,4.46,,42,166,4.399999999999999,47,10.568915662650603,,1,1,0,0,ca,91910,1,San Diego
100,Denny,"110 bonita rd., chula vista, ca, 91910, us",16.73,15.38,5.08,4.46,6.43,24,101,4.5,74,10.711980198019802,,1,1,0,0,ca,91910,1,San Diego
101,Denny,"2222 coronado ave, san diego, ca, 92154, us",16.73,15.38,5.08,4.46,6.43,25,103,4.399999999999998,82,10.794563106796119,,1,1,0,0,ca,92154,1,San Diego
102,Denny,"130 calle primera, san diego, ca, 92173, us",17.56,17.25,5.39,4.56,7.16,27,104,4.700000000000001,31,11.921538461538463,,1,1,0,0,ca,92173,1,San Diego
103,Denny,"4365 university ave, san diego, ca, 92105, us",17.35,17.25,5.08,4.56,6.95,25,100,4.3,70,11.490499999999999,,1,1,0,0,ca,92105,1,San Diego
