,restaurant_name,restaurant_location,specialty_item,cheeseburger,hamburger,combo,fries,drink,dessert,four_to_six,number_of_items,average_rating,number_of_ratings,average_menu_price,wave,uber_eats,fast_food,small,state,zip,county_name,ca
2614,Burger King,"2806 north broadway, knoxville, tn, 37917, us",6.99,3.49,4.99,11.99,3.49,,,8,82,4.2,800+,7.81719512195122,2,1,1,0,tn,37917,Knox,0
2615,Burger King,"319 merchants road, knoxville, tn, 37912, us",6.99,3.49,4.99,11.99,3.49,,,8,82,4.5,360+,7.816463414634147,2,1,1,0,tn,37912,Knox,0
2616,Burger King,"5310 north middlebrook pike, knoxville, tn, 37921, us",6.6,2.69,4.4,9.45,4.29,,3.05,16,83,4.399999999999999,210+,6.05578313253012,2,1,1,0,tn,37921,Knox,0
2617,Burger King,"819 memorial blvd, murfreesboro, tn, 37129, us",6.99,2.69,4.4,9.55,4.05,,3.05,16,83,4.0,280+,6.067108433734941,2,1,1,0,tn,37129,Rutherford,0
2618,Burger King,"1661 middle tennessee blvd, murfreesboro, tn, 37130, us",6.99,2.69,4.4,9.55,4.05,,3.05,16,83,4.600000000000001,400+,6.067108433734941,2,1,1,0,tn,37130,Rutherford,0
2619,Burger King,"412 forks of the river, sevierville, tn, 37862, us",6.6,2.69,4.4,9.45,4.29,,3.05,16,83,4.399999999999999,100+,6.05578313253012,2,1,1,0,tn,37862,Sevier,0
2620,Burger King,"1231 dolly parton pkwy, sevierville, tn, 37862, us",6.6,2.69,4.4,9.45,4.29,,3.05,16,83,4.8,69,6.05578313253012,2,1,1,0,tn,37862,Sevier,0
2621,Burger King,"1027 union ave, memphis, tn, 38104, us",6.85,2.69,4.15,9.45,3.79,,3.05,13,83,4.2,600+,6.002289156626506,2,1,1,0,tn,38104,Shelby,0
2622,Burger King,"1330 poplar avenue, memphis, tn, 38104, us",6.85,2.69,4.15,9.45,3.79,,3.05,13,83,4.100000000000001,600+,6.002289156626506,2,1,1,0,tn,38104,Shelby,0
2623,Burger King,"1911 mallory lane, franklin, tn, 37067, us",6.99,2.69,4.4,9.55,4.05,,3.05,16,83,4.600000000000001,320+,6.067108433734941,2,1,1,0,tn,37067,Williamson,0
2624,Burger King,"505 east rancier, killeen, tx, 76541, us",7.16,2.93,3.83,12.53,3.83,,,10,80,4.299999999999999,800+,7.795875,2,1,1,0,tx,76541,Bell,0
2625,Burger King,"1029 s fort hood st, killeen, tx, 76541, us",6.9,2.93,3.83,12.28,3.57,,,10,78,4.300000000000001,450+,7.708333333333335,2,1,1,0,tx,76541,Bell,0
2626,Burger King,"4520 west commerce, san antonio, tx, 78237, us",7.69,2.79,3.59,12.59,3.59,,,8,79,4.100000000000002,600+,7.899620253164559,2,1,1,0,tx,78237,Bexar,0
