menu_item,menu_item_price,menu_item_calories,restaurant_address
Double Spicy Western Bacon Cheeseburger®,6.99,1060,"2118 W 1700 S SYRACUSE, UT 84075, US"
Spicy Western Bacon Angus Cheeseburger®,7.49,940,"2118 W 1700 S SYRACUSE, UT 84075, US"
Famous Star® with Cheese,5.99,670,"2118 W 1700 S SYRACUSE, UT 84075, US"
Beyond Famous Star® with Cheese,7.99,770,"2118 W 1700 S SYRACUSE, UT 84075, US"
Super Star® with Cheese,7.39,920,"2118 W 1700 S SYRACUSE, UT 84075, US"
Western Bacon Cheeseburger®,6.99,760,"2118 W 1700 S SYRACUSE, UT 84075, US"
Double Western Bacon Cheeseburger®,8.29,1020,"2118 W 1700 S SYRACUSE, UT 84075, US"
The Big Carl®,7.89,920,"2118 W 1700 S SYRACUSE, UT 84075, US"
Original Angus Burger,8.49,820,"2118 W 1700 S SYRACUSE, UT 84075, US"
Guacamole Bacon Angus Burger,8.59,960,"2118 W 1700 S SYRACUSE, UT 84075, US"
Jalapeño Angus Burger,8.79,830,"2118 W 1700 S SYRACUSE, UT 84075, US"
California Classic Double Cheeseburger,3.99,560,"2118 W 1700 S SYRACUSE, UT 84075, US"
Big Hamburger,3.89,480,"2118 W 1700 S SYRACUSE, UT 84075, US"
Double Spicy Western Bacon Cheeseburger®,6.99,1060,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
2 for $6 Chicken Tender Wraps,3.19,270,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Panko-Breaded Fish Sandwich Combo,5.39,810,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Double Spicy Western Bacon Cheeseburger®,6.99,1060,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Spicy Western Bacon Angus Cheeseburger®,7.49,940,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Famous Star® with Cheese,5.99,670,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Beyond Famous Star® with Cheese,7.99,770,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Super Star® with Cheese,7.39,920,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Western Bacon Cheeseburger®,6.99,760,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Double Western Bacon Cheeseburger®,8.29,1020,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
The Big Carl®,7.89,920,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Original Angus Burger,8.49,820,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Guacamole Bacon Angus Burger,8.59,960,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Jalapeño Angus Burger,8.79,830,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
California Classic Double Cheeseburger,3.99,560,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Big Hamburger,3.89,480,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Double Spicy Western Bacon Cheeseburger®,6.99,1060,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
2 for $6 Chicken Tender Wraps,3.19,270,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Panko-Breaded Fish Sandwich Combo,5.39,810,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
