,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
52,Denny,"115 baker ave, santa rosa, ca, 95407, us",12.794205607476634,12.36,8.741166974144534,4.3,137,300+,6.54,17.98,,,,ca,95407,Sonoma,2024-05-14,1,1,0,0
53,Applebee,"24041 southland dr, hayward, ca, 94545, us",24.93508196721304,17.689999999999998,25.244736839746132,4.5,246,1,16.29,16.69,15.39,,,ca,94545,Alameda,2024-05-14,1,1,0,0
54,Denny,"25010 hesperian boulevard, hayward, ca, 94545, us",12.260370370370376,11.370000000000001,7.565852492409554,4.3,138,300+,6.02,17.56,,,,ca,94545,Alameda,2024-05-14,1,1,0,0
55,Applebee,"2442 w kettleman lane, lodi, ca, 95242, us",25.167599999999975,17.29,25.950805348582154,4.3,126,190+,16.29,16.69,15.39,,,ca,95242,San Joaquin,2024-05-14,1,1,0,0
56,Applebee,"2659 w. march lane, stockton, ca, 95207, us",26.67907563025208,17.89,26.248088493559077,4.3,120,500+,16.29,16.69,15.39,,,ca,95207,San Joaquin,2024-05-14,1,1,0,0
57,Denny,"2670 w. march lane, stockton, ca, 95207, us",12.18544554455446,10.8,7.2814132733237695,4.3,131,440+,6.02,17.46,,,,ca,95207,San Joaquin,2024-05-14,1,1,0,0
58,Denny,"4747 pacific ave., stockton, ca, 95207, us",11.5652380952381,9.69,6.980664192063552,4.1,135,120+,5.79,16.79,,,,ca,95207,San Joaquin,2024-05-14,1,1,0,0
59,Applebee,"2770 taylor st, san francisco, ca, 94133, us",32.576065573770485,23.79,30.572207767823702,4.3,369,900+,19.99,22.89,21.69,,,ca,94133,San Francisco,2024-05-14,1,1,0,0
60,Applebee,"291 w. ventura blvd, camarillo, ca, 93010, us",25.28126984126983,17.39,26.029144287812404,4.5,127,440+,18.79,16.99,15.79,,,ca,93010,Ventura,2024-05-14,1,1,0,0
61,Denny,"1659 e dailey dr, camarillo, ca, 93010, us",11.677850467289714,10.07,7.000162084643813,4.6,137,480+,5.81,16.73,,,,ca,93010,Ventura,2024-05-14,1,1,0,0
62,Applebee,"3060 n. naglee road, tracy, ca, 95304, us",22.92157894736838,19.39,20.451231317923284,4.2,117,270+,16.29,18.79,17.49,,,ca,95304,San Joaquin,2024-05-14,1,1,0,0
63,Applebee,"39139 farwell drive, fremont, ca, 94538, us",26.186747967479594,17.89,25.99420177673572,4.5,248,800+,16.29,16.69,15.39,,,ca,94538,Alameda,2024-05-14,1,1,0,0
64,Applebee,"501, rohnert park, ca, 94928, us",23.726134453781484,17.29,23.38330486484086,4.5,120,360+,16.29,16.69,15.39,,,ca,94928,Sonoma,2024-05-14,1,1,0,0
65,Applebee,"51 curtner ave, san jose, ca, 95125, us",24.30607142857134,19.99,22.379536864747948,4.4,228,700+,16.29,18.79,17.49,,,ca,95125,Santa Clara,2024-05-14,1,1,0,0
66,Applebee,"5301 old redwood hwy, petaluma, ca, 94954, us",25.917199999999966,17.49,25.8839730366109,4.5,126,200+,16.29,16.69,15.39,,,ca,94954,Sonoma,2024-05-14,1,1,0,0
67,Applebee,"555 saratoga ave., san jose, ca, 95129, us",23.590877192982376,19.99,21.757855994471203,4.6,234,600+,16.29,18.79,17.49,,,ca,95129,Santa Clara,2024-05-14,1,1,0,0
68,Denny,"910 saratoga ave, san jose, ca, 95129, us",12.526388888888887,10.434999999999999,7.522060205665354,4.4,138,600+,5.81,19.12,,,,ca,95129,Santa Clara,2024-05-14,1,1,0,0
69,Applebee,"8931 brooks rd s, windsor, ca, 95492, us",25.9714516129032,17.49,25.981055030030344,4.3,125,210+,16.29,16.69,15.39,,,ca,95492,Sonoma,2024-05-14,1,1,0,0
70,Denny,"10 airport blvd, south san francisco, ca, 94080, us",13.317943925233639,12.67,8.531760973284879,4.4,548,1,6.22,17.77,,,,ca,94080,San Mateo,2024-05-14,1,1,0,0
71,Denny,"1000 w. steele lane, santa rosa, ca, 95403, us",12.638396226415093,12.05,8.633147629569878,4.3,136,400+,6.54,17.98,,,,ca,95403,Sonoma,2024-05-14,1,1,0,0
72,Denny,"1001 east capitol, san jose, ca, 95121, us",12.335233644859821,11.94,7.560002267936464,4.5,137,700+,6.02,17.56,,,,ca,95121,Santa Clara,2024-05-14,1,1,0,0
73,Denny,"110 mchenry st., modesto, ca, 95354, us",12.138679245283024,10.435,7.322535270240002,4.2,136,160+,6.02,17.46,,,,ca,95354,Stanislaus,2024-05-14,1,1,0,0
74,Denny,"11344 san pablo ave, el cerrito, ca, 94530, us",12.493551401869144,12.05,8.542667868027683,4.2,548,450+,6.43,17.56,,,,ca,94530,Contra Costa,2024-05-14,1,1,0,0
75,Denny,"1250 stratford ave, dixon, ca, 95620, us",11.186039603960403,9.69,6.7835403705460156,2.6,130,19,5.59,17.69,,,,ca,95620,Solano,2024-05-14,1,1,0,0
