,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,specialty_item,fries,combo,hamburger,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
44,Carls Jr,"2110 w 7th st, los angeles, ca, 90057, us",8.240416666666668,8.69,1.9635755633678975,,24,,4.99,6.69,,,,ca,90057,Los Angeles,2024-06-15,0,1,1,0
45,Carls Jr,"2119 s harbor blvd, anaheim, ca, 92802, us",7.20111111111111,7.49,2.030295240951941,,18,,3.39,5.19,,,,ca,92802,Orange,2024-06-15,0,1,1,0
46,Carls Jr,"222 n. euclid ave, fullerton, ca, 92832, us",8.553333333333335,8.84,2.2169229175192857,,24,,4.99,6.69,,,,ca,92832,Orange,2024-06-15,0,1,1,0
47,Carls Jr,"2280 arden way, sacramento, ca, 95825, us",8.12375,8.79,1.8689431338325944,,24,,4.99,6.89,,,,ca,95825,Sacramento,2024-06-15,0,1,1,0
48,Carls Jr,"2301 n, oxnard, ca, 93036, us",7.123333333333331,7.49,1.887679351302369,,18,,3.39,5.59,,,,ca,93036,Ventura,2024-06-15,0,1,1,0
49,Carls Jr,"2320 e 4th st, los angeles, ca, 90033, us",8.212222222222222,8.69,1.9892923240733835,,18,,4.99,6.69,,,,ca,90033,Los Angeles,2024-06-15,0,1,1,0
50,Carls Jr,"2380 n texas st, fairfield, ca, 94533, us",8.248421052631578,8.69,2.0078956335791607,,19,,4.99,6.69,,,,ca,94533,Solano,2024-06-15,0,1,1,0
51,Carls Jr,"2400 white ln, bakersfield, ca, 93304, us",8.451304347826088,8.99,2.0396681408414716,,23,,4.99,6.89,,,,ca,93304,Kern,2024-06-15,0,1,1,0
52,Carls Jr,"2434 junipero serra blvd, daly city, ca, 94015, us",9.160526315789474,9.89,2.7007454598279272,,19,,4.88,7.55,,,,ca,94015,San Mateo,2024-06-15,0,1,1,0
53,Carls Jr,"24715 pico canyon rd, stevenson ranch, ca, 91381, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,91381,Los Angeles,2024-06-15,0,1,1,0
54,Carls Jr,"251 diamond dr, lake elsinore, ca, 92530, us",8.306666666666665,8.79,1.9425784697435289,,18,,4.99,7.39,,,,ca,92530,Riverside,2024-06-15,0,1,1,0
55,Carls Jr,"2590 s east ave, fresno, ca, 93706, us",9.160526315789474,9.89,2.7007454598279272,,19,,4.88,7.55,,,,ca,93706,Fresno,2024-06-15,0,1,1,0
56,Carls Jr,"2608 el camino real, carlsbad, ca, 92010, us",7.653684210526315,7.99,1.8357709137159324,,19,,4.39,6.19,,,,ca,92010,San Diego,2024-06-15,0,1,1,0
57,Carls Jr,"2615 broadway, sacramento, ca, 95818, us",8.258947368421053,8.79,1.9824994716581017,,19,,4.99,6.89,,,,ca,95818,Sacramento,2024-06-15,0,1,1,0
58,Carls Jr,"271 e willow st, long beach, ca, 90806, us",8.212222222222222,8.69,1.9892923240733835,,18,,4.99,6.69,,,,ca,90806,Los Angeles,2024-06-15,0,1,1,0
59,Carls Jr,"27467 hesperian blvd, hayward, ca, 94545, us",7.317777777777778,7.84,1.771943551758149,,18,,3.99,6.19,,,,ca,94545,Alameda,2024-06-15,0,1,1,0
60,Carls Jr,"27670 eucalyptus ave, moreno valley, ca, 92555, us",7.601111111111111,8.04,1.9272573745232682,,18,,3.79,6.49,,,,ca,92555,Riverside,2024-06-15,0,1,1,0
61,Carls Jr,"2808 mchenry ave, modesto, ca, 95350, us",9.160526315789474,9.89,2.7007454598279272,,19,,4.88,7.55,,,,ca,95350,Stanislaus,2024-06-15,0,1,1,0
62,Carls Jr,"2820 e. lincoln ave, anaheim, ca, 92806, us",8.491052631578947,8.69,2.2918640878616507,,19,,4.99,6.69,,,,ca,92806,Orange,2024-06-15,0,1,1,0
63,Carls Jr,"3110 e la palma, anaheim, ca, 92806, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,92806,Orange,2024-06-15,0,1,1,0
64,Carls Jr,"2903 burgener blvd, san diego, ca, 92110, us",8.030454545454544,8.34,1.747440927009674,,22,,4.78,6.19,,,,ca,92110,San Diego,2024-06-15,0,1,1,0
65,Carls Jr,"2912 s figueroa st, los angeles, ca, 90007, us",8.212222222222222,8.69,1.9892923240733835,,18,,4.99,6.69,,,,ca,90007,Los Angeles,2024-06-15,0,1,1,0
66,Carls Jr,"2940 van buren boulevard suite 100, riverside, ca, 92503, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,92503,Riverside,2024-06-15,0,1,1,0
67,Carls Jr,"3370 la sierra ave, riverside, ca, 92503, us",7.150869565217391,7.29,1.7724311798584997,,23,,3.39,5.59,,,,ca,92503,Riverside,2024-06-15,0,1,1,0
68,Carls Jr,"6061 van buren blvd, riverside, ca, 92503, us",7.04,7.390000000000001,1.8714967272212901,,18,,3.29,5.49,,,,ca,92503,Riverside,2024-06-15,0,1,1,0
69,Carls Jr,"3005 w 6th st, los angeles, ca, 90020, us",7.123333333333331,7.49,1.887679351302369,,18,,3.39,5.59,,,,ca,90020,Los Angeles,2024-06-15,0,1,1,0
70,Carls Jr,"3008 el cajon blvd, san diego, ca, 92104, us",7.653684210526315,7.99,1.8357709137159324,,19,,4.39,6.19,,,,ca,92104,San Diego,2024-06-15,0,1,1,0
71,Carls Jr,"30604 benton rd, winchester, ca, 92596, us",8.378888888888888,8.99,1.9826718473617837,,18,,4.99,7.49,,,,ca,92596,Riverside,2024-06-15,0,1,1,0
72,Carls Jr,"3131 crow canyon pl, san ramon, ca, 94583, us",8.958333333333334,9.885000000000002,2.634822363820546,,24,,4.88,7.55,,,,ca,94583,Contra Costa,2024-06-15,0,1,1,0
