,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,fries,specialty_item,hamburger,combo,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
139,Burger King,"6000 rivers ave, north charleston, sc, 29406, us",3.835833333333333,2.99,2.4149584479977193,,24,,1.99,2.7,6.2,3.8,,sc,29406,Charleston,2024-03-30,0,0,1,0
140,Burger King,"6003 gateway drive, plainfield, in, 46168, us",3.801599999999999,2.99,1.9787140874820701,,25,,1.99,2.99,5.89,4.19,,in,46168,Hendricks,2024-03-30,0,0,1,0
141,Burger King,"601 martin luther king blvd, savannah, ga, 31401, us",3.7974074074074053,2.99,2.0428603632281956,,27,,2.39,2.99,5.89,2.99,,ga,31401,Chatham,2024-03-30,0,0,1,0
142,Burger King,"6029 wade hampton boulevard, taylors, sc, 29687, us",3.6660000000000004,3.09,1.7761261216478965,,25,,1.99,3.09,5.39,3.09,,sc,29687,Greenville,2024-03-30,0,0,1,0
143,Burger King,"6135 eastex freeway #2, beaumont, tx, 77706, us",3.6284615384615373,2.69,1.9863141209240416,,26,,1.89,2.69,5.49,2.69,,tx,77706,Jefferson,2024-03-30,0,0,1,0
144,Burger King,"6425 phelan boulevard, beaumont, tx, 77706, us",3.6284615384615373,2.69,1.9863141209240416,,26,,1.89,2.69,5.49,2.69,,tx,77706,Jefferson,2024-03-30,0,0,1,0
145,Burger King,"621 west chicago avenue, east chicago, in, 46312, us",3.7553846153846147,2.79,2.0727058323494973,,26,,1.99,2.79,5.89,2.79,,in,46312,Lake,2024-03-30,0,0,1,0
146,Burger King,"6220 east freeway, houston, tx, 77020, us",3.613076923076922,2.54,2.050948690860983,,26,,1.89,2.49,5.49,2.59,,tx,77020,Harris,2024-03-30,0,0,1,0
147,Burger King,"623 second street, manchester, nh, 03102, us",4.097692307692307,3.09,2.5307224685883183,,26,,1.99,3.19,6.89,2.99,,nh,3102,Hillsborough,2024-03-30,0,0,1,0
148,Burger King,"6337 crawfordsville rd, speedway, in, 46224, us",3.801599999999999,2.99,1.9787140874820701,,25,,1.99,2.99,5.89,4.19,,in,46224,Marion,2024-03-30,0,0,1,0
149,Burger King,"659 government st, mobile, al, 36602, us",3.9533333333333327,3.09,1.97779057424075,,30,,2.29,2.79,5.49,3.19,,al,36602,Mobile,2024-03-30,0,0,1,0
150,Burger King,"6904 kennedy ave., hammond, in, 46323, us",4.380000000000001,3.44,2.6112036717545823,,26,,2.29,3.29,6.89,3.99,,in,46323,Lake,2024-03-30,0,0,1,0
151,Burger King,"6909 odana road, madison, wi, 53719, us",4.524230769230768,3.74,2.6474198950283117,,26,,2.49,3.39,7.09,4.09,,wi,53719,Dane,2024-03-30,0,0,1,0
152,Burger King,"696 hanes mall blvd, winston salem, nc, 27103, us",3.81,3.09,1.8497567407634983,,25,,2.19,3.09,5.69,3.59,,nc,27103,Forsyth,2024-03-30,0,0,1,0
153,Burger King,"6971 west 38th street, indianapolis, in, 46214, us",3.801599999999999,2.99,1.9787140874820701,,25,,1.99,2.99,5.89,4.19,,in,46214,Marion,2024-03-30,0,0,1,0
154,Burger King,"7011 gulf freeway, houston, tx, 77087, us",3.613076923076922,2.54,2.050948690860983,,26,,1.89,2.49,5.49,2.59,,tx,77087,Harris,2024-03-30,0,0,1,0
155,Burger King,"7050, theodore, al, 36582, us",3.9299999999999993,3.09,1.9374553758301982,,30,,2.29,2.79,5.39,3.19,,al,36582,Mobile,2024-03-30,0,0,1,0
156,Burger King,"7116 highway 70 south, nashville, tn, 37221, us",3.8740000000000006,3.29,1.8972991329782452,,25,,2.19,3.29,5.69,3.59,,tn,37221,Davidson,2024-03-30,0,0,1,0
157,Burger King,"730 lane allen rd, lexington, ky, 40504, us",3.693999999999999,2.99,1.9777724843874234,,25,,1.99,2.99,5.19,2.79,,ky,40504,Fayette,2024-03-30,0,0,1,0
158,Burger King,"7638 perkins road, baton rouge, la, 70810, us",3.7751851851851845,2.99,1.9811526206850356,,27,,2.29,2.79,5.39,3.19,,la,70810,East Baton Rouge,2024-03-30,0,0,1,0
159,Burger King,"7938 calumet avenue, munster, in, 46321, us",3.72076923076923,2.74,2.0592697045254496,,26,,1.99,2.69,5.69,2.79,,in,46321,Lake,2024-03-30,0,0,1,0
160,Burger King,"7939 east 41 street, south, tulsa, ok, 74145, us",3.7819230769230763,2.84,1.9821744455381263,,26,,1.99,2.79,5.19,2.79,,ok,74145,Tulsa,2024-03-30,0,0,1,0
161,Burger King,"801 3rd avenue west, birmingham, al, 35204, us",3.7455555555555544,2.99,2.015005437605628,,27,,2.29,2.99,5.89,2.99,,al,35204,Jefferson,2024-03-30,0,0,1,0
162,Burger King,"803 n. main, layton, ut, 84041, us",3.9529629629629617,3.19,2.2660371917035724,,27,,1.99,3.19,6.19,3.59,,ut,84041,Davis,2024-03-30,0,0,1,0
163,Burger King,"810 north main street, oregon, wi, 53575, us",4.272962962962963,3.29,2.6198725086521324,,27,,2.29,3.29,6.89,3.99,,wi,53575,Dane,2024-03-30,0,0,1,0
164,Burger King,"8131 pat booker rd, live oak, tx, 78233, us",3.799629629629627,2.99,2.223741394306387,,27,,1.63,2.88,6.04,3.59,,tx,78233,Bexar,2024-03-30,0,0,1,0
165,Burger King,"819 memorial blvd, murfreesboro, tn, 37129, us",3.8740000000000006,3.29,1.8972991329782452,,50,,2.19,3.29,5.69,3.59,,tn,37129,Rutherford,2024-03-30,0,0,1,0
166,Burger King,"819 south 3rd street, wilmington, nc, 28401, us",3.81,3.09,1.8497567407634983,,25,,2.19,3.09,5.69,3.59,,nc,28401,New Hanover,2024-03-30,0,0,1,0
167,Burger King,"8378 w overland rd., boise, id, 83709, us",4.1419999999999995,3.29,2.330342464102648,,25,,2.29,3.29,5.79,3.29,,id,83709,Ada,2024-03-30,0,0,1,0
168,Burger King,"85 tunnel road, asheville, nc, 28805, us",3.6660000000000004,3.09,1.7761261216478965,,25,,1.99,3.09,5.39,3.09,,nc,28805,Buncombe,2024-03-30,0,0,1,0
169,Burger King,"9009 clinton drive, houston, tx, 77029, us",3.613076923076922,2.54,2.050948690860983,,26,,1.89,2.49,5.49,2.59,,tx,77029,Harris,2024-03-30,0,0,1,0
