,menu_item,price,calories,address
109,Family Chili,13.49,"1,100","2727 Highway 280, Birmingham, AL, 35223, US"
110,Chili,3.29/3.79,240/340,"2727 Highway 280, Birmingham, AL, 35223, US"
111,Sour Cream and Chive Baked Potato,3.29,310,"2727 Highway 280, Birmingham, AL, 35223, US"
112,Plain Baked Potato,2.99,270,"2727 Highway 280, Birmingham, AL, 35223, US"
113,Bacon Cheese Baked Potato,4.59,440,"2727 Highway 280, Birmingham, AL, 35223, US"
114,Chili & Cheese Baked Potato,4.29,500,"2727 Highway 280, Birmingham, AL, 35223, US"
115,Cheese Baked Potato,3.79,450,"2727 Highway 280, Birmingham, AL, 35223, US"
116,Apple Bites,1.29,35,"2727 Highway 280, Birmingham, AL, 35223, US"
117,6 PC. Crispy Chicken Nuggets,2.99,270,"2727 Highway 280, Birmingham, AL, 35223, US"
118,4 PC. Crispy Chicken Nuggets,2.19,180,"2727 Highway 280, Birmingham, AL, 35223, US"
119,6 PC. Spicy Chicken Nuggets,2.99,280,"2727 Highway 280, Birmingham, AL, 35223, US"
120,4 PC. Spicy Chicken Nuggets,2.19,190,"2727 Highway 280, Birmingham, AL, 35223, US"
121,Pretzel Baconator®,8.99,"1,050","2327 7Th Avenue S., Birmingham, AL, 35233, US"
122,Dave's Single®,6.19,590,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
123,Dave's Double®,7.19,860,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
124,Dave's Triple®,8.19,"1,160","2327 7Th Avenue S., Birmingham, AL, 35233, US"
125,Baconator®,7.99,960,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
126,Son of Baconator®,5.99,630,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
127,Big Bacon Classic®,6.69,650,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
128,Big Bacon Classic® Double,7.69,910,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
129,Big Bacon Classic Triple,8.69,"1,220","2327 7Th Avenue S., Birmingham, AL, 35233, US"
130,Bacon Double Stack,4.39,440,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
131,Jr. Bacon Cheeseburger,2.99,370,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
132,Jr. Cheeseburger Deluxe,2.99,340,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
133,Jr. Cheeseburger,2.59,290,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
134,Double Stack™,3.99,410,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
135,Jr. Hamburger,1.99,250,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
136,French Fries,1.99-3.59,210-470,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
137,Baconator Fries,3.99,460,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
138,Chili Cheese Fries,3.99,520,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
139,Cheese Fries,2.99,470,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
140,Family Chili,13.49,"1,100","2327 7Th Avenue S., Birmingham, AL, 35233, US"
141,Chili,3.29/3.79,240/340,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
142,Sour Cream and Chive Baked Potato,3.29,310,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
143,Plain Baked Potato,2.99,270,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
144,Bacon Cheese Baked Potato,4.59,440,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
145,Chili & Cheese Baked Potato,4.29,500,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
146,Cheese Baked Potato,3.79,450,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
147,Apple Bites,1.29,35,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
148,6 PC. Crispy Chicken Nuggets,2.99,270,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
149,4 PC. Crispy Chicken Nuggets,2.19,180,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
150,6 PC. Spicy Chicken Nuggets,2.99,280,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
151,4 PC. Spicy Chicken Nuggets,2.19,190,"2327 7Th Avenue S., Birmingham, AL, 35233, US"
152,Pretzel Baconator®,8.99,"1,050","345 Valley Ave, Birmingham, AL, 35209, US"
153,Dave's Single®,6.19,590,"345 Valley Ave, Birmingham, AL, 35209, US"
154,Dave's Double®,7.19,860,"345 Valley Ave, Birmingham, AL, 35209, US"
155,Dave's Triple®,8.19,"1,160","345 Valley Ave, Birmingham, AL, 35209, US"
156,Baconator®,7.99,960,"345 Valley Ave, Birmingham, AL, 35209, US"
157,Son of Baconator®,5.99,630,"345 Valley Ave, Birmingham, AL, 35209, US"
158,Big Bacon Classic®,6.69,650,"345 Valley Ave, Birmingham, AL, 35209, US"
159,Big Bacon Classic® Double,7.69,910,"345 Valley Ave, Birmingham, AL, 35209, US"
160,Big Bacon Classic Triple,8.69,"1,220","345 Valley Ave, Birmingham, AL, 35209, US"
161,Bacon Double Stack,4.39,440,"345 Valley Ave, Birmingham, AL, 35209, US"
162,Jr. Bacon Cheeseburger,2.99,370,"345 Valley Ave, Birmingham, AL, 35209, US"
163,Jr. Cheeseburger Deluxe,2.99,340,"345 Valley Ave, Birmingham, AL, 35209, US"
164,Jr. Cheeseburger,2.59,290,"345 Valley Ave, Birmingham, AL, 35209, US"
165,Double Stack™,3.99,410,"345 Valley Ave, Birmingham, AL, 35209, US"
166,Jr. Hamburger,1.99,250,"345 Valley Ave, Birmingham, AL, 35209, US"
167,French Fries,1.99-3.59,210-470,"345 Valley Ave, Birmingham, AL, 35209, US"
168,Baconator Fries,3.99,460,"345 Valley Ave, Birmingham, AL, 35209, US"
169,Chili Cheese Fries,3.99,520,"345 Valley Ave, Birmingham, AL, 35209, US"
170,Cheese Fries,2.99,470,"345 Valley Ave, Birmingham, AL, 35209, US"
171,Family Chili,13.49,"1,100","345 Valley Ave, Birmingham, AL, 35209, US"
172,Chili,3.29/3.79,240/340,"345 Valley Ave, Birmingham, AL, 35209, US"
173,Sour Cream and Chive Baked Potato,3.29,310,"345 Valley Ave, Birmingham, AL, 35209, US"
174,Plain Baked Potato,2.99,270,"345 Valley Ave, Birmingham, AL, 35209, US"
175,Bacon Cheese Baked Potato,4.59,440,"345 Valley Ave, Birmingham, AL, 35209, US"
176,Chili & Cheese Baked Potato,4.29,500,"345 Valley Ave, Birmingham, AL, 35209, US"
177,Cheese Baked Potato,3.79,450,"345 Valley Ave, Birmingham, AL, 35209, US"
178,Apple Bites,1.29,35,"345 Valley Ave, Birmingham, AL, 35209, US"
179,6 PC. Crispy Chicken Nuggets,2.99,270,"345 Valley Ave, Birmingham, AL, 35209, US"
180,4 PC. Crispy Chicken Nuggets,2.19,180,"345 Valley Ave, Birmingham, AL, 35209, US"
