,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,restaurant_rating first,state,zip,county_name
749,Five Guys,"16730 west bluemound road, brookfield, wi, 53005, us",8.427241379310347,8.27,3.352321785796989,4.6,348,190+,13.67,,11.03,9.83,7.31,,wi,53005,Waukesha
750,McDonald,"3000 se 14th st, des moines, ia, 50315, us",5.690819672131152,4.99,3.8333201784396604,4.3,137,600+,7.09,12.09,3.29,2.89,4.19,,ia,50315,Polk
751,McDonald,"4201 fleur dr, des moines, ia, 50315, us",5.610967741935487,4.99,3.8420902030004025,4.3,137,470+,6.79,10.69,3.49,3.09,4.09,,ia,50315,Polk
752,Hardees,"915 army post rd, des moines, ia, 50315, us",6.40733333333334,3.74,6.30241463426695,3.8266666666666667,105,110+,7.49,0.0,5.36,,3.24,,ia,50315,Polk
753,McDonald,"3002 forest ave, des moines, ia, 50311, us",5.820158730158735,4.99,3.9535451208281143,4.3,140,1,7.09,11.99,3.59,3.19,4.09,,ia,50311,Polk
754,McDonald,"301 e warnock st, louisville 40217, usa, louisville-jefferson county, ky, 40208, us",6.447829457364348,4.85,4.6768227738216614,4.1,151,2,6.71,11.25,2.92,2.93,3.99,,ky,40208,Jefferson
755,McDonald,"301 veterans blvd, metairie, la, 70005, us",5.3568032786885285,3.7649999999999997,4.2453896433184815,4.5,138,2,7.13,13.5,2.08,1.69,3.61,,la,70005,Jefferson
756,Wendy,"300 veterans memorial blvd., metairie, la, 70005, us",5.726153846153846,4.87,2.886334615874067,,85,500+,6.94,0.0,3.04,2.67,0.0,4.4,la,70005,Jefferson
757,Burger King,"916 veterans memorial blvd., metairie, la, 70005, us",7.4553164556962015,5.39,6.001668087837303,4.5,79,700+,6.59,11.79,2.79,3.89,3.39,,la,70005,Jefferson
758,McDonald,"301 w ridge rd, pharr, tx, 78577, us",4.8334126984127,3.51,3.9354425665685158,4.7,141,600+,5.29,8.69,1.89,1.79,3.19,,tx,78577,Hidalgo
759,Jack in the Box,"703 s jackson rd, pharr, tx, 78577, us",7.072857142857147,6.24,3.452936355695866,4.4,161,350+,5.36,10.23,3.36,2.99,4.36,,tx,78577,Hidalgo
760,Sonic,"701 s jackson rd, pharr, tx, 78577, us",5.382413793103449,4.87,3.0644385829667504,4.8,59,74,,,7.8,,4.26,,tx,78577,Hidalgo
761,McDonald,"3011 johnson ferry dr, marietta, ga, 30062, us",6.731085271317829,4.39,7.090736531462741,4.6,150,700+,6.09,10.29,2.89,2.39,3.59,,ga,30062,Cobb
762,McDonald,"3012 w berry st, fort worth, tx, 76109, us",3.975902777777775,3.465,3.230338263418148,4.6,144,3,5.53,8.99,1.79,1.69,3.19,,tx,76109,Tarrant
763,Jack in the Box,"2851 w berry st, fort worth, tx, 76109, us",7.361419354838713,6.61,3.463247485629949,4.5,155,1,5.49,10.48,3.49,2.86,4.49,,tx,76109,Tarrant
764,McDonald,"302 w, irving, tx, 75060, us",4.478174603174599,4.09,2.9509676650193786,4.5,140,2,5.79,9.19,2.49,2.19,3.39,,tx,75060,Dallas
765,McDonald,"950 s beltline rd, irving, tx, 75060, us",4.480303030303029,4.09,3.3007446220039167,4.5,146,500+,5.79,8.39,2.2,2.09,3.19,,tx,75060,Dallas
766,Burger King,"200 w, irving, tx, 75060, us",7.594625000000008,5.61,6.194817984362009,4.0,80,500+,7.74,12.74,2.36,3.74,3.49,,tx,75060,Dallas
767,Sonic,"2327 w. shady grove, irving, tx, 75060, us",4.68805555555555,3.89,2.9943509957589263,4.3,609,500+,0.0,,7.8,,4.26,,tx,75060,Dallas
768,McDonald,"3023 washington pike, bridgeville, pa, 15017, us",6.005161290322583,4.66,4.757417211299904,4.3,138,1,7.0,12.79,3.36,2.97,4.53,,pa,15017,Allegheny
769,Five Guys,"160 millers run rd., bridgeville, pa, 15017, us",8.304285714285715,8.75,3.1478739180725825,4.7,28,1,13.07,,10.43,9.23,7.43,,pa,15017,Allegheny
770,McDonald,"3025 elysian fields ave, new orleans, la, 70122, us",5.28880952380953,3.745,4.199460208536794,3.6999999999999997,142,1,7.13,13.5,2.08,1.69,3.61,,la,70122,Orleans
771,Burger King,"3102 elysian fields ave., new orleans, la, 70122, us",7.154999999999999,5.295,5.8481279055779885,4.4,80,900+,6.95,12.1,2.99,3.95,3.47,,la,70122,Orleans
772,McDonald,"3026 capital blvd, raleigh, nc, 27604, us",6.815174825174842,4.79,6.709954024536549,4.1,318,900+,6.19,10.69,2.79,2.49,4.29,,nc,27604,Wake
773,McDonald,"4413 capital blvd, raleigh, nc, 27604, us",6.684357142857151,4.79,6.6873830254885105,4.2,156,1,6.29,10.69,2.79,2.49,4.19,,nc,27604,Wake
774,Wendy,"3701 new bern ave, raleigh, nc, 27604, us",5.3336000000000015,4.5,2.6023057160910206,,85,1,6.33,0.0,2.79,2.43,0.0,4.2,nc,27604,Wake
775,Burger King,"3000 capital avenue, raleigh, nc, 27604, us",5.9622891566265075,6.1,2.9145548029709403,4.4,83,340+,6.6,9.3,2.45,3.79,3.79,,nc,27604,Wake
776,Sonic,"4648 atlantic ave, raleigh, nc, 27604, us",5.109444444444445,4.32,2.958463325260865,4.0,170,1,8.04,0.0,4.14,,0.0,,nc,27604,Wake
777,McDonald,"303 e oltorf st, austin, tx, 78704, us",5.238897637795278,4.29,4.230338909441486,4.5,141,3,5.29,9.59,2.49,2.39,3.09,,tx,78704,Travis
778,McDonald,"3909 s congress ave, austin, tx, 78704, us",5.1277536231884095,4.140000000000001,4.110287027270097,4.5,153,2,5.09,9.59,2.49,2.19,2.99,,tx,78704,Travis
779,McDonald,"710 e ben white, austin, tx, 78704, us",5.200314960629921,4.19,4.192391484283487,4.5,141,600+,5.59,9.19,2.49,2.39,2.99,,tx,78704,Travis
780,Jack in the Box,"1801 west ben white boulevard, austin, tx, 78704, us",8.578311688311691,7.86,4.04206450484056,4.3,154,1,6.24,12.35,4.11,3.74,5.36,,tx,78704,Travis
781,Shake Shack,"1100 south lamar blvd, austin, tx, 78704, us",19.53961832061069,7.59,32.23059893157287,4.7,534,10,8.19,,7.89,7.59,4.79,,tx,78704,Travis
782,Burger King,"1001 east ben white boulevard, austin, tx, 78704, us",7.639136490250699,6.59,5.747540986200588,4.3,359,1,7.39,12.19,2.69,3.59,3.39,,tx,78704,Travis
783,Sonic,"2632 s lamar, austin, tx, 78704, us",4.935277777777767,4.3149999999999995,3.047473895714571,4.3,870,800+,0.0,,8.04,,4.01,,tx,78704,Travis
784,McDonald,"3050 south martin luther king junior par, beaumont, tx, 77705, us",4.8972580645161266,3.89,3.423980267011856,4.2,145,490+,5.29,9.49,1.55,1.43,3.39,,tx,77705,Jefferson
785,Jack in the Box,"590 washington blvd, beaumont, tx, 77705, us",7.374932432432439,6.25,3.5930814706730607,4.2,148,420+,4.99,10.23,3.24,2.86,4.36,,tx,77705,Jefferson
786,McDonald,"310 east beach boulevard, long beach, ms, 39560, us",7.343924050632911,5.39,5.966669961093158,4.3,79,210+,2.79,,,,,,ms,39560,Harrison
