,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,restaurant_rating first,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
664,Jack in the Box,"5126 arlington ave., riverside, ca, 92504, us",8.208692810457519,7.49,4.072146692275755,4.7,153,800+,7.49,13.99,4.11,3.74,5.24,,ca,92504,Riverside,2024-05-14,1,1,1,0
665,McDonald,"550 lawrence expy, sunnyvale, ca, 94085, us",7.05219512195121,5.25,5.298748975927704,4.6,135,2,10.38,16.05,4.98,4.03,6.73,,ca,94085,Santa Clara,2024-05-14,1,1,1,0
666,McDonald,"696 n mathilda ave, sunnyvale, ca, 94085, us",6.119076923076925,4.74,4.076948981049778,4.7,151,1,8.69,15.29,4.29,3.79,5.69,,ca,94085,Santa Clara,2024-05-14,1,1,1,0
667,Burger King,"773 north mathilda avenue, sunnyvale, ca, 94085, us",9.449883720930236,8.59,6.11017260712042,4.7,172,800+,10.2,17.03,4.93,6.91,4.39,,ca,94085,Santa Clara,2024-05-14,1,1,1,0
668,McDonald,"556 e el camino real, sunnyvale, ca, 94087, us",5.673007518796995,4.39,4.57821483825373,4.8,148,1,7.39,12.05,3.49,4.19,4.47,,ca,94087,Santa Clara,2024-05-14,1,1,1,0
669,Wendy,"1313 s. wolfe road, sunnyvale, ca, 94087, us",7.753269230769224,5.82,4.6043945234433155,,174,700+,10.07,0.0,4.14,3.65,0.0,4.6,ca,94087,Santa Clara,2024-05-14,1,1,1,0
670,The Habit,"146 w el camino real, sunnyvale, ca, 94087, us",11.453525641025632,8.74,10.64530068492287,4.7,156,1,9.61,17.98,8.49,7.36,4.61,,ca,94087,Santa Clara,2024-05-14,1,1,1,0
671,Five Guys,"116 e. el camino real, sunnyvale, ca, 94087, us",8.91551724137931,9.59,3.491810701318253,4.7,29,1,14.15,,11.27,10.43,7.67,,ca,94087,Santa Clara,2024-05-14,1,1,1,0
672,McDonald,"5600 nave dr, novato, ca, 94949, us",6.550985915492977,5.39,4.952125352497036,4.6,310,700+,8.29,12.99,4.39,4.39,4.99,,ca,94949,Marin,2024-05-14,1,1,1,0
673,Jack in the Box,"301 enfrente rd, novato, ca, 94949, us",8.313691275167711,7.49,4.150801062654772,4.2,596,310+,6.86,13.73,4.11,3.74,4.99,,ca,94949,Marin,2024-05-14,1,1,1,0
674,Burger King,"220 alameda del prado, novato, ca, 94949, us",8.83689655172414,6.75,6.355202920577143,4.8,174,430+,10.29,17.54,3.79,5.39,5.99,,ca,94949,Marin,2024-05-14,1,1,1,0
675,McDonald,"563 carolyn weston blvd, stockton, ca, 95206, us",8.764892086330953,5.19,10.399533288290101,4.1,157,10,7.69,14.79,4.09,3.69,5.49,,ca,95206,San Joaquin,2024-05-14,1,1,1,0
676,McDonald,"611 w charter way, stockton, ca, 95206, us",8.676241134751791,5.19,10.356587415370402,4.1,157,700+,7.69,14.79,4.09,3.69,5.49,,ca,95206,San Joaquin,2024-05-14,1,1,1,0
677,Jack in the Box,"733 west charter wy, stockton, ca, 95206, us",8.835971731448739,8.11,4.40427354613284,4.247349823321555,283,410+,7.49,14.6,4.11,3.74,4.99,,ca,95206,San Joaquin,2024-05-14,1,1,1,0
678,Burger King,"619 west charter way, stockton, ca, 95206, us",8.170276243093916,6.19,6.139573826782974,4.2,362,430+,9.61,16.37,2.59,4.69,5.06,,ca,95206,San Joaquin,2024-05-14,1,1,1,0
679,McDonald,"568 s mt vernon ave, san bernardino, ca, 92410, us",6.215241935483874,4.59,4.862343697414838,4.5,141,900+,6.99,12.79,3.29,2.79,4.89,,ca,92410,San Bernardino,2024-05-14,1,1,1,0
680,McDonald,"699 2nd st, san bernardino, ca, 92410, us",6.0139837398374025,4.41,4.590032810665697,4.3,141,1,6.99,12.79,3.29,2.59,4.29,,ca,92410,San Bernardino,2024-05-14,1,1,1,0
681,Jack in the Box,"303 e base line st, san bernardino, ca, 92410, us",8.210886075949368,7.615,3.8736768879955576,4.3,158,1,6.86,13.36,3.61,3.24,5.24,,ca,92410,San Bernardino,2024-05-14,1,1,1,0
682,Burger King,"935 north waterman, san bernardino, ca, 92410, us",8.715886792452832,6.99,5.986184729009419,4.370188679245284,265,500+,10.39,15.29,3.39,5.39,4.89,,ca,92410,San Bernardino,2024-05-14,1,1,1,0
683,McDonald,"585 tully rd, san jose, ca, 95112-1920, us",5.983851851851856,4.29,4.5583148259116735,4.5,154,380+,7.39,12.19,4.39,3.39,4.79,,ca,95112,Santa Clara,2024-05-14,1,1,1,0
684,Jack in the Box,"148 e san carlos st, san jose, ca, 95112, us",9.09445205479449,8.365,4.27786081972132,4.447945205479452,292,2,7.74,14.85,4.61,4.11,5.99,,ca,95112,Santa Clara,2024-05-14,1,1,1,0
685,Burger King,"1181 old oakland road, san jose, ca, 95112, us",9.956595744680852,9.19,5.753584184161835,4.7,94,470+,9.99,15.49,3.99,7.49,5.99,,ca,95112,Santa Clara,2024-05-14,1,1,1,0
686,Burger King,"2170 monterey road, san jose, ca, 95112, us",7.955476190476196,6.59,5.817676860995023,4.8,168,120+,8.49,13.99,2.99,4.99,3.49,,ca,95112,Santa Clara,2024-05-14,1,1,1,0
687,Carls Jr,"1095 oakland rd, san jose, ca, 95112, us",7.461698113207548,7.19,3.1234075102205443,4.4,93,700+,10.79,0.0,7.19,,4.43,,ca,95112,Santa Clara,2024-05-14,1,1,1,0
688,McDonald,"600 redwood hwy, mill valley, ca, 94941, us",7.543142857142868,4.465,6.688476880396004,4.5,163,900+,8.19,15.29,3.69,3.49,5.09,,ca,94941,Marin,2024-05-14,1,1,1,0
689,McDonald,"609 market st, san francisco, ca, 94105-3301, us",6.301450381679391,4.95,4.291072593567166,4.6,152,7,7.89,13.69,4.09,3.49,5.49,,ca,94105,San Francisco,2024-05-14,1,1,1,0
690,McDonald,"619 broadway, chula vista, ca, 91910, us",7.0123809523809575,5.24,5.43199946065807,4.6,148,800+,8.39,13.65,4.28,3.78,5.5,,ca,91910,San Diego,2024-05-14,1,1,1,0
691,McDonald,"725 e st, chula vista, ca, 91910, us",5.822905982905984,4.67,4.100876508316231,4.6,136,600+,6.97,12.47,3.61,3.39,5.29,,ca,91910,San Diego,2024-05-14,1,1,1,0
692,Jack in the Box,"370 e h st, chula vista, ca, 91910, us",7.570496688741707,6.61,3.663504648501445,4.3,302,1,5.36,11.1,3.24,2.86,4.49,,ca,91910,San Diego,2024-05-14,1,1,1,0
693,Jack in the Box,"486 broadway, chula vista, ca, 91910, us",7.419453924914666,6.61,3.6619451146380007,4.5,293,1,5.36,10.73,3.24,2.86,4.49,,ca,91910,San Diego,2024-05-14,1,1,1,0
694,Jack in the Box,"5 n 4th ave, chula vista, ca, 91910, us",8.390234899328815,7.49,4.1252183523892905,4.7,298,500+,7.86,14.98,3.74,3.49,4.99,,ca,91910,San Diego,2024-05-14,1,1,1,0
695,Wendy,"618 e street, chula vista, ca, 91910, us",6.571399999999999,5.72,3.0756404276182865,,170,2,8.28,0.0,3.65,3.28,0.0,4.5,ca,91910,San Diego,2024-05-14,1,1,1,0
696,Burger King,"599 broadway, chula vista, ca, 91910, us",8.765795454545467,6.99,6.051103059020596,4.653977272727273,176,310+,10.39,15.29,3.79,5.39,4.99,,ca,91910,San Diego,2024-05-14,1,1,1,0
697,Burger King,"899 east h street, chula vista, ca, 91910, us",8.971728395061733,6.49,6.364287084903562,4.7,81,600+,10.39,16.39,3.89,5.99,5.39,,ca,91910,San Diego,2024-05-14,1,1,1,0
698,Burger King,"97 bonita road, chula vista, ca, 91910, us",8.960681818181829,6.99,6.182414171637921,4.6,176,330+,10.39,16.39,3.89,5.99,5.39,,ca,91910,San Diego,2024-05-14,1,1,1,0
699,Carls Jr,"695 h st, chula vista, ca, 91910, us",9.84012048192772,9.74,4.922129153849059,4.6,89,290+,7.74,,5.98,,3.74,,ca,91910,San Diego,2024-05-14,1,1,1,0
700,The Habit,"770 otay lakes road, chula vista, ca, 91910, us",11.489487179487188,8.74,10.621063481620139,4.7,78,130+,9.61,17.98,8.49,7.36,4.61,,ca,91910,San Diego,2024-05-14,1,1,1,0
701,Five Guys,"555 broadway, chula vista, ca, 91910, us",9.908620689655173,10.07,3.7072675355659985,4.6,29,2,15.47,,12.47,11.15,8.75,,ca,91910,San Diego,2024-05-14,1,1,1,0
702,McDonald,"6300 morro rd, atascadero, ca, 93422, us",6.078731343283577,4.49,5.046986010828161,4.7,152,150+,7.09,12.79,3.49,3.29,4.99,,ca,93422,San Luis Obispo,2024-05-14,1,1,1,0
703,Jack in the Box,"9000 west front street, atascadero, ca, 93422, us",8.52596721311472,7.86,4.026936165892245,4.550163934426229,305,37,6.86,12.98,4.11,3.74,4.99,,ca,93422,San Luis Obispo,2024-05-14,1,1,1,0
704,Wendy,"8600 curbaril ave, atascadero, ca, 93422, us",5.081999999999997,4.29,2.4404786415783275,,85,99,6.49,0.0,2.99,2.29,0.0,4.4,ca,93422,San Luis Obispo,2024-05-14,1,1,1,0
705,McDonald,"6600 commerce blvd, rohnert park, ca, 94928, us",6.003846153846159,4.69,4.082848813986357,4.6,148,600+,8.69,14.29,4.39,3.79,5.69,,ca,94928,Sonoma,2024-05-14,1,1,1,0
706,Jack in the Box,"6299 commerce blvd, rohnert park, ca, 94928, us",8.228212560386451,7.24,4.161993575783889,4.5,414,900+,6.86,13.73,4.11,3.74,4.99,,ca,94928,Sonoma,2024-05-14,1,1,1,0
707,Burger King,"5020 redwood drive, rohnert park, ca, 94928, us",8.248526315789476,6.39,6.0201895351210615,4.3,95,140+,9.49,16.24,3.49,5.19,4.89,,ca,94928,Sonoma,2024-05-14,1,1,1,0
708,Burger King,"6125 commerce boulevard, rohnert park, ca, 94928, us",8.248526315789476,6.39,6.0201895351210615,4.1,95,300+,9.49,16.24,3.49,5.19,4.89,,ca,94928,Sonoma,2024-05-14,1,1,1,0
709,Carls Jr,"6460 redwood dr, rohnert park, ca, 94928, us",10.900581395348837,10.565,5.632010949598556,4.4,92,130+,8.84,13.89,5.15,,4.66,,ca,94928,Sonoma,2024-05-14,1,1,1,0
710,McDonald,"6623 san pablo ave, oakland, ca, 94608, us",5.772611940298507,4.54,4.50649728776503,4.4,150,2,7.39,12.59,3.49,4.19,4.59,,ca,94608,Alameda,2024-05-14,1,1,1,0
