,menu_item,menu_item_price,menu_item_calories,restaurant_address
140,Bacon Cheeseburger,3.49,340,"3996 Washington Boulevard, Fremont, CA, 94538, US"
141,Double Cheeseburger,3.99,400,"3996 Washington Boulevard, Fremont, CA, 94538, US"
142,Cheeseburger,2.99,290,"3996 Washington Boulevard, Fremont, CA, 94538, US"
143,Rodeo Burger,3.49,340,"3996 Washington Boulevard, Fremont, CA, 94538, US"
144,Hamburger,1.99,250,"3996 Washington Boulevard, Fremont, CA, 94538, US"
145,Have-sies™,3.89,380,"3996 Washington Boulevard, Fremont, CA, 94538, US"
146,French Fries,3.99,370,"3996 Washington Boulevard, Fremont, CA, 94538, US"
147,Onion Rings,3.89,360,"3996 Washington Boulevard, Fremont, CA, 94538, US"
148,12 Pc. Chicken Fries,8.39,340,"3996 Washington Boulevard, Fremont, CA, 94538, US"
149,8 Pc. Chicken Fries,5.69,220,"3996 Washington Boulevard, Fremont, CA, 94538, US"
150,8 Pc. Fiery Buffalo Nuggets	,3.49,510,"3996 Washington Boulevard, Fremont, CA, 94538, US"
151,4 Pc. Chicken Fries,2.89,110,"3996 Washington Boulevard, Fremont, CA, 94538, US"
152,16 Pc. Chicken Nuggets,4.59,770,"3996 Washington Boulevard, Fremont, CA, 94538, US"
153,8 Pc. Chicken Nuggets,2.99,390,"3996 Washington Boulevard, Fremont, CA, 94538, US"
154,4 Pc. Chicken Nuggets,1.49,190,"3996 Washington Boulevard, Fremont, CA, 94538, US"
155,Mozzarella Sticks,2.99,330,"3996 Washington Boulevard, Fremont, CA, 94538, US"
156,MOTTS Applesauce,1.49,50,"3996 Washington Boulevard, Fremont, CA, 94538, US"
157,Tacos,2.0,420,"3996 Washington Boulevard, Fremont, CA, 94538, US"
158,Whopper Meals,13.49,"1,390","1801 Decoto Road, Union City, CA, 94587, US"
159,Texas Double Whopper Meals,16.19,"1,810","1801 Decoto Road, Union City, CA, 94587, US"
160,Double Whopper Meals,14.69,"1,640","1801 Decoto Road, Union City, CA, 94587, US"
161,Impossible Whopper Meals,14.49,"1,350","1801 Decoto Road, Union City, CA, 94587, US"
162,Bacon King Meals,14.79,"1,920","1801 Decoto Road, Union City, CA, 94587, US"
163,Whopper Jr Meals,9.19,"1,050","1801 Decoto Road, Union City, CA, 94587, US"
164,Royal Crispy Chicken Meals,10.79,"1,300","1801 Decoto Road, Union City, CA, 94587, US"
165,Spicy Royal Crispy Chicken Meals,11.29,"1,460","1801 Decoto Road, Union City, CA, 94587, US"
166,Bacon &amp; Swiss Royal Crispy Chicken Meals,12.29,"1,370","1801 Decoto Road, Union City, CA, 94587, US"
167,Original Chicken Sandwich Meals,10.69,"1,380","1801 Decoto Road, Union City, CA, 94587, US"
168,Big Fish Meals,12.69,"1,290","1801 Decoto Road, Union City, CA, 94587, US"
169,Royal Crispy Chicken,5.49,600,"1801 Decoto Road, Union City, CA, 94587, US"
170,Fiery Royal Crispy Chicken,5.99,760,"1801 Decoto Road, Union City, CA, 94587, US"
171,Bacon and Swiss Royal Crispy Chicken,6.69,740,"1801 Decoto Road, Union City, CA, 94587, US"
172,Original Chicken Sandwich,5.49,680,"1801 Decoto Road, Union City, CA, 94587, US"
173,8 Pc. Fiery Buffalo Nuggets,2.99,510,"1801 Decoto Road, Union City, CA, 94587, US"
174,16 Pc. Chicken Nuggets,4.98,770,"1801 Decoto Road, Union City, CA, 94587, US"
175,8 Pc. Chicken Nuggets,2.79,390,"1801 Decoto Road, Union City, CA, 94587, US"
176,4 Pc. Chicken Nuggets,1.79,190,"1801 Decoto Road, Union City, CA, 94587, US"
177,12 Pc. Chicken Fries,4.99,340,"1801 Decoto Road, Union City, CA, 94587, US"
178,8 Pc. Chicken Fries,4.19,220,"1801 Decoto Road, Union City, CA, 94587, US"
179,4 Pc. Chicken Fries,1.99,110,"1801 Decoto Road, Union City, CA, 94587, US"
180,Big Fish,7.19,570,"1801 Decoto Road, Union City, CA, 94587, US"
181,Chicken Jr.,2.49,440,"1801 Decoto Road, Union City, CA, 94587, US"
182,Fiery Buffalo Royal Crispy Wrap,3.49,360,"1801 Decoto Road, Union City, CA, 94587, US"
183,Royal Crispy Wrap,3.49,310,"1801 Decoto Road, Union City, CA, 94587, US"
184,Fiery Royal Crispy Wrap,3.49,390,"1801 Decoto Road, Union City, CA, 94587, US"
185,Honey Mustard Royal Crispy Wrap,3.49,290,"1801 Decoto Road, Union City, CA, 94587, US"
186,Tacos,3.09,420,"1801 Decoto Road, Union City, CA, 94587, US"
187,Whopper,8.99,670,"46700 Mission Boulevard, Fremont, CA, 94539, US"
188,Impossible™ Whopper,9.89,630,"46700 Mission Boulevard, Fremont, CA, 94539, US"
189,Texas Double Whopper,12.99,"1,090","46700 Mission Boulevard, Fremont, CA, 94539, US"
190,Double Whopper,9.99,920,"46700 Mission Boulevard, Fremont, CA, 94539, US"
191,Triple Whopper ,10.99,"1,170","46700 Mission Boulevard, Fremont, CA, 94539, US"
192,Bacon King,10.49,"1,200","46700 Mission Boulevard, Fremont, CA, 94539, US"
193,BBQ Bacon Whopper Jr.,8.19,390,"46700 Mission Boulevard, Fremont, CA, 94539, US"
194,Whopper Jr.,6.49,330,"46700 Mission Boulevard, Fremont, CA, 94539, US"
195,Bacon Double Cheeseburger,5.49,440,"46700 Mission Boulevard, Fremont, CA, 94539, US"
196,Bacon Cheeseburger,3.49,340,"46700 Mission Boulevard, Fremont, CA, 94539, US"
197,Double Cheeseburger,3.99,400,"46700 Mission Boulevard, Fremont, CA, 94539, US"
198,Cheeseburger,2.99,290,"46700 Mission Boulevard, Fremont, CA, 94539, US"
199,Rodeo Burger,3.49,340,"46700 Mission Boulevard, Fremont, CA, 94539, US"
200,Hamburger,1.99,250,"46700 Mission Boulevard, Fremont, CA, 94539, US"
201,Have-sies™,3.89,380,"46700 Mission Boulevard, Fremont, CA, 94539, US"
202,French Fries,3.99,370,"46700 Mission Boulevard, Fremont, CA, 94539, US"
203,Onion Rings,3.89,360,"46700 Mission Boulevard, Fremont, CA, 94539, US"
204,12 Pc. Chicken Fries,8.39,340,"46700 Mission Boulevard, Fremont, CA, 94539, US"
205,8 Pc. Chicken Fries,5.69,220,"46700 Mission Boulevard, Fremont, CA, 94539, US"
206,8 Pc. Fiery Buffalo Nuggets	,3.49,510,"46700 Mission Boulevard, Fremont, CA, 94539, US"
207,4 Pc. Chicken Fries,2.89,110,"46700 Mission Boulevard, Fremont, CA, 94539, US"
208,16 Pc. Chicken Nuggets,4.59,770,"46700 Mission Boulevard, Fremont, CA, 94539, US"
209,8 Pc. Chicken Nuggets,2.99,390,"46700 Mission Boulevard, Fremont, CA, 94539, US"
210,4 Pc. Chicken Nuggets,1.49,190,"46700 Mission Boulevard, Fremont, CA, 94539, US"
211,MOTTS Applesauce,1.49,50,"46700 Mission Boulevard, Fremont, CA, 94539, US"
212,Tacos,2.0,420,"46700 Mission Boulevard, Fremont, CA, 94539, US"
213,Whopper,7.89,670,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
214,Impossible™ Whopper,8.89,630,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
215,Texas Double Whopper,10.59,"1,090","31361 Alavarado Niles Road, Union City, CA, 94587, US"
216,Double Whopper,8.99,920,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
217,Triple Whopper ,10.19,"1,170","31361 Alavarado Niles Road, Union City, CA, 94587, US"
218,Bacon King,9.19,"1,200","31361 Alavarado Niles Road, Union City, CA, 94587, US"
219,BBQ Bacon Whopper Jr.,3.89,390,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
220,Whopper Jr.,3.99,330,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
221,Bacon Double Cheeseburger,3.99,440,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
222,Bacon Cheeseburger,3.19,340,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
223,Double Cheeseburger,3.39,400,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
224,Cheeseburger,2.59,290,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
225,Rodeo Burger,2.59,340,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
226,Hamburger,2.19,250,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
227,Have-sies™,4.59,380,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
228,French Fries,4.59,370,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
229,Onion Rings,4.59,360,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
230,12 Pc. Chicken Fries,4.99,340,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
231,8 Pc. Chicken Fries,4.19,220,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
232,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
233,4 Pc. Chicken Fries,1.99,110,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
234,16 Pc. Chicken Nuggets,4.98,770,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
235,8 Pc. Chicken Nuggets,2.79,390,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
236,4 Pc. Chicken Nuggets,1.79,190,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
237,MOTTS Applesauce,2.19,50,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
238,Tacos,3.09,420,"31361 Alavarado Niles Road, Union City, CA, 94587, US"
239,Whopper,7.99,670,"29671 Mission Blvd., Hayward, CA, 94544, US"
240,Impossible™ Whopper,9.39,630,"29671 Mission Blvd., Hayward, CA, 94544, US"
241,Texas Double Whopper,11.29,"1,090","29671 Mission Blvd., Hayward, CA, 94544, US"
242,Double Whopper,9.99,920,"29671 Mission Blvd., Hayward, CA, 94544, US"
243,Triple Whopper ,11.99,"1,170","29671 Mission Blvd., Hayward, CA, 94544, US"
244,Bacon King,10.99,"1,200","29671 Mission Blvd., Hayward, CA, 94544, US"
245,BBQ Bacon Whopper Jr.,5.59,390,"29671 Mission Blvd., Hayward, CA, 94544, US"
246,Whopper Jr.,4.59,330,"29671 Mission Blvd., Hayward, CA, 94544, US"
247,Bacon Double Cheeseburger,4.99,440,"29671 Mission Blvd., Hayward, CA, 94544, US"
248,Bacon Cheeseburger,3.99,340,"29671 Mission Blvd., Hayward, CA, 94544, US"
249,Double Cheeseburger,3.99,400,"29671 Mission Blvd., Hayward, CA, 94544, US"
250,Cheeseburger,2.99,290,"29671 Mission Blvd., Hayward, CA, 94544, US"
251,Rodeo Burger,3.99,340,"29671 Mission Blvd., Hayward, CA, 94544, US"
252,Hamburger,2.79,250,"29671 Mission Blvd., Hayward, CA, 94544, US"
253,Have-sies™,4.99,380,"29671 Mission Blvd., Hayward, CA, 94544, US"
254,French Fries,4.19,370,"29671 Mission Blvd., Hayward, CA, 94544, US"
255,Onion Rings,4.99,360,"29671 Mission Blvd., Hayward, CA, 94544, US"
256,12 Pc. Chicken Fries,8.49,340,"29671 Mission Blvd., Hayward, CA, 94544, US"
257,8 Pc. Chicken Fries,6.49,220,"29671 Mission Blvd., Hayward, CA, 94544, US"
258,8 Pc. Fiery Buffalo Nuggets	,3.49,510,"29671 Mission Blvd., Hayward, CA, 94544, US"
259,4 Pc. Chicken Fries,3.99,110,"29671 Mission Blvd., Hayward, CA, 94544, US"
260,16 Pc. Chicken Nuggets,4.98,770,"29671 Mission Blvd., Hayward, CA, 94544, US"
261,8 Pc. Chicken Nuggets,2.99,390,"29671 Mission Blvd., Hayward, CA, 94544, US"
262,4 Pc. Chicken Nuggets,1.99,190,"29671 Mission Blvd., Hayward, CA, 94544, US"
263,MOTTS Applesauce,2.29,50,"29671 Mission Blvd., Hayward, CA, 94544, US"
264,Whopper,7.89,670,"950 West A Street, Hayward, CA, 94541, US"
265,Impossible™ Whopper,8.89,630,"950 West A Street, Hayward, CA, 94541, US"
266,Texas Double Whopper,10.59,"1,090","950 West A Street, Hayward, CA, 94541, US"
267,Double Whopper,8.99,920,"950 West A Street, Hayward, CA, 94541, US"
268,Triple Whopper ,10.19,"1,170","950 West A Street, Hayward, CA, 94541, US"
269,Bacon King,9.19,"1,200","950 West A Street, Hayward, CA, 94541, US"
270,BBQ Bacon Whopper Jr.,3.89,390,"950 West A Street, Hayward, CA, 94541, US"
271,Whopper Jr.,3.99,330,"950 West A Street, Hayward, CA, 94541, US"
272,Bacon Double Cheeseburger,3.99,440,"950 West A Street, Hayward, CA, 94541, US"
273,Bacon Cheeseburger,3.19,340,"950 West A Street, Hayward, CA, 94541, US"
274,Double Cheeseburger,3.39,400,"950 West A Street, Hayward, CA, 94541, US"
275,Cheeseburger,2.59,290,"950 West A Street, Hayward, CA, 94541, US"
276,Rodeo Burger,2.59,340,"950 West A Street, Hayward, CA, 94541, US"
277,Hamburger,2.19,250,"950 West A Street, Hayward, CA, 94541, US"
278,Have-sies™,4.59,380,"950 West A Street, Hayward, CA, 94541, US"
279,French Fries,4.59,370,"950 West A Street, Hayward, CA, 94541, US"
280,Onion Rings,4.59,360,"950 West A Street, Hayward, CA, 94541, US"
281,12 Pc. Chicken Fries,4.99,340,"950 West A Street, Hayward, CA, 94541, US"
282,8 Pc. Chicken Fries,4.19,220,"950 West A Street, Hayward, CA, 94541, US"
283,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"950 West A Street, Hayward, CA, 94541, US"
284,4 Pc. Chicken Fries,1.99,110,"950 West A Street, Hayward, CA, 94541, US"
285,16 Pc. Chicken Nuggets,4.98,770,"950 West A Street, Hayward, CA, 94541, US"
286,8 Pc. Chicken Nuggets,2.79,390,"950 West A Street, Hayward, CA, 94541, US"
287,4 Pc. Chicken Nuggets,1.79,190,"950 West A Street, Hayward, CA, 94541, US"
288,MOTTS Applesauce,2.19,50,"950 West A Street, Hayward, CA, 94541, US"
289,Tacos,3.09,420,"950 West A Street, Hayward, CA, 94541, US"
290,Whopper,8.09,670,"2757, Castro Valley, CA, 94546, US"
291,Impossible™ Whopper,9.09,630,"2757, Castro Valley, CA, 94546, US"
292,Texas Double Whopper,11.09,"1,090","2757, Castro Valley, CA, 94546, US"
293,Double Whopper,9.09,920,"2757, Castro Valley, CA, 94546, US"
294,Triple Whopper ,10.09,"1,170","2757, Castro Valley, CA, 94546, US"
295,Bacon King,10.59,"1,200","2757, Castro Valley, CA, 94546, US"
296,BBQ Bacon Whopper Jr.,7.69,390,"2757, Castro Valley, CA, 94546, US"
297,Whopper Jr.,6.09,330,"2757, Castro Valley, CA, 94546, US"
298,Bacon Double Cheeseburger,5.49,440,"2757, Castro Valley, CA, 94546, US"
299,Bacon Cheeseburger,3.49,340,"2757, Castro Valley, CA, 94546, US"
300,Double Cheeseburger,3.99,400,"2757, Castro Valley, CA, 94546, US"
301,Cheeseburger,2.99,290,"2757, Castro Valley, CA, 94546, US"
302,Rodeo Burger,3.49,340,"2757, Castro Valley, CA, 94546, US"
303,Hamburger,1.99,250,"2757, Castro Valley, CA, 94546, US"
304,Have-sies™,3.69,380,"2757, Castro Valley, CA, 94546, US"
305,French Fries,3.99,370,"2757, Castro Valley, CA, 94546, US"
