,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
126,Red Robin,"2385 sand creek rd, brentwood, ca, 94513, us",12.94086206896552,12.99,8.64441713088275,4.3,117,450+,4.79,8.39,,,,ca,94513,Contra Costa,2024-05-14,1,1,0,0
127,Buffalo Wild Wings,"6051 lone tree way, brentwood, ca, 94513, us",9.080297029702981,7.29,10.015840765927086,4.1,110,500+,5.99,15.99,,,,ca,94513,Contra Costa,2024-05-14,1,1,0,0
128,Red Robin,"2667 park ave, tustin, ca, 92606, us",12.892542372881357,12.49,8.590440704785863,4.6,119,800+,4.79,8.39,,,,ca,92606,Orange,2024-05-14,1,1,0,0
129,Red Robin,"2701 ming ave #g15, bakersfield, ca, 93304, us",12.60512605042018,11.99,8.408105719532431,4.2,120,700+,4.79,8.39,,,,ca,93304,Kern,2024-05-14,1,1,0,0
130,Denny,"2851 white lane, bakersfield, ca, 93304, us",11.317047619047619,9.55,6.878897741687222,4.4,135,900+,5.81,15.9,,,,ca,93304,Kern,2024-05-14,1,1,0,0
131,Red Robin,"27063 mcbean pkwy, valencia, ca, 91355, us",13.008487394957983,12.39,8.645210131409629,4.7,120,1,4.79,8.39,,,,ca,91355,Los Angeles,2024-05-14,1,1,0,0
132,Denny,"27541 wayne mills place, valencia, ca, 91355, us",12.019807692307692,9.79,7.3682384885775924,4.6,134,390+,5.59,18.79,,,,ca,91355,Los Angeles,2024-05-14,1,1,0,0
133,Red Robin,"27476 lugonia ave, redlands, ca, 92374, us",12.666923076923089,12.39,8.4629851133197,4.6,118,1,4.79,8.39,,,,ca,92374,San Bernardino,2024-05-14,1,1,0,0
134,Red Robin,"30142 haun rd, menifee, ca, 92584, us",12.94652173913044,12.99,8.637059991282081,4.6,116,900+,4.79,8.39,,,,ca,92584,Riverside,2024-05-14,1,1,0,0
135,Buffalo Wild Wings,"30123 haun rd., menifee, ca, 92584, us",8.957029702970306,7.79,9.892565920137512,4.4,109,1,5.99,15.99,,,,ca,92584,Riverside,2024-05-14,1,1,0,0
136,Applebee,"27750 newport road, menifee, ca, 92584, us",25.848196721311457,17.49,26.277188387174746,4.5,123,700+,,17.29,15.99,,,ca,92584,Riverside,2024-05-14,1,1,0,0
137,Red Robin,"3030 plaza bonita rd #2520, national city, ca, 91902, us",13.231666666666671,13.19,8.658790491620515,4.5,109,1,4.79,8.39,,,,ca,91902,San Diego,2024-05-14,1,1,0,0
138,Red Robin,"3105 w monte vista ave, turlock, ca, 95380, us",12.871512605042021,11.99,8.545999765840175,4.4,120,260+,4.79,8.39,,,,ca,95380,Stanislaus,2024-05-14,1,1,0,0
139,Buffalo Wild Wings,"2739 countryside dr, turlock, ca, 95380, us",9.095154639175266,7.99,9.84612563014206,4.1,106,310+,5.99,16.29,,,,ca,95380,Stanislaus,2024-05-14,1,1,0,0
140,Applebee,"2501 fulkerth road, turlock, ca, 95380, us",24.078495575221197,19.99,23.2427198696763,4.4,116,240+,,18.79,17.49,,,ca,95380,Stanislaus,2024-05-14,1,1,0,0
141,Red Robin,"3301 e main st #1511, ventura, ca, 93003, us",12.507355371900838,11.99,8.379556761448596,4.4,122,310+,4.79,8.39,,,,ca,93003,Ventura,2024-05-14,1,1,0,0
142,Denny,"4095 telegraph road, ventura, ca, 93003, us",12.257075471698103,10.280000000000001,7.2539099368314846,4.4,272,380+,5.81,17.98,,,,ca,93003,Ventura,2024-05-14,1,1,0,0
143,Red Robin,"3385 w shaw ave, fresno, ca, 93711, us",12.64084745762713,12.190000000000001,8.434661595521664,4.5,119,1,4.79,8.39,,,,ca,93711,Fresno,2024-05-14,1,1,0,0
144,Red Robin,"7675 n blackstone ave, fresno, ca, 93711, us",12.8446218487395,11.99,8.570094063192048,4.4,120,700+,4.79,8.39,,,,ca,93711,Fresno,2024-05-14,1,1,0,0
145,Buffalo Wild Wings,"3331 w shaw ave, fresno, ca, 93711, us",8.698969072164957,6.99,9.864218842370509,4.1,106,900+,5.99,15.99,,,,ca,93711,Fresno,2024-05-14,1,1,0,0
146,Applebee,"3604 w shaw ave, fresno, ca, 93711, us",25.505702479338826,17.49,26.30955898391325,4.5,122,900+,,17.29,15.99,,,ca,93711,Fresno,2024-05-14,1,1,0,0
147,Red Robin,"360 palladio parkway #410, folsom, ca, 95630, us",12.60512605042018,11.99,8.408105719532431,4.3,120,340+,4.79,8.39,,,,ca,95630,Sacramento,2024-05-14,1,1,0,0
148,Red Robin,"3903 grand ave, chino, ca, 91710, us",12.60512605042018,11.99,8.408105719532431,4.6,120,900+,4.79,8.39,,,,ca,91710,San Bernardino,2024-05-14,1,1,0,0
149,Red Robin,"3906 rivermark plaza, santa clara, ca, 95054, us",12.914590163934426,11.99,8.560702356234232,4.6,123,1,4.79,8.39,,,,ca,95054,Santa Clara,2024-05-14,1,1,0,0
150,Red Robin,"404-a sun valley mall, concord, ca, 94520, us",12.753114754098364,11.99,8.485611745286818,4.4,123,500+,4.79,8.39,,,,ca,94520,Contra Costa,2024-05-14,1,1,0,0
151,Buffalo Wild Wings,"2090 diamond blvd, concord, ca, 94520, us",8.847857142857128,7.54,9.911907212632523,4.0,214,900+,5.99,15.79,,,,ca,94520,Contra Costa,2024-05-14,1,1,0,0
152,Denny,"1313 willow pass rd, concord, ca, 94520, us",12.869714285714283,12.36,8.76578635346298,4.3,135,470+,6.54,17.98,,,,ca,94520,Contra Costa,2024-05-14,1,1,0,0
153,Red Robin,"40820 winchester rd #1070, temecula, ca, 92591, us",12.6713559322034,12.190000000000001,8.412691674624439,4.6,119,700+,4.79,8.39,,,,ca,92591,Riverside,2024-05-14,1,1,0,0
154,Red Robin,"419 n mckinley st, mckinley st, ca, 92879, us",12.60512605042018,11.99,8.408105719532431,4.6,120,700+,4.79,8.39,,,,ca,92879,Riverside,2024-05-14,1,1,0,0
155,Applebee,"521 n. mckinley, corona, ca, 92879, us",21.781228070175423,17.39,21.344490892834614,4.6,115,700+,,17.29,15.99,,,ca,92879,Riverside,2024-05-14,1,1,0,0
156,Red Robin,"428 plaza dr, west covina, ca, 91790, us",12.60512605042018,11.99,8.408105719532431,4.6,120,1,4.79,8.39,,,,ca,91790,Los Angeles,2024-05-14,1,1,0,0
157,Red Robin,"5461 katella ave, cypress, ca, 90720, us",13.078135593220342,12.79,8.64845601476018,4.7,119,1,4.79,8.39,,,,ca,90720,Orange,2024-05-14,1,1,0,0
158,Red Robin,"565 w arrow highway, san dimas, ca, 91773, us",13.008487394957983,12.39,8.645210131409627,4.6,120,1,4.79,8.39,,,,ca,91773,Los Angeles,2024-05-14,1,1,0,0
159,Red Robin,"681 town center dr, oxnard, ca, 93036, us",12.507355371900838,11.99,8.379556761448596,4.5,122,480+,4.79,8.39,,,,ca,93036,Ventura,2024-05-14,1,1,0,0
160,Buffalo Wild Wings,"1600 e gonzales rd, oxnard, ca, 93036, us",9.175700000000006,7.54,10.111073262023167,4.3,108,1,5.99,16.49,,,,ca,93036,Ventura,2024-05-14,1,1,0,0
161,Red Robin,"751 e joiner pkwy, lincoln, ca, 95648, us",12.871512605042021,11.99,8.545999765840175,4.5,120,310+,4.79,8.39,,,,ca,95648,Placer,2024-05-14,1,1,0,0
162,Red Robin,"7990 greenback ln unit j, citrus heights, ca, 95610, us",13.020434782608698,12.99,8.643984326012824,4.3,116,900+,4.79,8.39,,,,ca,95610,Sacramento,2024-05-14,1,1,0,0
163,Buffalo Wild Wings,"6301 sunrise blvd, citrus heights, ca, 95610, us",8.867200000000008,7.54,9.801336243594536,4.1,109,800+,5.99,16.29,,,,ca,95610,Sacramento,2024-05-14,1,1,0,0
164,Red Robin,"950 shaw ave, clovis, ca, 93612, us",12.439038461538464,11.09,8.786911105032956,4.4,105,1,4.79,8.39,,,,ca,93612,Fresno,2024-05-14,1,1,0,0
165,Applebee,"98 shaw avenue, clovis, ca, 93612, us",24.37879310344826,17.49,24.865665885367136,4.5,117,900+,,17.29,15.99,,,ca,93612,Fresno,2024-05-14,1,1,0,0
166,Denny,"710 west shaw avenue, clovis, ca, 93612, us",11.921747572815537,9.97,7.2004241281747365,4.5,132,900+,5.81,17.14,,,,ca,93612,Fresno,2024-05-14,1,1,0,0
167,Buffalo Wild Wings,"1000 s fair oaks, pasadena, ca, 91105, us",13.002328767123288,14.29,10.266384101622592,4.4,109,2,7.29,17.29,,,,ca,91105,Los Angeles,2024-05-14,1,1,0,0
168,Buffalo Wild Wings,"11255 e 183rd st, cerritos, ca, 90703, us",9.221386138613868,7.29,10.161498489099237,4.0,110,1,5.99,17.29,,,,ca,90703,Los Angeles,2024-05-14,1,1,0,0
169,Buffalo Wild Wings,"12411 limonite avenue suite 650 , mira loma, eastvale, ca, 91752, us",13.105352112676057,13.79,10.118550226135834,4.0,108,800+,7.29,16.79,,,,ca,91752,Riverside,2024-05-14,1,1,0,0
170,Applebee,"12375 limonite avenue, mira loma, ca, 91752, us",22.27813559322032,17.14,22.202726086598684,4.5,119,800+,,17.29,15.99,,,ca,91752,Riverside,2024-05-14,1,1,0,0
171,Buffalo Wild Wings,"12450 day st, moreno valley, ca, 92553, us",9.946600000000007,9.49,10.338932364610967,4.1,108,1,7.29,17.29,,,,ca,92553,Riverside,2024-05-14,1,1,0,0
172,Applebee,"12600 day street, moreno valley, ca, 92553, us",21.99263157894735,17.39,21.99749770668232,4.4,115,1,,17.29,15.99,,,ca,92553,Riverside,2024-05-14,1,1,0,0
173,Denny,"24952 sunnymead blvd, moreno valley, ca, 92553, us",12.000377358490566,10.09,7.292137523999482,4.3,136,600+,5.79,17.99,,,,ca,92553,Riverside,2024-05-14,1,1,0,0
174,Buffalo Wild Wings,"127 east palm ave, burbank, ca, 91502, us",13.002714285714287,13.79,10.13422953889139,4.4,108,1,7.29,16.79,,,,ca,91502,Los Angeles,2024-05-14,1,1,0,0
