,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,fries,specialty_item,hamburger,combo,state,zip,county_name_x,date,uber_eats,post_policy,fast_food,local,county_name_y
61,Burger King,"2429 west pinhook road, lafayette, la, 70508, us",5.110370370370372,3.99,3.0342110836035827,,54,,2.29,2.79,5.39,3.19,,la,70508,Lafayette,2024-05-16,0,1,1,0,Lafayette
62,Burger King,"2430 north cherry road, rock hill, sc, 29732, us",4.953157894736841,3.89,2.889341063648733,,57,,1.99,3.09,5.39,3.09,,sc,29732,York,2024-05-16,0,1,1,0,York
63,Burger King,"245 bayshore blvd., san francisco, ca, 94124, us",6.273636363636363,4.59,3.9350066945242186,,55,,3.09,3.39,7.29,4.29,,ca,94124,San Francisco,2024-05-16,0,1,1,0,San Francisco
64,Burger King,"2500 e riverside dr, austin, tx, 78741, us",5.239019607843136,3.99,3.1707222254540186,,51,,2.19,2.69,5.89,2.89,,tx,78741,Travis,2024-05-16,0,1,1,0,Travis
65,Burger King,"2500 s i h 35, round rock, tx, 78681, us",5.89192307692308,4.99,3.4701745901885874,,52,,2.59,3.99,6.99,4.39,,tx,78681,Williamson,2024-05-16,0,1,1,0,Williamson
66,Burger King,"2502 east raymond street, indianapolis, in, 46203, us",5.074210526315789,4.19,2.965875479379983,,57,,2.19,3.09,5.69,3.59,,in,46203,Marion,2024-05-16,0,1,1,0,Marion
67,Burger King,"2509 25th avenue, gulfport, ms, 39501, us",5.242830188679248,3.99,3.1401600592293386,,53,,2.49,2.89,5.79,3.29,,ms,39501,Harrison,2024-05-16,0,1,1,0,Harrison
68,Burger King,"2542 ne 30th street, ft. worth, tx, 76106, us",3.471818181818182,2.59,2.0627217302969196,,66,,1.89,2.79,6.19,2.99,,tx,76106,Tarrant,2024-05-16,0,1,1,0,Tarrant
69,Burger King,"2548 richmond road, lexington, ky, 40517, us",3.1434375000000014,2.49,1.670205094769427,,64,,1.99,2.99,5.19,2.79,,ky,40517,Fayette,2024-05-16,0,1,1,0,Fayette
70,Burger King,"2713 south claiborne st, new orleans, la, 70125, us",5.19740740740741,3.99,3.118632882569128,,54,,2.29,2.79,5.49,3.19,,la,70125,Orleans,2024-05-16,0,1,1,0,Orleans
71,Burger King,"28 portsmouth ave, stratham, nh, 03885, us",5.764509803921571,4.69,3.3932946068856995,,51,,2.19,3.49,6.59,3.69,,nh,3885,Rockingham,2024-05-16,0,1,1,0,Rockingham
