,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,specialty_item,fries,combo,hamburger,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
44,Carls Jr,"27467 hesperian blvd, hayward, ca, 94545, us",6.9712499999999995,7.59,1.72453571650459,,16,,3.99,,,,,ca,94545,Alameda,2024-03-29,0,0,1,0
45,Carls Jr,"27670 eucalyptus ave, moreno valley, ca, 92555, us",7.446249999999998,7.9399999999999995,1.963405443992656,,16,,3.79,,,,,ca,92555,Riverside,2024-03-29,0,0,1,0
46,Carls Jr,"2808 mchenry ave, modesto, ca, 95350, us",8.206499999999998,8.829999999999998,2.6147949728420388,,20,,4.39,6.79,,,,ca,95350,Stanislaus,2024-03-29,0,0,1,0
47,Carls Jr,"2820 e. lincoln ave, anaheim, ca, 92806, us",8.108235294117648,8.69,2.0181885742187884,,17,,4.99,,,,,ca,92806,Orange,2024-03-29,0,0,1,0
48,Carls Jr,"3110 e la palma, anaheim, ca, 92806, us",6.9275,7.34,1.8664387881738849,,16,,3.39,,,,,ca,92806,Orange,2024-03-29,0,0,1,0
49,Carls Jr,"2903 burgener blvd, san diego, ca, 92110, us",7.168333333333333,7.640000000000001,1.6544158082739255,,18,,3.99,,,,,ca,92110,San Diego,2024-03-29,0,0,1,0
50,Carls Jr,"2940 van buren boulevard suite 100, riverside, ca, 92503, us",8.108235294117648,8.69,2.0181885742187884,,17,,4.99,,,,,ca,92503,Riverside,2024-03-29,0,0,1,0
51,Carls Jr,"3370 la sierra ave, riverside, ca, 92503, us",6.9275,7.34,1.8664387881738849,,16,,3.39,,,,,ca,92503,Riverside,2024-03-29,0,0,1,0
52,Carls Jr,"3005 w 6th st, los angeles, ca, 90020, us",6.9275,7.34,1.8664387881738849,,16,,3.39,,,,,ca,90020,Los Angeles,2024-03-29,0,0,1,0
53,Carls Jr,"3008 el cajon blvd, san diego, ca, 92104, us",7.168333333333333,7.640000000000001,1.6544158082739255,,18,,3.99,,,,,ca,92104,San Diego,2024-03-29,0,0,1,0
54,Carls Jr,"3131 crow canyon pl, san ramon, ca, 94583, us",8.329999999999998,8.87,2.9725983880219315,,17,,4.39,,,,,ca,94583,Contra Costa,2024-03-29,0,0,1,0
55,Carls Jr,"3215 n. broadway, los angeles, ca, 90031, us",8.522777777777778,9.54,2.59455799180506,,18,,5.49,,,,,ca,90031,Los Angeles,2024-03-29,0,0,1,0
56,Carls Jr,"3255 saviers rd, oxnard, ca, 93033, us",6.8525,7.24,1.8671083926756904,,16,,3.29,,,,,ca,93033,Ventura,2024-03-29,0,0,1,0
57,Carls Jr,"3350 s mooney blvd, visalia, ca, 93277, us",8.42235294117647,8.87,2.820474572941404,,17,,4.39,,,,,ca,93277,Tulare,2024-03-29,0,0,1,0
58,Carls Jr,"3770 telegraph ave, oakland, ca, 94609, us",8.49470588235294,8.87,3.1555052129237446,,17,,4.39,,,,,ca,94609,Alameda,2024-03-29,0,0,1,0
59,Carls Jr,"402 s main st, orange, ca, 92868, us",6.9275,7.34,1.8664387881738849,,16,,3.39,,,,,ca,92868,Orange,2024-03-29,0,0,1,0
60,Carls Jr,"4315 sierra college blvd, rocklin, ca, 95650, us",8.000526315789475,8.49,1.6880055926703634,,19,,5.49,6.79,,,,ca,95650,Placer,2024-03-29,0,0,1,0
61,Carls Jr,"4424 university parkway, san bernardino, ca, 92407, us",6.9275,7.34,1.8664387881738849,,16,,3.39,,,,,ca,92407,San Bernardino,2024-03-29,0,0,1,0
62,Carls Jr,"4595 century boulevard, pittsburg, ca, 94565, us",7.9361538461538474,8.79,1.438811146326334,,13,,4.79,,,,,ca,94565,Contra Costa,2024-03-29,0,0,1,0
63,Carls Jr,"46637 mission boulevard, fremont, ca, 94539, us",8.175714285714287,8.84,1.3679270776601793,,14,,5.49,,,,,ca,94539,Alameda,2024-03-29,0,0,1,0
64,Carls Jr,"495 stony point rd, santa rosa, ca, 95401, us",7.929999999999999,8.59,2.5118448809355947,,17,,4.19,,,,,ca,95401,Sonoma,2024-03-29,0,0,1,0
65,Carls Jr,"5000 el camino real, los altos, ca, 94022, us",9.16470588235294,9.88,3.253946233416495,,17,,4.88,,,,,ca,94022,Santa Clara,2024-03-29,0,0,1,0
66,Carls Jr,"5501 freeport ave, sacramento, ca, 95822, us",7.903478260869563,8.39,1.6909981839798238,,23,,4.79,6.49,,,,ca,95822,Sacramento,2024-03-29,0,0,1,0
67,Carls Jr,"5670 thornton avenue, newark, ca, 94560",8.175714285714287,8.84,1.3679270776601793,,14,,5.49,,,,,ca,94560,Alameda,2024-03-29,0,0,1,0
68,Carls Jr,"620 w foothill blvd, rialto, ca, 92376, us",8.108235294117648,8.69,2.0181885742187884,,17,,4.99,,,,,ca,92376,San Bernardino,2024-03-29,0,0,1,0
69,Carls Jr,"6201 mack road, sacramento, ca, 95823, us",7.903478260869563,8.39,1.6909981839798238,,23,,4.79,6.49,,,,ca,95823,Sacramento,2024-03-29,0,0,1,0
70,Carls Jr,"6460 redwood dr, rohnert park, ca, 94928, us",7.929999999999999,8.59,2.5118448809355947,,17,,4.19,,,,,ca,94928,Sonoma,2024-03-29,0,0,1,0
71,Carls Jr,"69 w nuevo rd, perris, ca, 92571, us",6.9275,7.34,1.8664387881738849,,16,,3.39,,,,,ca,92571,Riverside,2024-03-29,0,0,1,0
72,Carls Jr,"700 13th street, imperial beach, ca, 91932, us",7.168333333333333,7.640000000000001,1.6544158082739255,,18,,3.99,,,,,ca,91932,San Diego,2024-03-29,0,0,1,0
73,Carls Jr,"7432 pacific ave, stockton, ca, 95207, us",7.903478260869563,8.39,1.6909981839798238,,23,,4.79,6.49,,,,ca,95207,San Joaquin,2024-03-29,0,0,1,0
74,Carls Jr,"794 n brookhurst st, anaheim, ca, 92801, us",6.9275,7.34,1.8664387881738849,,16,,3.39,,,,,ca,92801,Orange,2024-03-29,0,0,1,0
75,Carls Jr,"8150 sheldon rd, elk grove, ca, 95758, us",7.903478260869563,8.39,1.6909981839798238,,23,,4.79,6.49,,,,ca,95758,Sacramento,2024-03-29,0,0,1,0
76,Carls Jr,"854 harbor blvd, west sacramento, ca, 95691, us",7.903478260869563,8.39,1.6909981839798238,,23,,4.79,6.49,,,,ca,95691,Yolo,2024-03-29,0,0,1,0
77,Carls Jr,"871 marina village pkwy, alameda, ca, 94501, us",9.195624999999998,9.59,2.9731569264630147,,16,,4.7,,,,,ca,94501,Alameda,2024-03-29,0,0,1,0
78,Carls Jr,"899 cherry ave, san bruno, ca, 94066, us",8.329999999999998,8.87,2.9725983880219315,,17,,4.39,,,,,ca,94066,San Mateo,2024-03-29,0,0,1,0
79,Carls Jr,"939 w. charter way, stockton, ca, 95206, us",7.903478260869563,8.39,1.6909981839798238,,23,,4.79,6.49,,,,ca,95206,San Joaquin,2024-03-29,0,0,1,0
80,Carls Jr,"996 third ave., chula vista, ca, 91911, us",7.168333333333333,7.640000000000001,1.6544158082739255,,18,,3.99,,,,,ca,91911,San Diego,2024-03-29,0,0,1,0
