,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
258,Applebee,"2046 w, redlands, ca, 92373, us",13.309047619047552,13.79,7.572721662565233,4.3,530,35,,16.99,15.39,,,ca,92373,San Bernardino,2024-03-25,1,0,0,0
259,Applebee,"21 e. main street, alhambra, ca, 91801, us",13.355094339622644,13.79,7.6321569251898,4.5,107,47,,16.99,15.79,,,ca,91801,Los Angeles,2024-03-25,1,0,0,0
260,Applebee,"2114 e lincoln ave, anaheim, ca, 92806, us",13.230566037735796,13.79,7.5796995298375816,4.3,321,20,,16.99,15.39,,,ca,92806,Orange,2024-03-25,1,0,0,0
261,Denny,"2005 e katella ave, anaheim, ca, 92806, us",11.4779,7.68,7.231021960276433,4.4,130,31,5.81,17.56,,,,ca,92806,Orange,2024-03-25,1,0,0,0
262,Applebee,"2250, santa rosa, ca, 95407, us",13.823333333333352,15.09,7.706978418282309,4.5,103,67,,16.69,15.39,,,ca,95407,Sonoma,2024-03-25,1,0,0,0
263,Denny,"115 baker ave, santa rosa, ca, 95407, us",12.409243421052611,11.74,8.451259818494137,3.9680306905370846,391,15,6.22,17.25,,,,ca,95407,Sonoma,2024-03-25,1,0,0,0
264,Applebee,"2263 south shore center, alameda, ca, 94501, us",13.862549019607808,15.09,7.661799267293742,4.4,721,67,,16.69,15.39,,,ca,94501,Alameda,2024-03-25,1,0,0,0
265,Applebee,"2442 w kettleman lane, lodi, ca, 95242, us",13.435192307692278,13.99,7.594543585411178,4.7,210,10,,16.69,15.39,,,ca,95242,San Joaquin,2024-03-25,1,0,0,0
266,Applebee,"24872 madison ave, murrieta, ca, 92562, us",13.417884615384578,14.14,7.526867986021417,4.6,210,16,,16.99,15.39,,,ca,92562,Riverside,2024-03-25,1,0,0,0
267,Denny,"25365 madison ave, murrieta, ca, 92562, us",11.575961538461542,9.135,7.135355028527741,4.1,134,13,5.81,17.25,,,,ca,92562,Riverside,2024-03-25,1,0,0,0
268,Applebee,"2500 bell road, auburn, ca, 95603, us",13.424158415841552,14.49,7.508283975192481,0.0,204,2,,16.69,15.39,,,ca,95603,Placer,2024-03-25,1,0,0,0
269,Applebee,"2770 taylor st, san francisco, ca, 94133, us",18.229603960396116,20.79,9.73283794669457,4.4,816,29,,22.89,21.69,,,ca,94133,San Francisco,2024-03-25,1,0,0,0
270,Applebee,"2800 n main st main place mall ste 868, santa ana, ca, 92705, us",13.23056603773581,13.79,7.579699529837588,4.4,214,31,,16.99,15.39,,,ca,92705,Orange,2024-03-25,1,0,0,0
271,Applebee,"291 w. ventura blvd, camarillo, ca, 93010, us",13.422380952380959,13.79,7.637058711286509,0.0,106,2,,16.99,15.79,,,ca,93010,Ventura,2024-03-25,1,0,0,0
272,Denny,"1659 e dailey dr, camarillo, ca, 93010, us",11.15854166666667,8.615,6.882444299805888,4.7,126,24,5.81,16.21,,,,ca,93010,Ventura,2024-03-25,1,0,0,0
273,Applebee,"3281 coach ln, cameron park, ca, 95682, us",13.692970297029674,15.39,7.539486226758041,0.0,204,2,,16.69,15.39,,,ca,95682,El Dorado,2024-03-25,1,0,0,0
274,Applebee,"3820 mulberry, riverside, ca, 92507, us",13.478753056234654,14.49,7.4650265687749,4.5,413,28,,16.99,15.39,,,ca,92507,Riverside,2024-03-25,1,0,0,0
275,Denny,"1245 university ave., riverside, ca, 92507, us",11.503333333333329,8.39,7.200265427206289,4.5,270,26,5.79,17.29,,,,ca,92507,Riverside,2024-03-25,1,0,0,0
276,Applebee,"3900 sisk road, modesto, ca, 95356, us",15.033000000000001,17.189999999999998,7.466501925265939,0.0,104,2,,18.19,16.89,,,ca,95356,Stanislaus,2024-03-25,1,0,0,0
277,Applebee,"4070 e, highland, ca, 92346, us",13.708999999999941,15.84,7.5126918611107705,4.6,303,43,,16.99,15.39,,,ca,92346,San Bernardino,2024-03-25,1,0,0,0
278,Denny,"2442, highland, ca, 92346, us",11.834111111111115,8.98,7.322126724212857,3.9,120,21,5.81,17.56,,,,ca,92346,San Bernardino,2024-03-25,1,0,0,0
279,Applebee,"501, rohnert park, ca, 94928, us",13.842941176470568,15.09,7.686998265244578,4.6,206,13,,16.69,15.39,,,ca,94928,Sonoma,2024-03-25,1,0,0,0
280,Applebee,"51 curtner ave, san jose, ca, 95125, us",15.28595959595956,17.49,7.354912042294089,4.4,206,29,,18.19,16.89,,,ca,95125,Santa Clara,2024-03-25,1,0,0,0
281,Applebee,"5301 old redwood hwy, petaluma, ca, 94954, us",13.75699029126207,14.79,7.698687170260703,4.8,416,16,,16.69,15.39,,,ca,94954,Sonoma,2024-03-25,1,0,0,0
282,Applebee,"5325 avenida de los robles, visalia, ca, 93291, us",13.226538461538423,13.79,7.505537157176127,4.8,210,12,,16.99,15.39,,,ca,93291,Tulare,2024-03-25,1,0,0,0
283,Denny,"200 s akers st, visalia, ca, 93291, us",11.349042553191492,8.615,7.050467627338392,4.8,124,20,5.81,16.42,,,,ca,93291,Tulare,2024-03-25,1,0,0,0
284,Applebee,"5700 florence ave, bell gardens, ca, 90201, us",13.41156862745094,14.49,7.631078450895498,4.6,206,68,,16.99,15.39,,,ca,90201,Los Angeles,2024-03-25,1,0,0,0
285,Applebee,"621 w central ave, lompoc, ca, 93436, us",13.593921568627447,14.940000000000001,7.482763481975215,4.2,103,12,,16.99,15.39,,,ca,93436,Santa Barbara,2024-03-25,1,0,0,0
286,Applebee,"6811 lonetree blvd., rocklin, ca, 95765, us",13.588039215686226,14.940000000000001,7.5761879336712115,4.5,309,23,,16.69,15.39,,,ca,95765,Placer,2024-03-25,1,0,0,0
287,Applebee,"6900 auburn blvd, citrus heights, ca, 95621, us",13.58313725490191,14.940000000000001,7.583202021753718,4.3,412,30,,16.69,15.39,,,ca,95621,Sacramento,2024-03-25,1,0,0,0
288,Applebee,"7677 balboa ave, san diego, ca, 92111, us",13.48126213592229,14.49,7.532777653940936,4.5,208,61,,16.99,15.39,,,ca,92111,San Diego,2024-03-25,1,0,0,0
289,Applebee,"8200 arroyo circle, gilroy, ca, 95020, us",15.071,17.49,7.475850386410902,0.0,104,2,,18.19,16.89,,,ca,95020,Santa Clara,2024-03-25,1,0,0,0
290,Applebee,"8430 n friant rd, fresno, ca, 93720, us",13.364038461538458,14.14,7.590289788634148,4.6,105,25,,16.99,15.39,,,ca,93720,Fresno,2024-03-25,1,0,0,0
291,Applebee,"8931 brooks rd s, windsor, ca, 95492, us",13.761568627450997,15.09,7.73619424917553,4.3,103,10,,16.69,15.39,,,ca,95492,Sonoma,2024-03-25,1,0,0,0
