,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,fries,cheeseburger,hamburger,combo,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
74,Wendy,"1916 rees street, breaux bridge, la, 70517, us",4.543225806451613,3.79,2.2211205935173646,,31,,5.69,2.54,2.49,2.19,,la,70517,St. Martin,2024-05-14,0,1,1,0
75,Wendy,"19212 gulf fwy, friendswood, tx, 77546, us",4.5103125,3.69,2.1938073131758293,,32,,5.69,2.54,2.49,2.19,,tx,77546,Galveston,2024-05-14,0,1,1,0
76,Wendy,"1980 s 4th st, allentown, pa, 18103, us",4.398333333333334,3.49,2.188153077115239,,30,,5.89,2.69,2.49,1.99,,pa,18103,Lehigh,2024-05-14,0,1,1,0
77,Wendy,"2001 state road, lancaster, pa, 17601, us",4.420000000000001,3.54,2.2267165663071418,,30,,6.19,2.74,2.29,1.79,,pa,17601,Lancaster,2024-05-14,0,1,1,0
78,Wendy,"2007 durham, houston, tx, 77007, us",4.5103125,3.69,2.1938073131758293,,32,,5.69,2.54,2.49,2.19,,tx,77007,Harris,2024-05-14,0,1,1,0
79,Wendy,"201 e franklin st, chapel hill, nc, 27514, us",4.344838709677419,3.29,2.9404946599089707,,31,,5.19,2.44,1.99,1.49,,nc,27514,Orange,2024-05-14,0,1,1,0
80,Wendy,"2015 antonio street, anthony, tx, 79821, us",4.425483870967743,3.24,2.8186359532292613,,31,,6.89,2.64,1.39,1.39,,tx,79821,El Paso,2024-05-14,0,1,1,0
81,Wendy,"202 southwest pkwy e., college station, tx, 77840, us",4.543225806451613,3.79,2.2211205935173646,,31,,5.69,2.54,2.49,2.19,,tx,77840,Brazos,2024-05-14,0,1,1,0
82,Wendy,"2050 silvernail, pewaukee, wi, 53072, us",4.9174193548387075,3.79,3.0361222804032244,,31,,5.99,2.74,2.19,1.99,,wi,53072,Waukesha,2024-05-14,0,1,1,0
83,Wendy,"208 ambassador caffery pkwy, scott, la, 70583, us",4.543225806451613,3.79,2.2211205935173646,,31,,5.69,2.54,2.49,2.19,,la,70583,Lafayette,2024-05-14,0,1,1,0
84,Wendy,"2080 sparkman drive, huntsville, al, 35810, us",4.146666666666666,3.59,2.188710934672634,,30,,5.79,2.39,1.99,1.59,,al,35810,Madison,2024-05-14,0,1,1,0
85,Wendy,"210 patton street, houston, tx, 77009, us",4.9222580645161305,3.99,2.1430513513896554,,31,,6.29,3.24,2.99,2.49,,tx,77009,Harris,2024-05-14,0,1,1,0
86,Wendy,"2901 airline dr, houston, tx, 77009, us",4.9222580645161305,3.99,2.1430513513896554,,31,,6.29,3.24,2.99,2.49,,tx,77009,Harris,2024-05-14,0,1,1,0
87,Wendy,"212 university ave, lubbock, tx, 79415, us",4.611666666666666,3.64,2.2989738048867707,,30,,5.39,2.54,2.69,2.29,,tx,79415,Lubbock,2024-05-14,0,1,1,0
88,Wendy,"2120 e columbus dr., east chicago, in, 46312, us",4.148333333333334,3.59,2.1812108003481816,,30,,5.29,2.54,2.19,1.89,,in,46312,Lake,2024-05-14,0,1,1,0
89,Wendy,"214 lobdell highway south, port allen, la, 70767, us",4.361666666666666,3.69,2.0188975264292695,,30,,5.69,2.54,2.49,2.19,,la,70767,West Baton Rouge,2024-05-14,0,1,1,0
90,Wendy,"22 pass rd., gulfport, ms, 39507, us",4.281666666666665,3.49,2.1825093865141163,,30,,5.59,2.09,2.29,1.99,,ms,39507,Harrison,2024-05-14,0,1,1,0
91,Wendy,"2200 airport fwy ste 500-a, bedford, tx, 76022, us",4.461874999999998,3.59,2.6269319527492527,,32,,5.89,2.49,2.19,1.79,,tx,76022,Tarrant,2024-05-14,0,1,1,0
92,Wendy,"222 arsenal road, york, pa, 17402, us",4.71258064516129,3.49,2.9797120100525145,,31,,5.79,2.64,2.49,1.99,,pa,17402,York,2024-05-14,0,1,1,0
93,Wendy,"2245 n. meridian st, indianapolis, in, 46208, us",4.163333333333336,3.34,2.1654765962459366,,30,,5.39,2.59,1.99,1.79,,in,46208,Marion,2024-05-14,0,1,1,0
94,Wendy,"2327 7th avenue s., birmingham, al, 35233, us",4.772258064516128,3.99,2.6675030122756156,,31,,6.19,2.79,2.59,1.99,,al,35233,Jefferson,2024-05-14,0,1,1,0
95,Wendy,"2374 college drive, baton rouge, la, 70808, us",4.543225806451613,3.79,2.2211205935173646,,31,,5.69,2.54,2.49,2.19,,la,70808,East Baton Rouge,2024-05-14,0,1,1,0
96,Wendy,"2421 s. stoughton, madison, wi, 53718, us",4.9174193548387075,3.79,3.0361222804032244,,31,,5.99,2.74,2.19,1.99,,wi,53718,Dane,2024-05-14,0,1,1,0
97,Wendy,"2422 east southcross blvd., san antonio, tx, 78223, us",4.514193548387096,3.74,2.1631395555378687,,31,,5.59,2.69,2.59,2.19,,tx,78223,Bexar,2024-05-14,0,1,1,0
98,Wendy,"2507 e expressway 83, mission, tx, 78572, us",3.8641935483870964,2.99,2.1703229642130766,,31,,5.79,2.09,1.89,1.59,,tx,78572,Hidalgo,2024-05-14,0,1,1,0
99,Wendy,"2514 sunset blvd, west columbia, sc, 29169, us",3.976666666666667,3.24,2.081783423467058,,30,,5.49,2.49,1.99,1.69,,sc,29169,Lexington,2024-05-14,0,1,1,0
100,Wendy,"2548 k avenue, plano, tx, 75074, us",4.591612903225807,3.99,2.1484609596912336,,31,,5.89,2.74,2.69,2.29,,tx,75074,Collin,2024-05-14,0,1,1,0
101,Wendy,"2570 candler road, decatur, ga, 30032, us",4.719032258064516,3.69,2.550293284637885,,31,,5.69,2.59,2.39,1.99,,ga,30032,DeKalb,2024-05-14,0,1,1,0
102,Wendy,"2605 bouldercrest road, atlanta, ga, 30316, us",4.719032258064516,3.69,2.550293284637885,,31,,5.69,2.59,2.39,1.99,,ga,30316,DeKalb,2024-05-14,0,1,1,0
103,Wendy,"427 moreland s.e., atlanta, ga, 30316, us",4.472142857142857,3.79,2.2828637359103796,,28,,5.69,2.59,2.39,1.99,,ga,30316,DeKalb,2024-05-14,0,1,1,0
104,Wendy,"2727 highway 280, birmingham, al, 35223, us",4.772258064516128,3.99,2.6675030122756156,,31,,6.19,2.79,2.59,1.99,,al,35223,Jefferson,2024-05-14,0,1,1,0
105,Wendy,"2800 e berry st, ft.worth, tx, 76119, us",4.541612903225805,3.79,2.270444175350254,,31,,5.49,2.94,2.39,2.19,,tx,76119,Tarrant,2024-05-14,0,1,1,0
106,Wendy,"3112 e berry st, fort worth, tx, 76119, us",4.541612903225805,3.79,2.270444175350254,,31,,5.49,2.94,2.39,2.19,,tx,76119,Tarrant,2024-05-14,0,1,1,0
107,Wendy,"2800 s memorial pkwy, huntsville, al, 35801, us",4.146666666666666,3.59,2.188710934672634,,30,,5.79,2.39,1.99,1.59,,al,35801,Madison,2024-05-14,0,1,1,0
