,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
135,McDonald,"137 canyon dr, oceanside, ca, 92054, us",6.038070175438599,4.49,4.216837568936549,4.6,139,700+,6.79,11.89,3.19,2.89,4.91,ca,92054,San Diego,2024-05-14,1,1,1,0
136,McDonald,"1701, oceanside, ca, 92054, us",5.945565217391303,4.49,4.211783716174615,4.7,139,800+,6.49,11.89,3.19,2.89,4.79,ca,92054,San Diego,2024-05-14,1,1,1,0
137,McDonald,"2185 vista way, oceanside, ca, 92054, us",6.073362831858407,4.59,4.259979560925555,4.6,138,500+,6.79,11.99,3.19,2.89,4.89,ca,92054,San Diego,2024-05-14,1,1,1,0
138,Jack in the Box,"1900 mission ave, oceanside, ca, 92054, us",8.523398692810456,7.49,4.2121399655531455,4.5,153,1,7.86,14.98,3.74,3.49,4.99,ca,92054,San Diego,2024-05-14,1,1,1,0
139,Jack in the Box,"2474 vista way, oceanside, ca, 92054, us",8.55810810810811,7.49,4.115881461428263,4.2,148,700+,7.11,13.23,4.24,3.74,4.99,ca,92054,San Diego,2024-05-14,1,1,1,0
140,Jack in the Box,"3909 mission avenue, oceanside, ca, 92054, us",8.505629139072846,7.49,4.237069238283914,4.6,151,1,7.86,14.98,3.74,3.49,4.99,ca,92054,San Diego,2024-05-14,1,1,1,0
141,Wendy,"1002 mission avenue, oceanside, ca, 92054, us",6.763400000000002,5.845,3.1373464010210923,4.4,85,500+,8.53,0.0,3.89,3.4,0.0,ca,92054,San Diego,2024-05-14,1,1,1,0
142,McDonald,"1398 w. san carlos, san jose, ca, 95126, us",6.056106870229015,4.69,4.056282578296408,4.7,151,1,8.49,14.49,3.99,3.69,5.69,ca,95126,Santa Clara,2024-05-14,1,1,1,0
143,Jack in the Box,"1558 w san carlos st, san jose, ca, 95126, us",9.167302631578943,8.61,4.227693157589597,4.7,152,700+,7.74,14.85,4.61,4.11,5.99,ca,95126,Santa Clara,2024-05-14,1,1,1,0
144,McDonald,"1401 e noble ave, visalia, ca, 93292, us",7.178551724137941,5.09,6.241236391581435,4.4,163,700+,7.49,12.49,4.19,3.49,4.89,ca,93292,Tulare,2024-05-14,1,1,1,0
145,Jack in the Box,"1145 south lovers ln, visalia, ca, 93292, us",10.436896551724129,9.36,5.4269608586862175,4.1,145,20,9.11,18.35,4.99,4.74,5.99,ca,93292,Tulare,2024-05-14,1,1,1,0
146,Jack in the Box,"1400 n ben maddox way, visalia, ca, 93292, us",10.323594771241819,9.24,5.455312169662648,4.6,153,280+,9.11,18.35,4.99,4.74,5.99,ca,93292,Tulare,2024-05-14,1,1,1,0
147,Wendy,"1580 e. noble avenue, visalia, ca, 93292, us",7.311153846153843,5.734999999999999,4.463035209812228,4.5,89,270+,9.02,0.0,3.89,3.53,0.0,ca,93292,Tulare,2024-05-14,1,1,1,0
148,Burger King,"1009 n ben maddox way, visalia, ca, 93292, us",9.502619047619044,7.49,6.739727830990481,4.6,84,180+,9.89,17.39,3.49,3.79,5.29,ca,93292,Tulare,2024-05-14,1,1,1,0
149,McDonald,"1407 bradley rd, santa maria, ca, 93454, us",6.095149253731343,4.49,5.063470689703307,4.5,152,340+,7.09,12.79,3.49,3.29,4.99,ca,93454,Santa Barbara,2024-05-14,1,1,1,0
150,McDonald,"1710 s broadway, santa maria, ca, 93454, us",5.619212598425205,4.29,4.524975069544451,4.6,143,65,6.59,11.69,4.29,3.89,4.89,ca,93454,Santa Barbara,2024-05-14,1,1,1,0
151,Jack in the Box,"1041 east main street, santa maria, ca, 93454, us",8.326906474820145,7.49,4.109694250547071,4.4,139,190+,6.86,12.98,4.11,3.74,4.99,ca,93454,Santa Barbara,2024-05-14,1,1,1,0
152,Jack in the Box,"2306 south broadway, santa maria, ca, 93454, us",8.51171052631579,7.86,4.03532604440162,4.3,152,240+,6.86,12.98,4.11,3.74,4.99,ca,93454,Santa Barbara,2024-05-14,1,1,1,0
153,Jack in the Box,"705 east betteravia road, santa maria, ca, 93454, us",8.359503546099292,7.49,4.111025536190121,5.0,141,19,6.86,12.98,4.11,3.74,4.99,ca,93454,Santa Barbara,2024-05-14,1,1,1,0
154,Jack in the Box,"830 south broadway, santa maria, ca, 93454, us",8.545761589403973,7.86,4.052074350155346,4.4,151,300+,6.86,12.98,4.11,3.74,4.99,ca,93454,Santa Barbara,2024-05-14,1,1,1,0
155,Burger King,"120 south nicholson avenue, santa maria, ca, 93454, us",8.70924050632912,6.49,6.262229507971672,4.7,79,29,10.39,15.29,3.89,5.79,5.19,ca,93454,Santa Barbara,2024-05-14,1,1,1,0
156,The Habit,"985 betteravia road, santa maria, ca, 93454, us",10.219841269841274,7.81,10.681310259686946,4.4,63,100+,9.24,16.86,8.36,7.24,4.11,ca,93454,Santa Barbara,2024-05-14,1,1,1,0
157,McDonald,"1410 north lemon street, anaheim, ca, 92801, us",6.613853211009174,4.59,4.530890895699015,4.6,136,1,6.99,13.69,3.29,2.89,4.79,ca,92801,Orange,2024-05-14,1,1,1,0
158,McDonald,"740 n. euclid st., anaheim, ca, 92801-4115, us",6.630000000000002,4.74,4.5185918965174015,4.4,137,2,7.19,13.59,3.59,3.19,5.29,ca,92801,Orange,2024-05-14,1,1,1,0
159,Jack in the Box,"1155 north euclid avenue, anaheim, ca, 92801, us",7.957254901960788,7.24,3.8184038747507136,4.6,153,900+,6.61,12.48,3.61,3.24,4.49,ca,92801,Orange,2024-05-14,1,1,1,0
160,Wendy,"680 n. euclid ave., anaheim, ca, 92801, us",7.305200000000003,6.33,3.3669108927917897,4.6,168,1,8.89,0.0,4.01,3.65,0.0,ca,92801,Orange,2024-05-14,1,1,1,0
161,Burger King,"814 n brookhurst st, anaheim, ca, 92801, us",10.001323529411762,9.14,6.818197084535179,4.6,68,310+,5.99,,5.99,16.89,9.89,ca,92801,Orange,2024-05-14,1,1,1,0
162,McDonald,"1414 university ave, san diego, ca, 92103, us",6.92007692307693,4.79,5.330558708796761,4.6,151,4,8.39,13.65,4.27,3.78,5.69,ca,92103,San Diego,2024-05-14,1,1,1,0
163,Jack in the Box,"804 university ave, san diego, ca, 92103, us",8.304133333333336,7.74,4.093635578417903,4.6,150,800+,6.86,13.35,3.74,3.36,5.36,ca,92103,San Diego,2024-05-14,1,1,1,0
164,McDonald,"1420 el camino real, san mateo, ca, 94402, us",5.658296296296298,3.99,4.633964391995539,4.7,154,3,6.69,10.69,3.19,2.79,3.99,ca,94402,San Mateo,2024-05-14,1,1,1,0
165,McDonald,"1423 n center st, stockton, ca, 95202, us",8.61718309859157,5.19,10.343855450758833,4.2,160,380+,7.69,14.79,4.09,3.69,5.49,ca,95202,San Joaquin,2024-05-14,1,1,1,0
