,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
144,Burger King,"9181 east stockton boulevard, elk grove, ca, 95624, us",8.700625000000002,6.29,6.039947711642459,4.0,80,12,9.09,15.85,2.69,4.79,4.93,ca,95624,Sacramento,2024-04-05,1,0,1,0
145,Wendy,"1110 s. mt. vernon ave., colton, ca, 92324, us",7.6867272727272695,6.33,3.5235178983744784,4.6,94,29,8.89,0.0,4.01,3.65,0.0,ca,92324,San Bernardino,2024-04-05,1,0,1,0
146,The Habit,"1550 w valley blvd, colton, ca, 92324, us",11.77256410256411,8.99,10.976303781666639,4.3,78,22,9.74,18.24,8.61,7.49,4.74,ca,92324,San Bernardino,2024-04-05,1,0,1,0
147,Wendy,"1111 camino del rio s., mission valley, ca, 92108, us",7.092181818181819,6.09,3.174758224672229,4.5,95,42,8.53,0.0,3.89,3.4,0.0,ca,92108,San Diego,2024-04-05,1,0,1,0
148,The Habit,"845 camino de la reina, san diego, ca, 92108, us",11.797922077922085,8.99,11.036661143150736,4.6,77,84,9.74,18.24,8.61,7.49,4.74,ca,92108,San Diego,2024-04-05,1,0,1,0
149,Wendy,"12201 san pablo avenue, richmond, ca, 94805, us",4.998928571428572,4.24,2.620065210864736,4.6,94,73,6.49,0.0,2.49,2.19,0.0,ca,94805,Contra Costa,2024-04-05,1,0,1,0
150,Wendy,"1369 north davis road, salinas, ca, 93907, us",6.191111111111111,5.97,2.939280503208771,4.8,79,10,7.31,0.0,3.28,2.67,0.0,ca,93907,Monterey,2024-04-05,1,0,1,0
151,Wendy,"1480 freedom blvd, watsonville, ca, 95076, us",6.708200000000001,5.48,3.1225468387199573,4.4,84,17,9.02,0.0,3.77,3.4,0.0,ca,95076,Santa Cruz,2024-04-05,1,0,1,0
152,Wendy,"1501 mchenry ave, modesto, ca, 95350, us",7.479200000000003,7.06,3.630778891642948,4.2,90,23,9.14,0.0,3.65,3.16,0.0,ca,95350,Stanislaus,2024-04-05,1,0,1,0
153,Sonic,"1420 mchenry ave, modesto, ca, 95350, us",4.338857142857142,3.77,2.0295724693056085,4.5,84,26,8.53,0.0,4.87,,0.0,ca,95350,Stanislaus,2024-04-05,1,0,1,0
154,The Habit,"1801 mchenry ave, modesto, ca, 95350, us",10.83544303797469,8.24,10.11367401189633,4.7,79,17,9.24,16.86,8.36,7.24,4.11,ca,95350,Stanislaus,2024-04-05,1,0,1,0
155,Wendy,"1580 e. noble avenue, visalia, ca, 93292, us",7.551785714285715,6.04,4.5230205248669115,4.4,97,338,8.77,0.0,3.89,3.53,0.0,ca,93292,Tulare,2024-04-05,1,0,1,0
