menu_item,menu_item_price,menu_item_calories,restaurant_address
Double Famous Star®,6.99,920,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Big Angus Famous Star®,7.49,830,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Single Western Bacon Cheeseburger®,5.99,760,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Double Western Bacon Cheeseburger®,6.99,1020,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Big Angus Western Bacon Cheeseburger®,7.49,880,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Single Big Carl®,5.99,670,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Double Big Carl®,6.99,920,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Big Angus Big Carl®,7.49,770,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Single Guacamole Bacon Burger,6.79,870,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Double Guacamole Bacon Burger,7.79,1130,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Big Angus Guacamole Bacon Burger,7.99,960,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Single El Diablo,6.99,950,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Double El Diablo,7.99,1210,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Big Angus El Diablo,8.99,1050,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
California Classic Double Cheeseburger,3.99,560,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Big Cheeseburger,3.99,540,"582 N MAIN STREET CLEARFIELD, UT 84015, US"
Big Angus El Diablo Combo,3.19,270,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Double Take – Pick Two w/Free Drink,5.99,670,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Double Famous Star®,6.99,920,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Big Angus Famous Star®,7.49,830,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Single Western Bacon Cheeseburger®,5.99,760,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Double Western Bacon Cheeseburger®,6.99,1020,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Big Angus Western Bacon Cheeseburger®,7.49,880,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Single Big Carl®,5.99,670,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Double Big Carl®,6.99,920,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Big Angus Big Carl®,7.49,770,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Single Guacamole Bacon Burger,6.79,870,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Double Guacamole Bacon Burger,7.79,1130,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Big Angus Guacamole Bacon Burger,7.99,960,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Single El Diablo,6.99,950,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Double El Diablo,7.99,1210,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Big Angus El Diablo,8.99,1050,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
California Classic Double Cheeseburger,3.99,560,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Big Cheeseburger,3.99,540,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Big Angus El Diablo Combo,6.00,480,"5722 S 49TH WEST AVE TULSA, OK 74107"
Hand-Crafted Strawberry Lemonade,2.79,270,"5722 S 49TH WEST AVE TULSA, OK 74107"
Single Famous Star®,5.69,670,"5722 S 49TH WEST AVE TULSA, OK 74107"
Double Famous Star®,7.19,920,"5722 S 49TH WEST AVE TULSA, OK 74107"
Big Angus Famous Star®,7.69,830,"5722 S 49TH WEST AVE TULSA, OK 74107"
Single Western Bacon Cheeseburger®,6.49,760,"5722 S 49TH WEST AVE TULSA, OK 74107"
