,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,specialty_item,combo,fries,hamburger,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
15,Hardees,"140 dale earnhardt boulevard, kannapolis, nc, 28081, us",7.9701315789473774,7.49,4.317569520185441,4.4,77,11,5.36,6.61,10.99,2.99,,nc,28081,Cabarrus,2024-03-28,1,0,1,0
16,Hardees,"14101 statesville rd, huntersville, nc, 28078, us",8.96780821917808,7.61,5.699937333607775,4.6,74,17,5.19,6.4,10.64,1.68,,nc,28078,Mecklenburg,2024-03-28,1,0,1,0
17,Hardees,"1420 floral parkway, wilmington, nc, 28403, us",7.957236842105271,7.49,4.334243271135056,4.2,77,26,5.36,6.61,10.99,2.99,,nc,28403,New Hanover,2024-03-28,1,0,1,0
18,Hardees,"1436 robinson rd, old hickory, tn, 37138, us",6.7797959183673475,6.06,5.292074354991514,4.2,79,26,5.07,7.13,0.0,2.77,,tn,37138,Davidson,2024-03-28,1,0,1,0
19,Hardees,"150 n cedar bluff road, knoxville, tn, 37923, us",7.540000000000001,7.01,5.5234631758114805,4.2,71,12,5.19,7.61,0.0,2.77,,tn,37923,Knox,2024-03-28,1,0,1,0
20,Hardees,"1506 church st, conway, sc, 29526, us",7.441702127659576,6.76,5.362601908628033,4.0,75,15,5.19,7.61,0.0,2.77,,sc,29526,Horry,2024-03-28,1,0,1,0
21,Hardees,"1510 sw tradition dr, ankeny, ia, 50023, us",8.667391304347833,7.425000000000001,7.21933317250122,4.6,72,10,6.49,7.49,0.0,3.24,,ia,50023,Polk,2024-03-28,1,0,1,0
22,Hardees,"1520, buford, ga, 30518, us",9.950677966101708,9.54,6.099301394952021,4.3,60,33,6.31,7.3,11.52,3.46,,ga,30518,Gwinnett,2024-03-28,1,0,1,0
23,Hardees,"161 marietta hwy., canton, ga, 30114, us",7.817954545454544,6.885,6.17134565388717,4.3,71,19,6.16,7.13,0.0,3.38,,ga,30114,Cherokee,2024-03-28,1,0,1,0
24,Hardees,"1685 middle tennessee blvd, murfreesboro, tn, 37130, us",6.779795918367347,6.06,5.292074354991515,4.3,79,19,5.07,7.13,0.0,2.77,,tn,37130,Rutherford,2024-03-28,1,0,1,0
