,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
367,Jack in the Box,"1001 south fwy, fort worth, tx, 76104, us",6.44066176470589,5.99,3.2815373016419387,4.5,136,43,4.99,9.98,3.24,2.86,3.36,tx,76104,Tarrant,2024-03-29,1,0,1,0
368,Jack in the Box,"515 s henderson st, fort worth, tx, 76104, us",6.423088235294125,5.99,3.289803434747031,4.3,136,73,4.99,9.85,3.24,2.86,3.36,tx,76104,Tarrant,2024-03-29,1,0,1,0
369,Jack in the Box,"10014 s memorial dr e, tulsa, ok, 74133, us",6.520298507462695,5.99,3.1798878090362694,0.0,134,6,4.49,9.35,3.36,2.99,3.74,ok,74133,Tulsa,2024-03-29,1,0,1,0
370,Jack in the Box,"10121 n tryon st, charlotte, nc, 28262, us",7.048920863309341,6.24,3.567005815826525,3.9000000000000004,278,100+,5.86,11.23,3.74,3.49,4.11,nc,28262,Mecklenburg,2024-03-29,1,0,1,0
371,Jack in the Box,"10317 metcalf ave, overland park, ks, 66212, us",6.81674603174604,6.24,3.5600951541958383,4.2,126,54,5.49,10.85,3.49,3.11,3.61,ks,66212,Johnson,2024-03-29,1,0,1,0
372,Wendy,"9161 metcalf avenue, overland park, ks, 66212, us",5.021578947368422,4.19,2.636329046279796,4.4,97,18,5.99,0.0,2.29,1.89,0.0,ks,66212,Johnson,2024-03-29,1,0,1,0
373,Jack in the Box,"10700 dixie highway, louisville, ky, 40272, us",6.590458715596338,6.24,3.229663653155817,3.8999999999999995,109,50+,4.99,9.98,3.49,3.11,4.11,ky,40272,Jefferson,2024-03-29,1,0,1,0
374,Jack in the Box,"1121 e palm valley blvd, round rock, tx, 78664, us",8.53189393939392,7.86,4.1719799696953315,4.6,264,64,6.24,12.35,4.11,3.74,5.36,tx,78664,Williamson,2024-03-29,1,0,1,0
375,Sonic,"1805 n mays st, round rock, tx, 78664, us",4.5805555555555575,4.074999999999999,1.8380589768745552,4.1,86,17,8.04,0.0,4.14,,0.0,tx,78664,Williamson,2024-03-29,1,0,1,0
376,Five Guys,"3107 s ih-35 suite 750, round rock, tx, 78664, us",8.555517241379308,8.87,3.265480464418037,4.6,29,69,13.55,,10.55,9.23,7.55,tx,78664,Williamson,2024-03-29,1,0,1,0
377,Jack in the Box,"1124 s vista ave, boise, id, 83705, us",7.2348888888888965,6.24,3.8674278688797377,4.4,135,50+,6.86,12.49,3.05,2.62,4.11,id,83705,Ada,2024-03-29,1,0,1,0
378,Jack in the Box,"1302 s orchard st, boise, id, 83705, us",7.185766423357672,6.24,3.8607413384825757,4.6,137,26,6.86,12.49,3.05,2.62,4.11,id,83705,Ada,2024-03-29,1,0,1,0
379,Jack in the Box,"1151 airport blvd, austin, tx, 78702, us",8.418750000000003,7.615,4.169779659417057,4.3,136,93,6.24,12.35,4.11,3.74,5.36,tx,78702,Travis,2024-03-29,1,0,1,0
380,Jack in the Box,"11605 s sam, houston, tx, 77089, us",6.668602941176472,6.0649999999999995,3.45965171079277,4.4,136,61,5.49,10.73,2.93,2.55,4.21,tx,77089,Harris,2024-03-29,1,0,1,0
381,Burger King,"11001a fuqua, houston, tx, 77089, us",6.3940816326530685,5.69,3.427795101613022,4.4,147,36,3.19,,2.39,11.59,6.89,tx,77089,Harris,2024-03-29,1,0,1,0
382,Jack in the Box,"1202 college ave, south houston, tx, 77587, us",7.212826086956522,6.49,3.576770867601036,4.6,138,18,5.45,10.78,3.37,2.98,4.28,tx,77587,Harris,2024-03-29,1,0,1,0
383,Jack in the Box,"1503 spencer hwy, south houston, tx, 77587, us",7.132573529411772,6.39,3.535951697401724,4.4,136,40,5.36,10.61,3.32,2.93,4.21,tx,77587,Harris,2024-03-29,1,0,1,0
384,Jack in the Box,"1205 jupiter rd, plano, tx, 75074, us",6.687480916030544,6.24,3.2939019167883634,4.8,131,78,5.61,9.98,3.24,2.74,3.99,tx,75074,Collin,2024-03-29,1,0,1,0
385,Wendy,"2548 k avenue, plano, tx, 75074, us",12.509583333333332,8.280000000000001,17.899439581349714,3.9,48,81,,3.01,,,,tx,75074,Collin,2024-03-29,1,0,1,0
386,Sonic,"721 jupiter rd, plano, tx, 75074, us",4.319444444444446,4.075,1.7897950603420187,4.6,86,68,7.67,0.0,4.26,,0.0,tx,75074,Collin,2024-03-29,1,0,1,0
387,Five Guys,"1201 e spring creek parkway suite 110, plano, tx, 75074, us",8.456206896551722,8.63,3.2456787333241164,4.8,29,63,13.55,,10.55,9.23,7.43,tx,75074,Collin,2024-03-29,1,0,1,0
388,Jack in the Box,"1257 park st, alameda, ca, 94501, us",8.550992366412215,7.49,4.293074816681061,4.6,131,58,6.86,13.73,4.11,3.74,5.24,ca,94501,Alameda,2024-03-29,1,0,1,0
389,Jack in the Box,"1826 webster st, alameda, ca, 94501, us",8.707578124999923,7.49,4.311677955363947,4.4,640,87,6.86,13.73,4.11,3.74,5.24,ca,94501,Alameda,2024-03-29,1,0,1,0
390,Carls Jr,"871 marina village pkwy, alameda, ca, 94501, us",7.576081081081083,6.34,4.172734477588155,4.7,107,19,,,6.16,3.94,4.99,ca,94501,Alameda,2024-03-29,1,0,1,0
391,The Habit,"2640 5th st, alameda, ca, 94501, us",11.687341772151907,8.99,10.917648435638712,4.6,79,27,9.74,18.24,8.61,7.49,4.74,ca,94501,Alameda,2024-03-29,1,0,1,0
392,Jack in the Box,"1502 airline road ste 302, corpus christi, tx, 78412, us",6.715229357798173,6.18,3.5570948862750074,3.8,109,33,5.36,9.98,3.24,2.86,4.36,tx,78412,Nueces,2024-03-29,1,0,1,0
393,Jack in the Box,"15037 nacogdoches road, san antonio, tx, 78247, us",7.6566923076923175,7.175000000000001,3.8535452984056,3.8,130,65,5.61,11.73,3.74,3.36,4.11,tx,78247,Bexar,2024-03-29,1,0,1,0
394,Jack in the Box,"1504 texas ave. s, college station, tx, 77840, us",6.8886363636363726,6.24,3.3588839174343157,4.2,132,100+,5.24,10.36,3.11,2.74,3.74,tx,77840,Brazos,2024-03-29,1,0,1,0
395,Wendy,"202 southwest pkwy e., college station, tx, 77840, us",5.9886206896551695,5.6,2.8847413368032835,4.6,97,35,6.94,0.0,3.04,2.67,0.0,tx,77840,Brazos,2024-03-29,1,0,1,0
396,Sonic,"401 texas ave, college station, tx, 77840, us",4.655428571428573,4.5,2.051309467294548,4.6,85,18,9.02,0.0,4.5,,0.0,tx,77840,Brazos,2024-03-29,1,0,1,0
397,Sonic,"512 harvey rd, college station, tx, 77840, us",4.593611111111112,4.195,2.0554158173223156,4.8,83,14,9.02,0.0,4.5,,0.0,tx,77840,Brazos,2024-03-29,1,0,1,0
398,Five Guys,"711 university drive east, college station, tx, 77840, us",8.47758620689655,8.8,3.143437230465834,4.8,29,49,13.45,,10.31,9.17,7.33,tx,77840,Brazos,2024-03-29,1,0,1,0
399,Jack in the Box,"1550 interstate 10 e, beaumont, tx, 77703, us",7.094320000000009,6.24,3.6290751077375045,4.3,125,17,4.99,10.23,3.24,2.86,4.36,tx,77703,Jefferson,2024-03-29,1,0,1,0
